item1,item2,choice1,choice2,choice3,correct_choice (1-3)
H,I,F,J,B,2;I,J,D,A,G,2;G,H,I,E,B,1;B,C,F,J,D,3;J,A,C,G,B,3;E,F,H,G,B,2;A,B,C,D,I,1;D,E,G,J,F,3;F,G,J,H,C,2;C,D,E,G,A,1
I,J,D,G,A,3;D,E,H,F,J,2;F,G,H,C,J,1;G,H,C,I,J,2;H,I,B,D,J,3;J,A,B,D,H,1;B,C,D,H,E,1;E,F,H,G,C,2;C,D,E,J,F,1;A,B,F,H,C,3
F,G,H,D,A,1;D,E,G,A,F,3;I,J,E,A,D,2;B,C,G,D,I,2;H,I,F,A,J,3;E,F,G,B,H,1;J,A,E,B,F,2;A,B,D,I,C,3;C,D,G,J,E,3;G,H,A,I,C,2
G,H,A,I,E,2;B,C,D,H,G,1;D,E,F,J,H,1;I,J,F,A,C,2;J,A,F,C,B,3;A,B,G,D,C,3;F,G,H,B,A,1;E,F,C,H,G,3;C,D,E,I,H,1;H,I,C,J,D,2
G,H,D,J,I,3;E,F,H,G,C,2;J,A,E,B,H,2;B,C,D,E,J,1;D,E,B,G,F,3;I,J,E,A,C,2;H,I,B,D,J,3;F,G,H,J,C,1;A,B,C,E,H,1;C,D,E,A,H,1
I,J,A,C,G,1;C,D,J,H,E,3;E,F,B,J,G,3;J,A,B,D,H,1;F,G,I,H,C,2;H,I,E,B,J,3;B,C,D,F,J,1;A,B,C,E,I,1;G,H,I,A,C,1;D,E,A,F,I,2
J,A,B,E,F,1;A,B,H,F,C,3;B,C,E,D,I,2;D,E,B,F,G,2;E,F,G,J,B,1;F,G,H,B,J,1;G,H,I,D,B,1;I,J,F,A,B,2;C,D,J,H,E,3;H,I,F,A,J,3
G,H,I,A,D,1;J,A,F,C,B,3;A,B,G,C,F,2;I,J,G,C,A,3;C,D,E,F,I,1;F,G,H,A,B,1;H,I,A,E,J,3;D,E,F,G,J,1;E,F,A,G,I,2;B,C,I,D,E,2
I,J,A,F,D,1;C,D,G,A,E,3;E,F,C,G,J,2;G,H,J,C,I,3;D,E,F,G,B,1;H,I,J,A,E,1;A,B,H,C,D,2;B,C,J,E,D,3;J,A,H,C,B,3;F,G,B,I,H,3
E,F,A,G,H,2;G,H,J,E,I,3;A,B,C,D,I,1;F,G,D,H,J,2;B,C,D,E,I,1;C,D,F,I,E,3;I,J,G,A,D,2;J,A,H,B,D,2;H,I,D,B,J,3;D,E,F,H,A,1
D,E,B,G,F,3;A,B,E,C,I,2;B,C,I,D,F,2;C,D,F,J,E,3;F,G,H,D,I,1;G,H,I,B,D,1;I,J,F,A,D,2;H,I,D,B,J,3;E,F,C,G,J,2;J,A,E,G,B,3
G,H,C,I,A,2;I,J,B,G,A,3;B,C,D,J,E,1;H,I,B,E,J,3;C,D,E,G,A,1;J,A,D,B,G,2;E,F,C,I,G,3;A,B,E,H,C,3;D,E,G,F,B,2;F,G,H,J,B,1
F,G,H,D,A,1;B,C,E,J,D,3;I,J,F,D,A,3;G,H,A,I,E,2;C,D,F,J,E,3;J,A,D,B,F,2;H,I,F,C,J,3;D,E,F,G,J,1;E,F,C,G,I,2;A,B,F,C,H,2
B,C,F,I,D,3;E,F,G,J,B,1;J,A,B,G,E,1;H,I,D,J,C,2;I,J,B,G,A,3;F,G,J,D,H,3;C,D,G,E,J,2;D,E,J,F,G,2;A,B,C,F,H,1;G,H,D,A,I,3
C,D,F,E,J,2;D,E,G,F,B,2;G,H,I,C,A,1;B,C,H,D,G,2;I,J,E,B,A,3;J,A,G,C,B,3;F,G,B,H,I,2;H,I,J,A,F,1;E,F,A,I,G,3;A,B,F,I,C,3
