item1,item2,choice1,choice2,choice3,correct_choice (1-3)
A,B,C,I,D,1;C,D,J,E,H,2;J,A,D,G,B,3;D,E,I,F,B,2;I,J,C,G,A,3;F,G,J,B,H,3;B,C,D,J,F,1;E,F,G,J,A,1;H,I,J,E,C,1;G,H,E,I,J,2
B,C,J,D,G,2;I,J,G,B,A,3;J,A,D,B,H,2;F,G,H,B,I,1;H,I,J,E,C,1;C,D,E,A,H,1;A,B,H,E,C,3;G,H,A,E,I,3;D,E,J,F,G,2;E,F,G,C,I,1
B,C,G,J,D,3;I,J,D,A,F,2;J,A,B,H,C,1;A,B,E,H,C,3;E,F,G,A,I,1;D,E,B,I,F,3;G,H,D,I,A,2;F,G,J,H,D,2;H,I,D,J,C,2;C,D,E,A,F,1
B,C,F,D,I,2;G,H,I,E,B,1;I,J,A,F,D,1;E,F,I,C,G,3;F,G,J,C,H,3;A,B,C,D,G,1;C,D,E,G,I,1;J,A,E,G,B,3;D,E,F,I,B,1;H,I,F,J,C,2
H,I,J,C,F,1;A,B,H,C,E,2;D,E,A,I,F,3;C,D,E,H,J,1;J,A,H,E,B,3;I,J,A,B,G,1;F,G,C,H,I,2;G,H,I,B,C,1;B,C,I,D,E,2;E,F,C,G,I,2
I,J,C,A,F,2;J,A,B,H,C,1;B,C,G,J,D,3;C,D,I,E,F,2;D,E,H,B,F,3;E,F,G,B,J,1;G,H,I,B,C,1;A,B,C,E,G,1;H,I,D,J,B,2;F,G,C,I,H,3
J,A,F,D,B,3;A,B,I,C,D,2;E,F,G,B,I,1;D,E,F,B,G,1;F,G,D,J,H,3;H,I,J,E,B,1;G,H,J,E,I,3;C,D,I,E,F,2;I,J,C,A,E,2;B,C,I,F,D,3
G,H,D,A,I,3;I,J,C,A,E,2;F,G,J,B,H,3;D,E,F,G,A,1;H,I,A,F,J,3;A,B,C,H,F,1;B,C,J,D,G,2;J,A,G,B,E,2;C,D,H,E,J,2;E,F,G,C,J,1
G,H,I,A,C,1;J,A,D,B,H,2;D,E,I,F,B,2;I,J,D,E,A,3;C,D,I,E,G,2;F,G,J,D,H,3;B,C,G,J,D,3;A,B,C,E,G,1;E,F,H,A,G,3;H,I,J,E,C,1
F,G,I,H,D,2;B,C,I,D,E,2;C,D,E,I,G,1;G,H,B,C,I,3;E,F,H,A,G,3;A,B,E,C,I,2;J,A,F,B,C,2;I,J,A,C,E,1;H,I,J,A,F,1;D,E,B,I,F,3
J,A,G,B,D,2;E,F,C,I,G,3;F,G,B,A,H,3;B,C,D,G,H,1;I,J,A,C,F,1;C,D,E,J,F,1;D,E,I,F,A,2;H,I,E,A,J,3;A,B,C,G,F,1;G,H,I,B,D,1
B,C,F,D,I,2;A,B,C,I,F,1;D,E,J,I,F,3;E,F,G,I,A,1;C,D,E,A,F,1;G,H,C,B,I,3;J,A,H,B,C,2;H,I,E,J,A,2;F,G,B,H,I,2;I,J,G,C,A,3
H,I,J,E,C,1;D,E,F,H,B,1;B,C,J,E,D,3;J,A,H,B,D,2;C,D,H,E,A,2;E,F,G,C,I,1;G,H,B,I,C,2;A,B,F,I,C,3;F,G,J,C,H,3;I,J,F,A,D,2
I,J,B,A,G,2;D,E,F,G,B,1;G,H,E,A,I,3;A,B,I,C,E,2;B,C,F,I,D,3;H,I,J,D,A,1;E,F,A,G,J,2;C,D,I,E,H,2;J,A,H,C,B,3;F,G,J,C,H,3
D,E,I,F,B,2;F,G,B,A,H,3;C,D,E,A,H,1;H,I,J,D,C,1;E,F,A,G,J,2;I,J,F,B,A,3;A,B,G,C,F,2;J,A,F,B,D,2;G,H,I,B,E,1;B,C,D,I,E,1
