item1,item2,choice1,choice2,choice3,correct_choice (1-3)
J,A,E,B,F,2;B,C,D,H,F,1;E,F,B,H,G,3;G,H,I,E,J,1;D,E,A,H,F,3;I,J,A,D,F,1;H,I,E,J,C,2;F,G,D,J,H,3;C,D,I,G,E,3;A,B,E,C,I,2
J,A,F,E,B,3;A,B,D,G,C,3;E,F,J,G,A,2;G,H,J,I,E,2;C,D,E,H,A,1;I,J,A,C,G,1;B,C,F,H,D,3;H,I,J,A,D,1;F,G,D,H,J,2;D,E,F,B,G,1
I,J,B,F,A,3;G,H,C,I,B,2;A,B,E,I,C,3;J,A,B,D,H,1;E,F,A,G,H,2;H,I,J,F,B,1;F,G,H,I,D,1;C,D,E,F,J,1;D,E,A,F,I,2;B,C,G,J,D,3
G,H,J,D,I,3;I,J,A,D,F,1;E,F,I,B,G,3;F,G,B,H,I,2;C,D,G,E,J,2;A,B,G,C,E,2;B,C,D,E,J,1;H,I,J,F,B,1;J,A,G,E,B,3;D,E,H,J,F,3
G,H,J,I,C,2;D,E,I,F,B,2;J,A,B,F,C,1;H,I,D,C,J,3;B,C,D,J,E,1;E,F,A,H,G,3;C,D,F,E,J,2;I,J,G,A,B,2;A,B,E,I,C,3;F,G,C,H,J,2
H,I,D,J,B,2;A,B,D,G,C,3;D,E,F,H,B,1;F,G,H,I,D,1;G,H,E,A,I,3;C,D,E,F,A,1;J,A,H,B,D,2;E,F,G,C,H,1;I,J,G,C,A,3;B,C,E,I,D,3
I,J,A,F,B,1;E,F,J,A,G,3;G,H,A,I,D,2;H,I,F,J,A,2;F,G,H,J,C,1;J,A,B,H,C,1;B,C,G,I,D,3;A,B,G,F,C,3;C,D,E,H,I,1;D,E,B,F,I,2
F,G,A,B,H,3;J,A,D,F,B,3;H,I,J,C,D,1;B,C,E,D,J,2;E,F,I,G,B,2;G,H,I,D,J,1;I,J,A,B,F,1;C,D,E,A,H,1;D,E,A,F,H,2;A,B,G,C,E,2
I,J,F,D,A,3;A,B,F,C,I,2;C,D,F,E,I,2;G,H,I,E,A,1;F,G,H,B,A,1;E,F,C,J,G,3;D,E,I,F,B,2;H,I,J,E,A,1;J,A,B,E,G,1;B,C,H,D,F,2
A,B,C,F,I,1;G,H,I,B,E,1;E,F,B,G,J,2;J,A,B,C,H,1;I,J,B,G,A,3;C,D,H,J,E,3;B,C,D,G,I,1;F,G,B,H,J,2;D,E,J,F,I,2;H,I,E,J,B,2
G,H,I,E,B,1;B,C,D,J,F,1;J,A,G,E,B,3;I,J,D,F,A,3;A,B,G,C,D,2;H,I,E,J,C,2;D,E,H,B,F,3;E,F,J,G,A,2;C,D,E,H,A,1;F,G,H,J,C,1
J,A,D,B,H,2;D,E,G,F,B,2;E,F,G,A,H,1;A,B,D,H,C,3;F,G,H,C,J,1;G,H,E,I,J,2;H,I,J,E,A,1;C,D,A,H,E,3;B,C,D,I,F,1;I,J,A,C,G,1
H,I,C,J,D,2;D,E,I,J,F,3;I,J,B,F,A,3;E,F,G,J,B,1;B,C,H,G,D,3;G,H,I,C,J,1;A,B,C,H,F,1;C,D,I,E,H,2;J,A,B,D,H,1;F,G,A,H,D,2
F,G,C,H,A,2;J,A,B,G,D,1;C,D,J,H,E,3;B,C,I,D,G,2;H,I,C,E,J,3;G,H,I,B,C,1;I,J,A,D,F,1;D,E,J,I,F,3;A,B,D,C,G,2;E,F,G,J,B,1
A,B,I,C,F,2;F,G,H,C,I,1;I,J,A,E,B,1;H,I,E,J,C,2;D,E,I,J,F,3;G,H,E,J,I,3;J,A,E,H,B,3;B,C,D,H,G,1;E,F,I,B,G,3;C,D,H,J,E,3
