item1,item2,choice1,choice2,choice3,correct_choice (1-3)
I,J,D,E,A,3;F,G,J,D,H,3;J,A,B,C,G,1;G,H,C,I,A,2;D,E,I,F,A,2;A,B,D,I,C,3;B,C,D,J,F,1;C,D,G,E,A,2;H,I,B,D,J,3;E,F,C,G,J,2
J,A,H,E,B,3;F,G,H,D,J,1;G,H,B,I,C,2;H,I,C,E,J,3;D,E,B,H,F,3;B,C,E,I,D,3;I,J,A,G,B,1;E,F,I,G,B,2;A,B,I,C,D,2;C,D,E,J,H,1
C,D,E,F,J,1;I,J,A,F,D,1;E,F,A,H,G,3;J,A,B,F,C,1;G,H,E,I,B,2;D,E,I,F,B,2;A,B,C,I,F,1;H,I,A,E,J,3;F,G,H,A,C,1;B,C,J,G,D,3
J,A,C,F,B,3;E,F,H,A,G,3;I,J,B,A,F,2;B,C,F,D,I,2;H,I,J,D,C,1;A,B,E,C,H,2;G,H,I,C,A,1;C,D,J,G,E,3;F,G,J,H,B,2;D,E,G,A,F,3
F,G,J,C,H,3;A,B,E,C,I,2;J,A,B,F,C,1;G,H,A,E,I,3;I,J,D,A,G,2;C,D,E,A,H,1;E,F,J,B,G,3;D,E,F,I,J,1;B,C,G,H,D,3;H,I,F,J,B,2
G,H,I,C,J,1;D,E,J,H,F,3;E,F,A,J,G,3;B,C,J,D,G,2;F,G,A,H,B,2;C,D,H,J,E,3;A,B,G,E,C,3;H,I,J,B,E,1;I,J,A,F,C,1;J,A,B,C,G,1
B,C,E,H,D,3;I,J,A,B,F,1;J,A,H,D,B,3;C,D,E,F,J,1;D,E,A,F,H,2;F,G,B,H,J,2;G,H,A,I,C,2;H,I,J,E,B,1;E,F,A,H,G,3;A,B,C,I,D,1
C,D,F,E,J,2;A,B,F,H,C,3;J,A,E,G,B,3;H,I,B,D,J,3;F,G,H,I,C,1;I,J,B,A,E,2;D,E,I,F,J,2;E,F,G,C,H,1;B,C,I,E,D,3;G,H,B,C,I,3
J,A,F,B,E,2;F,G,H,B,A,1;D,E,J,I,F,3;G,H,C,I,B,2;B,C,D,I,E,1;A,B,E,C,I,2;H,I,J,E,C,1;I,J,C,E,A,3;E,F,B,J,G,3;C,D,G,I,E,3
E,F,G,J,B,1;B,C,H,D,G,2;A,B,C,G,E,1;H,I,E,B,J,3;F,G,C,A,H,3;J,A,B,D,G,1;G,H,C,B,I,3;I,J,F,A,C,2;C,D,G,E,A,2;D,E,F,A,G,1
H,I,C,J,F,2;D,E,B,H,F,3;A,B,F,C,G,2;I,J,C,A,F,2;F,G,I,C,H,3;E,F,G,H,A,1;J,A,B,E,F,1;B,C,I,F,D,3;C,D,E,H,A,1;G,H,I,J,C,1
A,B,D,C,I,2;C,D,E,J,F,1;H,I,J,C,F,1;B,C,F,I,D,3;I,J,B,E,A,3;J,A,G,E,B,3;E,F,I,G,A,2;F,G,I,H,D,2;D,E,F,H,B,1;G,H,D,I,B,2
D,E,H,J,F,3;A,B,F,C,I,2;H,I,J,D,B,1;G,H,E,I,A,2;F,G,A,C,H,3;J,A,B,E,G,1;E,F,H,G,A,2;B,C,D,I,F,1;C,D,A,E,F,2;I,J,G,C,A,3
C,D,J,G,E,3;D,E,F,J,G,1;A,B,I,D,C,3;G,H,A,I,C,2;E,F,G,J,C,1;H,I,J,D,B,1;I,J,D,A,E,2;B,C,D,F,J,1;J,A,C,B,H,2;F,G,H,C,I,1
I,J,F,C,A,3;A,B,C,I,D,1;G,H,D,A,I,3;B,C,E,D,H,2;J,A,B,F,C,1;C,D,G,E,J,2;D,E,G,B,F,3;E,F,G,H,A,1;F,G,D,H,I,2;H,I,J,C,F,1
