item1,item2,choice1,choice2,choice3,correct_choice (1-3)
C,D,G,E,J,2;J,A,C,F,B,3;D,E,F,J,I,1;B,C,G,D,I,2;A,B,C,G,F,1;E,F,A,G,I,2;G,H,I,D,A,1;I,J,D,E,A,3;H,I,E,B,J,3;F,G,D,H,I,2
F,G,H,J,C,1;I,J,G,C,A,3;A,B,G,C,F,2;H,I,J,B,F,1;B,C,H,F,D,3;E,F,A,I,G,3;D,E,F,I,J,1;C,D,A,F,E,3;J,A,H,D,B,3;G,H,E,I,J,2
I,J,A,G,D,1;H,I,E,J,B,2;F,G,H,B,A,1;J,A,G,E,B,3;B,C,D,J,G,1;G,H,E,B,I,3;D,E,F,J,I,1;C,D,I,E,F,2;E,F,C,I,G,3;A,B,D,G,C,3
I,J,F,C,A,3;E,F,G,A,I,1;B,C,J,D,G,2;G,H,D,I,B,2;F,G,D,J,H,3;D,E,H,F,B,2;H,I,J,C,D,1;J,A,B,C,G,1;A,B,C,H,D,1;C,D,J,G,E,3
A,B,C,F,G,1;D,E,H,A,F,3;I,J,A,F,D,1;H,I,J,C,F,1;E,F,B,G,J,2;J,A,G,B,D,2;C,D,A,G,E,3;B,C,H,D,E,2;G,H,J,I,D,2;F,G,A,B,H,3
C,D,E,G,A,1;B,C,G,D,I,2;I,J,F,C,A,3;F,G,H,J,B,1;E,F,B,I,G,3;D,E,F,B,H,1;G,H,A,I,D,2;A,B,F,C,I,2;H,I,F,B,J,3;J,A,B,G,C,1
C,D,I,E,G,2;A,B,D,H,C,3;G,H,E,J,I,3;B,C,D,F,I,1;F,G,C,A,H,3;D,E,I,F,B,2;I,J,C,A,G,2;H,I,D,J,C,2;J,A,B,G,C,1;E,F,G,A,J,1
G,H,I,J,C,1;F,G,J,H,C,2;I,J,E,D,A,3;D,E,F,J,G,1;H,I,C,E,J,3;B,C,D,G,H,1;E,F,B,G,I,2;J,A,D,H,B,3;A,B,C,E,H,1;C,D,I,G,E,3
F,G,C,H,A,2;I,J,A,F,B,1;G,H,I,J,C,1;H,I,J,D,B,1;D,E,J,I,F,3;C,D,J,E,H,2;E,F,H,A,G,3;B,C,G,I,D,3;A,B,D,H,C,3;J,A,F,B,C,2
B,C,H,G,D,3;E,F,A,G,J,2;D,E,I,F,J,2;I,J,A,F,D,1;H,I,D,B,J,3;A,B,C,I,F,1;J,A,B,C,G,1;C,D,E,I,G,1;G,H,J,I,E,2;F,G,J,D,H,3
I,J,B,A,F,2;F,G,D,H,I,2;J,A,B,F,C,1;H,I,D,J,B,2;G,H,I,B,C,1;E,F,C,J,G,3;C,D,I,G,E,3;D,E,G,B,F,3;A,B,C,E,I,1;B,C,D,H,G,1
C,D,A,H,E,3;E,F,G,J,B,1;I,J,A,E,C,1;A,B,G,F,C,3;J,A,G,B,C,2;B,C,D,J,E,1;F,G,A,H,D,2;G,H,I,E,A,1;H,I,A,J,E,2;D,E,A,H,F,3
I,J,D,E,A,3;D,E,B,F,H,2;H,I,J,A,E,1;E,F,G,H,C,1;J,A,D,B,F,2;G,H,A,I,E,2;F,G,D,A,H,3;C,D,H,J,E,3;B,C,F,D,J,2;A,B,G,C,D,2
E,F,G,A,I,1;I,J,E,A,D,2;D,E,A,I,F,3;H,I,J,C,F,1;J,A,B,G,D,1;B,C,J,F,D,3;A,B,G,F,C,3;F,G,C,I,H,3;C,D,F,E,A,2;G,H,A,I,E,2
E,F,G,A,J,1;J,A,F,B,D,2;C,D,E,I,F,1;D,E,F,A,H,1;A,B,C,F,G,1;I,J,F,D,A,3;H,I,F,J,C,2;G,H,I,A,C,1;B,C,E,I,D,3;F,G,B,H,A,2
