item1,item2,choice1,choice2,choice3,correct_choice (1-3)
I,J,A,B,E,1;G,H,I,C,J,1;D,E,B,F,G,2;A,B,I,E,C,3;C,D,A,H,E,3;H,I,J,F,A,1;B,C,I,D,G,2;F,G,C,H,I,2;J,A,B,G,D,1;E,F,C,G,I,2
A,B,E,G,C,3;H,I,J,A,F,1;D,E,F,B,G,1;C,D,I,F,E,3;I,J,B,A,G,2;J,A,H,B,D,2;B,C,E,D,H,2;E,F,G,A,J,1;G,H,B,E,I,3;F,G,I,C,H,3
F,G,A,H,B,2;J,A,B,F,D,1;B,C,I,D,F,2;D,E,G,B,F,3;C,D,E,A,G,1;E,F,B,H,G,3;H,I,J,D,A,1;A,B,G,F,C,3;G,H,I,J,C,1;I,J,B,A,F,2
G,H,I,A,D,1;D,E,J,F,G,2;E,F,H,A,G,3;B,C,D,J,E,1;J,A,D,B,F,2;H,I,C,F,J,3;F,G,I,D,H,3;A,B,C,F,H,1;I,J,D,F,A,3;C,D,E,H,I,1
F,G,H,J,B,1;J,A,G,B,E,2;H,I,D,J,C,2;D,E,J,H,F,3;A,B,C,G,E,1;C,D,A,E,F,2;G,H,B,E,I,3;B,C,E,D,H,2;E,F,A,J,G,3;I,J,A,C,E,1
H,I,E,J,B,2;D,E,F,A,H,1;F,G,C,A,H,3;J,A,F,D,B,3;A,B,C,F,I,1;C,D,A,E,H,2;G,H,J,D,I,3;E,F,G,A,H,1;B,C,H,E,D,3;I,J,A,F,D,1
F,G,D,H,I,2;E,F,G,A,J,1;J,A,D,B,F,2;D,E,I,A,F,3;C,D,J,G,E,3;A,B,D,C,G,2;G,H,I,B,E,1;H,I,J,D,A,1;B,C,J,G,D,3;I,J,B,A,G,2
D,E,J,F,H,2;F,G,A,D,H,3;I,J,A,D,E,1;H,I,B,F,J,3;J,A,H,D,B,3;B,C,F,D,I,2;A,B,C,I,D,1;E,F,G,A,H,1;C,D,I,E,G,2;G,H,J,C,I,3
F,G,H,C,J,1;C,D,F,E,A,2;G,H,C,B,I,3;D,E,F,G,J,1;J,A,D,B,G,2;I,J,A,E,C,1;B,C,H,F,D,3;A,B,H,C,E,2;H,I,J,F,A,1;E,F,H,C,G,3
A,B,G,D,C,3;J,A,B,D,G,1;E,F,J,G,B,2;I,J,E,A,D,2;F,G,I,H,D,2;C,D,E,J,F,1;D,E,H,B,F,3;H,I,E,B,J,3;G,H,B,I,C,2;B,C,D,I,E,1
J,A,C,B,F,2;B,C,D,J,G,1;G,H,C,A,I,3;D,E,I,F,B,2;H,I,D,J,C,2;F,G,A,H,C,2;E,F,H,C,G,3;A,B,H,C,D,2;C,D,G,A,E,3;I,J,A,C,F,1
J,A,C,F,B,3;I,J,G,B,A,3;C,D,H,E,J,2;B,C,F,D,J,2;F,G,H,A,D,1;E,F,G,C,I,1;A,B,F,G,C,3;D,E,F,A,G,1;H,I,E,J,A,2;G,H,C,J,I,3
D,E,F,G,J,1;J,A,F,B,D,2;F,G,I,H,B,2;I,J,F,D,A,3;G,H,I,E,B,1;B,C,D,E,I,1;A,B,C,D,I,1;C,D,J,H,E,3;E,F,G,H,C,1;H,I,D,J,B,2
F,G,J,D,H,3;H,I,J,D,B,1;B,C,I,D,F,2;J,A,B,D,H,1;I,J,E,D,A,3;C,D,I,F,E,3;E,F,G,H,C,1;G,H,J,I,C,2;D,E,F,A,G,1;A,B,I,C,D,2
E,F,A,I,G,3;C,D,F,E,I,2;F,G,H,A,D,1;I,J,G,B,A,3;A,B,E,C,I,2;B,C,I,D,G,2;H,I,E,J,B,2;J,A,E,H,B,3;D,E,F,B,G,1;G,H,C,J,I,3
