item1,item2,choice1,choice2,choice3,correct_choice (1-3)
A,B,I,D,C,3;H,I,J,C,D,1;F,G,C,H,A,2;I,J,C,A,F,2;J,A,E,H,B,3;C,D,H,E,A,2;D,E,H,A,F,3;E,F,I,G,B,2;G,H,I,C,B,1;B,C,D,E,I,1
E,F,J,B,G,3;D,E,J,H,F,3;F,G,J,H,C,2;A,B,C,D,I,1;C,D,H,A,E,3;I,J,C,A,F,2;B,C,D,G,I,1;J,A,H,B,D,2;H,I,J,F,C,1;G,H,B,D,I,3
H,I,J,A,F,1;A,B,I,C,E,2;C,D,F,E,A,2;F,G,H,C,A,1;I,J,B,A,F,2;G,H,D,I,A,2;J,A,C,F,B,3;D,E,H,B,F,3;B,C,I,E,D,3;E,F,G,H,C,1
E,F,G,A,H,1;J,A,G,B,E,2;H,I,C,D,J,3;G,H,E,A,I,3;F,G,A,C,H,3;D,E,J,F,I,2;A,B,F,C,H,2;C,D,E,J,H,1;B,C,E,H,D,3;I,J,D,G,A,3
F,G,D,J,H,3;H,I,D,J,B,2;E,F,G,J,B,1;J,A,F,C,B,3;G,H,A,I,C,2;A,B,F,C,H,2;I,J,A,G,C,1;C,D,J,E,F,2;D,E,H,F,B,2;B,C,D,J,F,1
G,H,E,B,I,3;B,C,G,D,J,2;D,E,G,F,B,2;J,A,B,D,H,1;C,D,A,F,E,3;A,B,C,F,G,1;I,J,F,D,A,3;H,I,C,J,E,2;F,G,C,A,H,3;E,F,A,G,I,2
E,F,H,A,G,3;D,E,G,F,A,2;A,B,D,H,C,3;J,A,B,E,G,1;C,D,I,G,E,3;I,J,A,C,G,1;F,G,H,J,B,1;B,C,D,E,J,1;H,I,E,J,B,2;G,H,B,I,C,2
E,F,G,B,I,1;D,E,A,H,F,3;J,A,C,F,B,3;A,B,G,C,F,2;F,G,H,B,J,1;G,H,D,I,J,2;H,I,C,F,J,3;C,D,G,E,J,2;I,J,A,F,D,1;B,C,H,E,D,3
D,E,H,J,F,3;J,A,F,B,D,2;I,J,A,E,B,1;A,B,C,H,D,1;B,C,H,D,F,2;E,F,A,J,G,3;G,H,I,A,E,1;H,I,J,C,E,1;C,D,J,E,F,2;F,G,D,H,J,2
I,J,A,B,G,1;B,C,E,D,J,2;C,D,A,E,F,2;G,H,I,E,J,1;A,B,C,G,D,1;E,F,A,H,G,3;J,A,F,B,C,2;F,G,H,C,A,1;D,E,G,B,F,3;H,I,C,J,E,2
F,G,C,H,I,2;I,J,E,B,A,3;J,A,G,D,B,3;C,D,E,G,A,1;G,H,I,E,B,1;B,C,H,D,F,2;A,B,C,E,G,1;H,I,F,J,C,2;E,F,A,G,I,2;D,E,F,J,G,1
E,F,I,B,G,3;C,D,J,H,E,3;H,I,B,J,F,2;D,E,F,I,B,1;F,G,H,J,B,1;I,J,A,E,C,1;B,C,F,D,I,2;G,H,C,A,I,3;J,A,D,H,B,3;A,B,E,C,I,2
I,J,A,E,C,1;J,A,G,E,B,3;G,H,C,I,A,2;B,C,I,D,F,2;F,G,J,C,H,3;C,D,E,I,G,1;E,F,B,I,G,3;D,E,J,F,G,2;A,B,D,C,I,2;H,I,J,A,F,1
B,C,J,E,D,3;G,H,J,I,E,2;J,A,B,E,H,1;I,J,E,A,B,2;H,I,J,E,A,1;F,G,J,H,C,2;C,D,G,J,E,3;A,B,D,I,C,3;D,E,A,H,F,3;E,F,C,G,J,2
G,H,I,C,J,1;I,J,F,A,B,2;F,G,C,I,H,3;B,C,G,J,D,3;H,I,J,B,D,1;D,E,J,F,H,2;J,A,B,E,F,1;C,D,F,E,J,2;E,F,B,G,H,2;A,B,C,G,E,1
