item1,item2,choice1,choice2,choice3,correct_choice (1-3)
I,J,A,C,E,1;E,F,A,G,H,2;C,D,J,E,H,2;J,A,C,H,B,3;H,I,A,J,F,2;A,B,F,G,C,3;B,C,G,H,D,3;F,G,A,C,H,3;D,E,F,I,B,1;G,H,A,I,E,2
D,E,F,A,I,1;J,A,H,E,B,3;E,F,A,G,I,2;F,G,C,H,A,2;G,H,J,I,E,2;H,I,C,D,J,3;C,D,H,J,E,3;I,J,A,D,E,1;A,B,D,C,G,2;B,C,D,I,F,1
J,A,C,B,F,2;F,G,I,H,B,2;E,F,H,A,G,3;H,I,J,D,C,1;C,D,F,J,E,3;D,E,F,H,A,1;A,B,I,C,D,2;G,H,I,D,B,1;I,J,B,A,F,2;B,C,D,E,J,1
J,A,H,B,D,2;H,I,B,J,F,2;A,B,D,H,C,3;G,H,I,A,D,1;D,E,F,B,I,1;I,J,C,A,E,2;C,D,I,E,F,2;B,C,D,H,G,1;E,F,G,B,H,1;F,G,D,I,H,3
B,C,D,J,E,1;F,G,I,D,H,3;A,B,F,C,G,2;D,E,B,F,G,2;I,J,B,E,A,3;J,A,B,F,C,1;G,H,I,C,B,1;H,I,D,J,A,2;C,D,G,I,E,3;E,F,I,B,G,3
E,F,J,B,G,3;F,G,D,I,H,3;G,H,A,E,I,3;I,J,D,A,E,2;C,D,E,H,A,1;A,B,C,F,I,1;H,I,A,J,E,2;D,E,F,B,H,1;J,A,C,B,G,2;B,C,D,F,H,1
G,H,D,J,I,3;B,C,F,D,I,2;I,J,A,E,C,1;E,F,A,H,G,3;D,E,F,A,H,1;F,G,B,H,A,2;J,A,G,E,B,3;C,D,A,E,H,2;A,B,C,E,H,1;H,I,E,A,J,3
E,F,G,C,H,1;I,J,G,D,A,3;D,E,I,F,J,2;A,B,G,D,C,3;B,C,G,D,I,2;G,H,D,I,J,2;H,I,J,A,E,1;C,D,F,I,E,3;F,G,H,J,D,1;J,A,E,H,B,3
H,I,D,C,J,3;J,A,B,E,G,1;I,J,C,A,E,2;E,F,I,A,G,3;B,C,F,D,H,2;D,E,G,F,B,2;C,D,G,E,I,2;G,H,I,E,A,1;F,G,H,C,A,1;A,B,E,G,C,3
E,F,G,A,H,1;C,D,F,E,I,2;B,C,J,D,E,2;F,G,J,D,H,3;J,A,F,D,B,3;G,H,I,A,D,1;A,B,H,D,C,3;D,E,J,F,H,2;H,I,J,E,C,1;I,J,G,A,B,2
H,I,D,A,J,3;A,B,C,I,E,1;F,G,D,H,I,2;J,A,E,H,B,3;G,H,C,I,B,2;C,D,A,E,H,2;I,J,D,E,A,3;E,F,G,B,I,1;B,C,E,H,D,3;D,E,I,B,F,3
I,J,D,A,G,2;C,D,E,I,F,1;G,H,D,A,I,3;H,I,J,E,B,1;F,G,B,H,I,2;A,B,C,F,H,1;J,A,G,D,B,3;D,E,A,F,I,2;E,F,H,C,G,3;B,C,D,E,J,1
B,C,E,J,D,3;A,B,G,C,D,2;J,A,B,E,H,1;C,D,E,A,G,1;I,J,G,A,B,2;E,F,C,I,G,3;G,H,I,A,D,1;F,G,C,I,H,3;D,E,A,I,F,3;H,I,B,J,D,2
F,G,A,H,B,2;E,F,H,G,C,2;H,I,J,D,B,1;G,H,I,J,C,1;D,E,G,B,F,3;B,C,E,J,D,3;J,A,E,B,F,2;I,J,G,D,A,3;A,B,E,G,C,3;C,D,G,A,E,3
G,H,I,C,B,1;I,J,C,A,E,2;D,E,F,B,I,1;H,I,F,A,J,3;A,B,E,G,C,3;C,D,F,E,I,2;B,C,I,D,F,2;F,G,H,A,C,1;J,A,D,B,H,2;E,F,G,C,J,1
