item1,item2,choice1,choice2,choice3,correct_choice (1-3)
D,E,I,F,A,2;E,F,C,I,G,3;F,G,I,H,C,2;J,A,B,E,F,1;G,H,J,D,I,3;A,B,C,D,H,1;H,I,J,F,A,1;C,D,A,H,E,3;I,J,G,A,B,2;B,C,G,D,H,2
E,F,I,G,A,2;C,D,I,F,E,3;H,I,J,B,F,1;B,C,H,D,E,2;J,A,C,G,B,3;D,E,F,J,G,1;G,H,A,I,E,2;I,J,C,F,A,3;F,G,C,J,H,3;A,B,E,C,G,2
I,J,A,C,G,1;B,C,J,D,G,2;D,E,I,B,F,3;C,D,I,E,G,2;G,H,B,D,I,3;F,G,H,J,C,1;A,B,I,D,C,3;H,I,B,D,J,3;J,A,G,B,E,2;E,F,I,C,G,3
G,H,J,C,I,3;A,B,D,C,G,2;I,J,A,F,C,1;C,D,G,I,E,3;B,C,D,G,J,1;D,E,B,I,F,3;H,I,A,E,J,3;E,F,G,J,C,1;F,G,B,H,A,2;J,A,H,B,C,2
I,J,G,B,A,3;C,D,A,E,F,2;D,E,I,B,F,3;F,G,B,I,H,3;B,C,D,H,F,1;J,A,F,C,B,3;E,F,B,J,G,3;A,B,D,G,C,3;H,I,J,C,E,1;G,H,B,I,D,2
H,I,E,J,A,2;A,B,C,I,D,1;B,C,D,I,E,1;G,H,I,A,D,1;J,A,H,E,B,3;C,D,F,A,E,3;F,G,I,H,B,2;D,E,F,I,J,1;E,F,G,C,I,1;I,J,A,F,B,1
G,H,A,I,C,2;D,E,H,B,F,3;H,I,J,B,D,1;E,F,G,I,C,1;B,C,J,F,D,3;F,G,A,D,H,3;I,J,C,A,E,2;C,D,H,E,A,2;A,B,E,H,C,3;J,A,B,E,H,1
F,G,H,B,J,1;G,H,E,J,I,3;H,I,J,A,D,1;B,C,H,D,F,2;J,A,F,B,C,2;C,D,J,H,E,3;A,B,I,D,C,3;I,J,A,C,E,1;E,F,B,G,I,2;D,E,B,F,H,2
C,D,E,G,J,1;I,J,F,A,D,2;B,C,I,F,D,3;D,E,G,F,A,2;F,G,B,J,H,3;J,A,H,E,B,3;E,F,G,C,I,1;A,B,C,E,I,1;H,I,E,B,J,3;G,H,I,J,E,1
I,J,F,C,A,3;C,D,F,A,E,3;B,C,E,D,I,2;F,G,H,B,I,1;H,I,C,D,J,3;A,B,E,C,H,2;E,F,G,C,I,1;D,E,A,H,F,3;J,A,F,B,D,2;G,H,J,I,C,2
I,J,A,G,C,1;J,A,G,B,D,2;G,H,D,I,A,2;B,C,E,I,D,3;A,B,D,G,C,3;C,D,F,E,A,2;E,F,G,H,C,1;F,G,A,C,H,3;H,I,J,E,B,1;D,E,B,F,H,2
H,I,J,C,F,1;G,H,C,I,B,2;A,B,D,G,C,3;B,C,D,F,H,1;F,G,H,A,C,1;I,J,D,A,F,2;E,F,H,C,G,3;J,A,B,C,H,1;C,D,I,E,F,2;D,E,I,A,F,3
I,J,E,D,A,3;B,C,D,E,H,1;C,D,A,F,E,3;H,I,C,J,E,2;G,H,B,I,D,2;D,E,F,A,H,1;J,A,B,E,H,1;E,F,J,A,G,3;A,B,I,C,E,2;F,G,J,H,D,2
D,E,A,F,I,2;I,J,A,F,D,1;B,C,D,H,G,1;F,G,D,J,H,3;J,A,F,B,C,2;C,D,H,E,A,2;A,B,E,G,C,3;H,I,A,F,J,3;G,H,I,E,B,1;E,F,G,J,A,1
J,A,F,B,E,2;G,H,D,J,I,3;I,J,A,D,E,1;C,D,E,F,J,1;F,G,C,H,A,2;A,B,D,C,H,2;E,F,I,A,G,3;B,C,D,J,F,1;D,E,A,G,F,3;H,I,J,F,B,1
