item1,item2,choice1,choice2,choice3,correct_choice (1-3)
A,B,H,D,C,3;B,C,G,D,J,2;F,G,J,H,C,2;C,D,E,A,G,1;E,F,H,G,A,2;H,I,J,F,B,1;J,A,B,F,E,1;I,J,G,A,B,2;D,E,G,B,F,3;G,H,A,I,C,2
J,A,F,D,B,3;I,J,A,G,D,1;G,H,A,I,C,2;D,E,F,B,G,1;C,D,F,A,E,3;H,I,C,E,J,3;B,C,D,E,J,1;E,F,H,G,A,2;F,G,H,C,I,1;A,B,D,G,C,3
A,B,H,E,C,3;D,E,G,F,J,2;H,I,J,D,B,1;F,G,H,I,D,1;G,H,E,I,A,2;B,C,H,E,D,3;C,D,H,A,E,3;J,A,F,E,B,3;I,J,A,G,C,1;E,F,B,G,I,2
A,B,D,C,G,2;F,G,I,D,H,3;G,H,I,D,J,1;C,D,J,H,E,3;D,E,F,A,I,1;E,F,I,B,G,3;H,I,C,J,F,2;J,A,D,B,F,2;I,J,C,E,A,3;B,C,J,D,E,2
B,C,D,G,J,1;J,A,G,E,B,3;E,F,H,G,C,2;I,J,B,A,F,2;D,E,G,A,F,3;C,D,E,H,I,1;H,I,A,E,J,3;G,H,J,I,D,2;A,B,C,G,F,1;F,G,H,D,I,1
A,B,E,I,C,3;H,I,B,J,D,2;I,J,A,D,F,1;E,F,C,G,H,2;D,E,H,F,J,2;B,C,J,E,D,3;F,G,I,D,H,3;G,H,I,D,J,1;C,D,E,F,J,1;J,A,G,C,B,3
D,E,F,I,J,1;B,C,I,F,D,3;A,B,H,C,F,2;F,G,I,H,C,2;J,A,B,G,C,1;H,I,J,F,C,1;G,H,D,B,I,3;I,J,F,D,A,3;C,D,E,G,A,1;E,F,C,G,I,2
J,A,E,B,F,2;C,D,E,G,I,1;F,G,I,C,H,3;B,C,J,D,E,2;E,F,J,B,G,3;G,H,B,I,E,2;H,I,J,E,A,1;A,B,D,C,H,2;D,E,G,A,F,3;I,J,F,C,A,3
G,H,J,C,I,3;B,C,D,J,G,1;F,G,A,H,C,2;C,D,F,E,I,2;E,F,A,G,I,2;H,I,J,D,B,1;D,E,I,J,F,3;A,B,C,E,G,1;J,A,B,H,C,1;I,J,F,A,B,2
F,G,I,B,H,3;D,E,G,F,B,2;E,F,J,B,G,3;B,C,D,E,I,1;A,B,H,F,C,3;J,A,C,B,G,2;I,J,A,C,G,1;G,H,I,D,J,1;C,D,E,G,A,1;H,I,A,J,D,2
C,D,G,E,A,2;E,F,G,A,I,1;D,E,J,F,G,2;B,C,J,E,D,3;H,I,F,J,B,2;J,A,B,F,C,1;F,G,B,J,H,3;A,B,G,E,C,3;I,J,A,B,G,1;G,H,C,I,J,2
E,F,J,G,B,2;J,A,B,F,E,1;H,I,A,D,J,3;B,C,D,E,J,1;I,J,A,B,E,1;C,D,I,G,E,3;F,G,B,A,H,3;G,H,I,C,A,1;A,B,C,F,H,1;D,E,B,G,F,3
E,F,B,G,H,2;B,C,D,F,J,1;A,B,E,G,C,3;J,A,B,F,E,1;C,D,F,I,E,3;G,H,E,I,B,2;F,G,I,H,C,2;I,J,D,A,G,2;H,I,J,D,A,1;D,E,A,G,F,3
J,A,B,F,D,1;E,F,B,I,G,3;C,D,F,A,E,3;H,I,D,J,A,2;I,J,D,A,G,2;B,C,D,H,E,1;F,G,B,J,H,3;A,B,H,E,C,3;D,E,I,J,F,3;G,H,E,I,B,2
I,J,F,B,A,3;H,I,J,B,E,1;E,F,B,G,H,2;D,E,G,F,A,2;J,A,B,E,H,1;A,B,C,H,D,1;B,C,F,I,D,3;G,H,B,C,I,3;F,G,I,H,C,2;C,D,E,G,I,1
