item1,item2,choice1,choice2,choice3,correct_choice (1-3)
J,A,B,D,F,1;C,D,J,E,F,2;D,E,F,B,I,1;B,C,F,J,D,3;G,H,I,A,D,1;I,J,G,B,A,3;A,B,I,C,F,2;H,I,B,F,J,3;F,G,H,B,J,1;E,F,H,G,C,2
B,C,E,D,H,2;J,A,B,G,E,1;I,J,D,G,A,3;C,D,G,E,I,2;A,B,G,F,C,3;E,F,G,H,B,1;D,E,G,F,B,2;H,I,J,C,F,1;F,G,C,A,H,3;G,H,C,J,I,3
G,H,I,D,A,1;F,G,B,A,H,3;C,D,H,E,J,2;A,B,G,F,C,3;B,C,H,D,G,2;I,J,A,G,D,1;J,A,B,D,H,1;E,F,C,G,H,2;H,I,J,E,A,1;D,E,G,J,F,3
E,F,B,J,G,3;H,I,J,C,E,1;F,G,D,H,A,2;G,H,D,A,I,3;A,B,H,C,D,2;I,J,D,A,F,2;B,C,D,J,G,1;C,D,E,A,H,1;J,A,G,B,E,2;D,E,J,I,F,3
G,H,D,I,A,2;A,B,C,G,F,1;C,D,E,J,F,1;I,J,E,A,D,2;D,E,H,B,F,3;J,A,D,H,B,3;E,F,G,B,J,1;H,I,E,C,J,3;B,C,E,D,J,2;F,G,A,H,B,2
A,B,F,I,C,3;J,A,B,E,F,1;D,E,G,F,B,2;F,G,B,A,H,3;I,J,E,A,B,2;H,I,F,C,J,3;G,H,B,I,E,2;E,F,G,I,B,1;C,D,J,E,H,2;B,C,H,F,D,3
D,E,F,B,I,1;H,I,A,D,J,3;A,B,G,C,F,2;J,A,B,C,G,1;C,D,F,J,E,3;G,H,I,B,D,1;I,J,C,A,F,2;B,C,H,D,F,2;F,G,C,I,H,3;E,F,C,I,G,3
B,C,H,D,G,2;C,D,E,G,J,1;J,A,D,H,B,3;F,G,H,A,D,1;A,B,G,C,D,2;H,I,B,F,J,3;E,F,I,B,G,3;G,H,J,I,D,2;I,J,D,F,A,3;D,E,F,I,A,1
C,D,E,F,A,1;I,J,A,C,E,1;D,E,A,G,F,3;G,H,C,B,I,3;E,F,B,G,H,2;J,A,E,G,B,3;H,I,C,J,D,2;B,C,G,H,D,3;F,G,H,C,J,1;A,B,D,G,C,3
I,J,C,F,A,3;G,H,I,C,J,1;J,A,G,C,B,3;A,B,F,C,H,2;C,D,H,A,E,3;H,I,C,J,D,2;E,F,G,J,A,1;B,C,D,H,F,1;D,E,B,I,F,3;F,G,D,J,H,3
C,D,F,J,E,3;A,B,H,E,C,3;I,J,A,G,D,1;H,I,F,J,C,2;B,C,E,D,H,2;F,G,H,B,A,1;E,F,I,G,A,2;J,A,B,H,E,1;D,E,H,B,F,3;G,H,J,E,I,3
I,J,A,E,C,1;C,D,I,E,H,2;B,C,G,D,J,2;H,I,J,F,B,1;F,G,D,A,H,3;G,H,I,D,B,1;D,E,H,F,J,2;E,F,A,G,I,2;A,B,G,E,C,3;J,A,D,F,B,3
B,C,J,E,D,3;G,H,B,I,E,2;C,D,H,E,I,2;A,B,C,G,E,1;J,A,B,H,C,1;E,F,A,J,G,3;H,I,J,E,C,1;F,G,I,B,H,3;I,J,A,C,E,1;D,E,I,F,J,2
C,D,E,G,I,1;F,G,B,J,H,3;H,I,B,J,F,2;I,J,C,G,A,3;J,A,E,H,B,3;D,E,I,F,J,2;A,B,G,F,C,3;E,F,G,B,I,1;G,H,J,I,E,2;B,C,D,I,G,1
J,A,C,F,B,3;B,C,D,E,I,1;E,F,J,G,C,2;D,E,F,I,J,1;G,H,D,I,J,2;A,B,D,G,C,3;C,D,I,E,F,2;F,G,H,A,C,1;I,J,E,A,B,2;H,I,B,D,J,3
