item1,item2,choice1,choice2,choice3,correct_choice (1-3)
E,F,B,G,I,2;C,D,H,J,E,3;D,E,G,F,J,2;F,G,H,C,J,1;I,J,B,A,E,2;H,I,A,F,J,3;B,C,F,J,D,3;J,A,B,F,D,1;A,B,C,H,F,1;G,H,D,I,J,2
E,F,H,G,A,2;D,E,H,B,F,3;C,D,E,A,F,1;B,C,D,F,H,1;H,I,E,J,C,2;F,G,H,D,J,1;G,H,I,D,A,1;A,B,H,E,C,3;J,A,F,B,E,2;I,J,G,D,A,3
J,A,B,E,F,1;E,F,A,J,G,3;H,I,E,B,J,3;G,H,I,D,J,1;F,G,D,H,J,2;D,E,F,J,I,1;B,C,E,H,D,3;I,J,A,G,D,1;C,D,E,G,A,1;A,B,D,H,C,3
A,B,E,I,C,3;G,H,I,A,C,1;J,A,G,E,B,3;H,I,A,E,J,3;I,J,B,A,F,2;D,E,F,H,B,1;E,F,J,G,C,2;B,C,E,D,I,2;F,G,I,D,H,3;C,D,E,J,F,1
B,C,D,F,H,1;H,I,J,E,C,1;J,A,B,D,G,1;G,H,A,D,I,3;F,G,J,H,C,2;I,J,G,A,B,2;C,D,F,E,I,2;A,B,C,I,F,1;D,E,B,I,F,3;E,F,C,G,J,2
E,F,C,I,G,3;I,J,C,A,E,2;B,C,D,J,F,1;A,B,E,C,I,2;H,I,C,J,F,2;F,G,I,B,H,3;J,A,F,B,E,2;C,D,E,I,H,1;D,E,F,A,G,1;G,H,A,I,C,2
J,A,F,E,B,3;D,E,A,F,H,2;C,D,E,A,F,1;I,J,D,E,A,3;B,C,D,F,H,1;F,G,D,H,I,2;A,B,E,C,I,2;H,I,J,E,B,1;G,H,C,J,I,3;E,F,G,C,J,1
G,H,B,I,D,2;E,F,B,G,J,2;J,A,D,G,B,3;D,E,F,H,B,1;I,J,G,B,A,3;H,I,B,J,D,2;F,G,H,J,C,1;A,B,C,D,I,1;C,D,G,E,J,2;B,C,D,J,E,1
B,C,I,D,F,2;C,D,E,A,F,1;I,J,C,A,E,2;E,F,I,C,G,3;D,E,F,B,H,1;A,B,I,C,E,2;J,A,H,B,D,2;H,I,B,D,J,3;G,H,C,A,I,3;F,G,I,D,H,3
J,A,G,B,D,2;E,F,G,C,H,1;C,D,I,E,F,2;I,J,C,G,A,3;G,H,I,D,A,1;F,G,B,H,I,2;B,C,D,E,H,1;A,B,C,G,E,1;D,E,B,F,I,2;H,I,C,E,J,3
A,B,I,C,E,2;E,F,G,B,I,1;J,A,F,B,C,2;F,G,H,B,A,1;G,H,I,C,B,1;D,E,G,J,F,3;C,D,E,H,I,1;H,I,F,B,J,3;B,C,D,J,F,1;I,J,E,B,A,3
B,C,D,J,F,1;I,J,G,A,D,2;E,F,B,J,G,3;J,A,F,C,B,3;A,B,C,H,D,1;G,H,E,I,J,2;D,E,G,A,F,3;F,G,B,H,A,2;H,I,J,A,D,1;C,D,F,J,E,3
D,E,F,H,J,1;I,J,E,B,A,3;F,G,I,H,D,2;J,A,H,D,B,3;H,I,A,F,J,3;C,D,E,F,J,1;A,B,F,C,I,2;E,F,G,J,A,1;G,H,B,I,C,2;B,C,F,J,D,3
E,F,G,B,H,1;G,H,A,I,C,2;B,C,E,I,D,3;I,J,A,E,B,1;D,E,J,F,H,2;C,D,A,F,E,3;H,I,J,D,C,1;J,A,B,F,E,1;A,B,G,C,E,2;F,G,D,I,H,3
I,J,A,E,B,1;H,I,C,J,E,2;J,A,D,F,B,3;E,F,I,C,G,3;G,H,J,I,D,2;C,D,E,I,G,1;D,E,F,I,A,1;B,C,F,J,D,3;F,G,B,H,J,2;A,B,I,D,C,3
