item1,item2,choice1,choice2,choice3,correct_choice (1-3)
B,C,D,G,J,1;C,D,I,E,H,2;A,B,H,D,C,3;D,E,H,F,J,2;F,G,H,J,D,1;G,H,I,C,B,1;H,I,E,C,J,3;J,A,B,D,H,1;E,F,B,G,I,2;I,J,E,D,A,3
H,I,J,F,C,1;C,D,I,G,E,3;A,B,C,D,I,1;F,G,C,H,J,2;J,A,F,E,B,3;E,F,A,I,G,3;B,C,D,F,H,1;D,E,B,I,F,3;I,J,A,B,E,1;G,H,I,B,E,1
B,C,G,J,D,3;I,J,A,C,G,1;A,B,C,D,G,1;C,D,J,E,F,2;G,H,E,I,J,2;D,E,B,H,F,3;J,A,C,H,B,3;E,F,G,H,B,1;H,I,J,F,B,1;F,G,A,H,D,2
B,C,D,H,F,1;H,I,J,C,E,1;J,A,H,B,E,2;I,J,F,C,A,3;D,E,F,H,B,1;A,B,H,E,C,3;E,F,B,J,G,3;G,H,C,B,I,3;C,D,H,E,J,2;F,G,C,H,J,2
E,F,I,G,C,2;D,E,I,F,A,2;J,A,E,B,F,2;H,I,J,E,C,1;I,J,A,F,B,1;C,D,G,A,E,3;B,C,J,F,D,3;F,G,D,J,H,3;A,B,C,D,I,1;G,H,J,I,D,2
J,A,B,H,E,1;B,C,H,D,E,2;A,B,C,G,F,1;I,J,B,A,E,2;C,D,G,A,E,3;D,E,A,H,F,3;F,G,H,B,I,1;G,H,I,C,B,1;E,F,G,J,A,1;H,I,E,J,B,2
I,J,C,F,A,3;B,C,D,G,I,1;A,B,F,C,H,2;J,A,E,B,H,2;H,I,J,E,A,1;G,H,E,J,I,3;C,D,I,F,E,3;F,G,C,A,H,3;D,E,F,G,J,1;E,F,G,H,A,1
E,F,G,A,J,1;F,G,D,J,H,3;B,C,J,D,G,2;J,A,C,H,B,3;G,H,D,I,J,2;D,E,G,A,F,3;A,B,I,F,C,3;H,I,A,J,F,2;I,J,D,A,F,2;C,D,E,G,A,1
A,B,H,C,E,2;G,H,I,E,A,1;B,C,G,I,D,3;H,I,J,A,E,1;E,F,J,B,G,3;J,A,B,H,D,1;C,D,E,H,I,1;I,J,C,E,A,3;D,E,A,I,F,3;F,G,B,H,I,2
F,G,H,A,D,1;H,I,J,D,C,1;A,B,D,I,C,3;E,F,G,I,A,1;J,A,E,B,H,2;I,J,E,B,A,3;C,D,E,F,J,1;B,C,H,D,E,2;G,H,B,E,I,3;D,E,B,I,F,3
A,B,D,G,C,3;D,E,F,G,J,1;B,C,J,D,E,2;J,A,C,B,F,2;F,G,H,B,J,1;I,J,B,A,F,2;G,H,D,I,A,2;C,D,F,A,E,3;H,I,J,E,C,1;E,F,H,C,G,3
F,G,J,C,H,3;I,J,G,A,D,2;J,A,C,B,F,2;A,B,C,E,H,1;B,C,D,H,F,1;D,E,I,F,B,2;C,D,E,J,H,1;H,I,C,J,E,2;E,F,G,C,I,1;G,H,D,I,J,2
B,C,E,J,D,3;E,F,G,J,A,1;H,I,C,E,J,3;C,D,E,H,I,1;A,B,G,E,C,3;J,A,B,E,G,1;F,G,I,H,D,2;D,E,G,F,B,2;G,H,I,D,A,1;I,J,F,A,D,2
D,E,G,J,F,3;A,B,D,C,G,2;C,D,E,F,I,1;F,G,B,A,H,3;G,H,I,J,E,1;E,F,B,G,J,2;J,A,G,E,B,3;I,J,C,G,A,3;H,I,C,J,F,2;B,C,D,E,H,1
H,I,A,J,E,2;D,E,G,F,A,2;F,G,H,D,J,1;C,D,E,J,H,1;B,C,J,E,D,3;J,A,D,G,B,3;G,H,I,E,J,1;I,J,F,A,D,2;E,F,G,I,A,1;A,B,D,H,C,3
