item1,item2,choice1,choice2,choice3,correct_choice (1-3)
D,E,F,B,H,1;E,H,J,B,I,3;J,A,F,E,B,3;B,J,C,F,A,3;C,D,G,E,B,2;B,C,D,G,I,1;E,F,H,G,A,2;A,B,C,E,G,1;F,G,B,E,I,2;H,I,A,C,B,3;I,B,C,E,J,3;G,E,I,H,C,2
J,A,G,D,B,3;H,I,B,A,E,1;C,D,H,E,F,2;G,E,I,H,C,2;F,G,H,E,B,2;I,B,A,D,J,3;D,E,G,B,F,3;A,B,E,H,C,3;B,C,G,D,E,2;E,H,I,B,D,1;E,F,G,J,I,1;B,J,F,D,A,3
J,A,B,E,G,1;D,E,B,F,H,2;A,B,C,H,F,1;G,E,B,C,H,3;F,G,A,I,E,3;E,H,B,I,D,2;E,F,A,H,G,3;C,D,F,E,B,2;B,C,D,I,E,1;I,B,J,C,E,1;B,J,A,D,E,1;H,I,A,B,E,2
C,D,E,I,G,1;G,E,B,H,I,2;B,C,G,D,I,2;A,B,H,E,C,3;B,J,C,E,A,3;H,I,C,A,B,3;D,E,F,J,G,1;F,G,B,E,A,2;I,B,A,J,F,2;J,A,E,B,G,2;E,F,G,A,I,1;E,H,I,B,J,1
I,B,C,E,J,3;D,E,J,G,F,3;G,E,H,J,B,1;F,G,I,E,J,2;B,C,G,E,D,3;J,A,B,E,F,1;H,I,J,B,D,2;A,B,C,E,H,1;E,F,B,G,H,2;E,H,I,J,D,1;C,D,F,B,E,3;B,J,F,C,A,3
C,D,G,E,B,2;B,J,E,A,D,2;D,E,F,I,H,1;B,C,I,E,D,3;A,B,C,H,E,1;F,G,E,A,B,1;E,H,D,A,I,3;J,A,B,F,E,1;G,E,J,H,A,2;E,F,A,H,G,3;I,B,C,F,J,3;H,I,J,C,B,3
B,J,G,A,C,2;C,D,E,F,B,1;A,B,F,G,C,3;B,C,D,E,G,1;I,B,F,J,C,2;E,F,G,B,I,1;J,A,F,C,B,3;H,I,D,B,A,2;G,E,C,J,H,3;E,H,B,J,I,3;F,G,E,J,H,1;D,E,F,G,J,1
B,C,D,G,E,1;F,G,J,E,B,2;J,A,G,B,D,2;H,I,A,C,B,3;B,J,D,E,A,3;C,D,G,I,E,3;G,E,H,A,I,1;D,E,F,G,I,1;A,B,C,E,H,1;E,F,J,I,G,3;I,B,F,J,C,2;E,H,C,A,I,3
G,E,C,J,H,3;E,F,G,I,B,1;H,I,E,B,A,2;B,C,D,I,E,1;B,J,D,A,G,2;J,A,B,E,F,1;D,E,I,H,F,3;F,G,H,E,J,2;E,H,C,B,I,3;I,B,E,A,J,3;C,D,E,I,F,1;A,B,F,E,C,3
B,J,A,F,C,1;G,E,B,J,H,3;J,A,B,G,C,1;E,F,B,I,G,3;D,E,G,F,J,2;H,I,A,B,E,2;C,D,I,F,E,3;E,H,J,D,I,3;A,B,F,C,G,2;B,C,G,H,D,3;F,G,B,A,E,3;I,B,J,C,F,1
F,G,E,B,J,1;H,I,D,J,B,3;E,H,A,I,C,2;I,B,D,J,A,2;J,A,E,B,G,2;D,E,F,J,G,1;G,E,J,B,H,3;A,B,G,E,C,3;B,C,D,H,F,1;E,F,B,I,G,3;B,J,F,C,A,3;C,D,F,E,H,2
D,E,F,H,I,1;H,I,E,J,B,3;F,G,J,I,E,3;B,C,E,F,D,3;E,F,G,I,A,1;B,J,D,A,G,2;C,D,E,G,H,1;A,B,E,C,H,2;I,B,C,F,J,3;G,E,A,H,J,2;E,H,J,I,C,2;J,A,B,D,E,1
H,I,J,B,D,2;D,E,H,B,F,3;E,H,I,C,B,1;J,A,B,F,D,1;B,J,A,C,F,1;I,B,A,J,F,2;A,B,E,C,D,2;C,D,B,G,E,3;B,C,D,I,E,1;G,E,C,J,H,3;E,F,B,H,G,3;F,G,J,H,E,3
C,D,H,F,E,3;E,H,A,I,C,2;F,G,E,H,A,1;E,F,A,H,G,3;B,J,D,A,F,2;A,B,C,D,G,1;B,C,G,E,D,3;I,B,F,C,J,3;D,E,G,F,I,2;G,E,B,H,C,2;J,A,B,F,E,1;H,I,D,A,B,3
I,B,C,J,F,2;C,D,F,I,E,3;F,G,E,A,H,1;E,H,B,I,A,2;A,B,G,C,E,2;B,C,H,D,G,2;B,J,D,F,A,3;D,E,H,J,F,3;G,E,J,H,A,2;J,A,D,G,B,3;E,F,I,J,G,3;H,I,B,D,J,1
