item1,item2,choice1,choice2,choice3,correct_choice (1-3)
J,A,F,C,B,3;H,I,E,B,A,2;D,E,F,J,G,1;C,D,E,F,I,1;G,E,C,I,H,3;B,J,A,C,E,1;I,B,E,J,A,2;B,C,I,F,D,3;E,F,J,H,G,3;E,H,J,I,B,2;F,G,J,I,E,3;A,B,E,F,C,3
F,G,H,E,B,2;D,E,F,J,G,1;G,E,A,B,H,3;I,B,F,C,J,3;E,H,C,I,B,2;C,D,I,F,E,3;J,A,B,G,E,1;B,J,G,A,D,2;H,I,D,J,B,3;E,F,J,G,I,2;A,B,E,H,C,3;B,C,D,I,E,1
C,D,B,E,G,2;F,G,E,B,A,1;G,E,H,C,J,1;A,B,E,C,F,2;B,J,E,C,A,3;D,E,I,G,F,3;E,F,A,G,H,2;J,A,F,B,E,2;E,H,B,I,C,2;I,B,J,F,A,1;B,C,G,H,D,3;H,I,A,D,B,3
B,J,D,A,G,2;E,F,I,B,G,3;C,D,F,E,H,2;A,B,E,G,C,3;H,I,B,J,E,1;J,A,B,E,G,1;G,E,B,I,H,3;D,E,B,H,F,3;F,G,J,B,E,3;I,B,J,A,E,1;B,C,D,F,E,1;E,H,D,I,B,2
E,H,D,B,I,3;B,J,C,A,F,2;I,B,J,D,A,1;E,F,G,I,A,1;C,D,B,G,E,3;J,A,D,B,G,2;A,B,H,F,C,3;G,E,B,H,A,2;F,G,E,B,H,1;H,I,A,C,B,3;B,C,I,E,D,3;D,E,G,F,J,2
G,E,A,B,H,3;B,C,D,I,E,1;J,A,F,B,E,2;A,B,D,H,C,3;E,F,H,G,J,2;I,B,A,J,F,2;H,I,B,D,A,1;E,H,B,I,D,2;B,J,C,F,A,3;D,E,H,B,F,3;C,D,I,E,F,2;F,G,J,B,E,3
B,C,H,D,E,2;H,I,B,A,E,1;E,F,A,G,H,2;C,D,E,H,F,1;F,G,J,H,E,3;E,H,B,I,A,2;D,E,I,G,F,3;A,B,D,C,G,2;B,J,A,D,E,1;G,E,H,A,I,1;J,A,B,G,D,1;I,B,D,C,J,3
H,I,A,B,D,2;F,G,A,B,E,3;D,E,H,F,I,2;E,H,I,D,A,1;B,J,C,A,E,2;A,B,H,D,C,3;B,C,F,D,I,2;C,D,G,I,E,3;I,B,D,C,J,3;G,E,H,A,J,1;J,A,F,D,B,3;E,F,H,B,G,3
G,E,J,A,H,3;E,H,J,I,D,2;F,G,H,E,A,2;J,A,C,F,B,3;C,D,E,H,G,1;B,C,D,E,F,1;B,J,C,A,E,2;A,B,F,C,G,2;D,E,H,I,F,3;H,I,A,B,D,2;E,F,B,G,I,2;I,B,J,E,A,1
E,H,D,B,I,3;I,B,J,C,F,1;C,D,G,E,B,2;D,E,J,H,F,3;G,E,H,B,C,1;F,G,B,E,H,2;B,C,I,F,D,3;B,J,A,G,D,1;J,A,E,B,D,2;E,F,G,J,H,1;A,B,H,F,C,3;H,I,J,B,D,2
G,E,I,H,B,2;B,J,C,E,A,3;H,I,B,C,A,1;F,G,B,H,E,3;B,C,D,F,H,1;E,F,G,H,B,1;E,H,B,C,I,3;A,B,G,C,E,2;D,E,F,H,J,1;C,D,I,E,G,2;I,B,J,D,C,1;J,A,D,B,F,2
G,E,J,H,C,2;B,C,D,H,E,1;A,B,G,C,E,2;I,B,A,F,J,3;B,J,F,C,A,3;E,F,A,H,G,3;E,H,C,I,B,2;C,D,E,G,H,1;D,E,F,J,G,1;F,G,B,H,E,3;H,I,B,J,D,1;J,A,B,D,F,1
E,H,A,C,I,3;B,J,A,C,G,1;I,B,E,J,C,2;B,C,H,E,D,3;F,G,J,E,H,2;J,A,B,F,C,1;E,F,G,A,H,1;A,B,G,E,C,3;H,I,B,C,J,1;C,D,H,F,E,3;G,E,I,H,B,2;D,E,B,G,F,3
G,E,H,B,J,1;H,I,D,B,A,2;E,H,A,C,I,3;B,C,D,I,E,1;A,B,G,C,E,2;B,J,D,A,G,2;E,F,B,H,G,3;C,D,F,H,E,3;I,B,F,J,C,2;J,A,C,B,E,2;F,G,E,B,I,1;D,E,G,F,J,2
J,A,D,B,E,2;E,F,I,A,G,3;B,J,F,D,A,3;F,G,B,E,A,2;H,I,B,D,J,1;E,H,A,D,I,3;G,E,H,J,C,1;A,B,F,E,C,3;C,D,G,E,H,2;D,E,H,B,F,3;B,C,F,D,H,2;I,B,J,D,C,1
