item1,item2,choice1,choice2,choice3,correct_choice (1-3)
E,F,H,G,A,2;A,B,C,H,D,1;F,G,B,I,E,3;I,B,J,A,D,1;D,E,F,G,B,1;B,C,H,D,F,2;H,I,D,B,A,2;E,H,D,I,A,2;C,D,G,B,E,3;B,J,F,D,A,3;J,A,E,F,B,3;G,E,H,A,B,1
H,I,E,A,B,3;F,G,E,I,J,1;E,F,J,G,I,2;B,C,D,E,H,1;I,B,D,C,J,3;D,E,G,J,F,3;G,E,J,H,B,2;B,J,F,D,A,3;E,H,J,I,D,2;J,A,F,B,E,2;A,B,D,H,C,3;C,D,E,G,H,1
E,F,B,G,I,2;G,E,I,A,H,3;F,G,B,E,I,2;D,E,G,B,F,3;C,D,E,G,H,1;J,A,E,B,F,2;B,C,D,I,E,1;A,B,H,F,C,3;B,J,E,D,A,3;H,I,J,B,C,2;I,B,A,J,E,2;E,H,C,I,J,2
G,E,B,H,I,2;A,B,G,C,E,2;I,B,J,E,A,1;H,I,A,D,B,3;E,F,G,I,J,1;B,J,A,F,C,1;F,G,B,A,E,3;E,H,J,D,I,3;J,A,B,G,C,1;D,E,B,H,F,3;B,C,I,D,G,2;C,D,E,H,G,1
A,B,F,C,H,2;F,G,H,B,E,3;I,B,J,A,D,1;C,D,E,H,F,1;E,H,I,B,C,1;D,E,I,F,G,2;H,I,A,D,B,3;B,J,A,G,C,1;J,A,G,E,B,3;B,C,I,E,D,3;G,E,B,H,J,2;E,F,G,H,B,1
A,B,C,H,F,1;F,G,B,I,E,3;D,E,F,G,B,1;H,I,E,B,J,2;B,C,E,D,F,2;E,F,I,A,G,3;E,H,C,I,J,2;I,B,E,J,C,2;C,D,H,E,G,2;B,J,A,F,C,1;J,A,E,G,B,3;G,E,B,A,H,3
B,J,G,A,C,2;I,B,C,J,E,2;G,E,H,C,B,1;F,G,A,B,E,3;E,F,G,I,J,1;B,C,G,I,D,3;J,A,E,G,B,3;C,D,F,E,I,2;D,E,J,H,F,3;H,I,B,E,J,1;E,H,D,B,I,3;A,B,D,C,H,2
A,B,H,C,E,2;D,E,B,G,F,3;B,J,A,F,C,1;I,B,J,A,E,1;E,F,A,I,G,3;E,H,D,I,A,2;B,C,D,I,G,1;C,D,E,G,B,1;F,G,A,E,I,2;G,E,A,J,H,3;J,A,F,B,E,2;H,I,C,J,B,3
H,I,B,C,J,1;B,C,H,E,D,3;J,A,B,F,E,1;I,B,D,A,J,3;E,H,C,B,I,3;E,F,G,H,J,1;C,D,F,E,B,2;A,B,G,C,E,2;D,E,H,F,B,2;B,J,A,C,F,1;F,G,J,E,H,2;G,E,A,I,H,3
A,B,C,H,D,1;F,G,A,E,I,2;J,A,F,B,E,2;G,E,I,B,H,3;E,F,G,A,H,1;E,H,I,C,A,1;C,D,E,H,F,1;D,E,I,H,F,3;B,C,I,E,D,3;I,B,F,C,J,3;B,J,D,A,F,2;H,I,D,A,B,3
J,A,B,F,D,1;G,E,J,B,H,3;B,C,E,D,G,2;F,G,I,E,A,2;H,I,E,A,B,3;A,B,E,C,G,2;I,B,J,C,E,1;E,H,B,C,I,3;B,J,D,E,A,3;C,D,E,I,G,1;D,E,H,B,F,3;E,F,H,G,A,2
J,A,B,F,E,1;G,E,A,H,I,2;I,B,C,E,J,3;E,F,I,G,A,2;B,C,D,H,G,1;F,G,I,A,E,3;H,I,J,B,E,2;C,D,I,E,G,2;D,E,H,F,B,2;E,H,J,C,I,3;A,B,E,G,C,3;B,J,F,A,D,2
B,C,H,E,D,3;E,H,I,B,C,1;C,D,F,B,E,3;A,B,F,C,G,2;E,F,H,B,G,3;I,B,E,C,J,3;D,E,F,H,J,1;G,E,B,H,J,2;J,A,E,B,F,2;F,G,E,A,B,1;B,J,D,G,A,3;H,I,J,C,B,3
B,J,A,F,D,1;D,E,I,F,G,2;I,B,A,E,J,3;G,E,C,H,J,2;J,A,B,E,F,1;H,I,B,E,J,1;B,C,H,E,D,3;E,H,I,J,B,1;F,G,E,H,B,1;E,F,J,I,G,3;C,D,H,F,E,3;A,B,C,D,E,1
C,D,E,I,F,1;H,I,D,B,J,2;I,B,F,J,A,2;A,B,G,C,F,2;B,C,G,I,D,3;D,E,F,H,I,1;J,A,F,B,D,2;E,H,J,C,I,3;E,F,I,B,G,3;G,E,H,A,B,1;F,G,H,B,E,3;B,J,E,A,D,2
