item1,item2,choice1,choice2,choice3,correct_choice (1-3)
D,E,F,J,H,1;F,G,E,I,B,1;B,J,F,A,C,2;H,I,J,C,B,3;E,H,C,I,A,2;J,A,E,D,B,3;C,D,I,E,F,2;B,C,D,H,E,1;G,E,A,H,B,2;A,B,G,F,C,3;I,B,A,F,J,3;E,F,H,A,G,3
B,J,F,D,A,3;G,E,H,J,A,1;D,E,H,F,I,2;E,H,I,J,C,1;J,A,F,E,B,3;H,I,A,B,C,2;C,D,F,E,B,2;F,G,E,A,B,1;E,F,H,B,G,3;I,B,C,J,D,2;B,C,D,I,E,1;A,B,C,H,F,1
H,I,D,A,B,3;D,E,G,F,B,2;F,G,E,I,J,1;G,E,H,J,B,1;B,C,H,E,D,3;A,B,H,D,C,3;B,J,A,C,E,1;E,H,C,J,I,3;I,B,J,F,A,1;C,D,E,F,B,1;E,F,A,G,H,2;J,A,B,F,D,1
A,B,F,H,C,3;G,E,B,H,A,2;J,A,F,B,E,2;I,B,A,E,J,3;E,H,I,C,B,1;B,J,C,E,A,3;B,C,D,I,E,1;E,F,G,J,H,1;F,G,B,A,E,3;H,I,C,B,A,2;D,E,I,F,H,2;C,D,B,F,E,3
F,G,B,E,A,2;B,C,G,E,D,3;G,E,H,A,I,1;J,A,E,B,C,2;I,B,J,C,F,1;H,I,A,B,E,2;E,F,J,H,G,3;C,D,H,G,E,3;A,B,C,D,H,1;D,E,F,J,H,1;E,H,I,B,A,1;B,J,F,A,C,2
B,C,D,G,E,1;H,I,E,A,B,3;A,B,D,C,H,2;E,F,B,H,G,3;E,H,I,J,C,1;D,E,H,F,B,2;F,G,I,B,E,3;C,D,F,E,B,2;B,J,A,D,E,1;G,E,H,C,B,1;I,B,C,F,J,3;J,A,B,F,D,1
B,C,E,D,I,2;E,H,A,C,I,3;C,D,G,I,E,3;A,B,E,C,G,2;B,J,A,G,D,1;F,G,H,E,J,2;H,I,B,J,D,1;I,B,D,J,A,2;D,E,G,J,F,3;E,F,B,G,H,2;J,A,B,F,E,1;G,E,H,J,A,1
J,A,D,B,G,2;C,D,E,B,F,1;H,I,J,D,B,3;E,H,I,D,B,1;I,B,J,F,C,1;E,F,J,I,G,3;B,C,D,E,F,1;D,E,I,H,F,3;A,B,E,C,G,2;G,E,H,I,C,1;F,G,I,A,E,3;B,J,C,E,A,3
B,C,G,H,D,3;F,G,H,E,J,2;A,B,F,C,E,2;C,D,E,H,F,1;G,E,B,H,I,2;I,B,A,F,J,3;B,J,A,E,C,1;E,H,A,I,C,2;H,I,J,E,B,3;J,A,B,F,C,1;D,E,I,G,F,3;E,F,J,G,I,2
E,F,G,A,I,1;H,I,C,A,B,3;F,G,B,E,H,2;I,B,C,J,F,2;B,J,D,G,A,3;B,C,D,F,E,1;C,D,F,H,E,3;E,H,C,I,B,2;G,E,H,J,A,1;D,E,F,B,G,1;J,A,E,F,B,3;A,B,E,C,H,2
E,F,A,I,G,3;B,J,A,E,C,1;D,E,B,F,H,2;E,H,C,I,A,2;H,I,B,D,J,1;I,B,A,J,D,2;C,D,F,H,E,3;J,A,G,E,B,3;A,B,F,H,C,3;F,G,E,J,I,1;B,C,E,D,G,2;G,E,H,B,A,1
G,E,C,I,H,3;B,J,A,E,D,1;D,E,F,G,J,1;J,A,E,B,G,2;F,G,A,E,B,2;A,B,C,F,G,1;E,H,C,I,A,2;E,F,I,A,G,3;H,I,J,C,B,3;B,C,H,G,D,3;I,B,J,D,C,1;C,D,G,E,B,2
A,B,C,G,E,1;H,I,J,B,E,2;E,F,H,G,J,2;B,C,E,D,G,2;J,A,B,F,D,1;B,J,D,E,A,3;G,E,J,A,H,3;C,D,E,H,F,1;I,B,E,J,A,2;F,G,H,A,E,3;D,E,J,H,F,3;E,H,D,B,I,3
H,I,C,B,A,2;B,C,D,I,F,1;B,J,C,G,A,3;E,H,B,I,J,2;D,E,F,J,H,1;F,G,I,E,A,2;G,E,H,A,B,1;A,B,H,D,C,3;E,F,I,A,G,3;C,D,G,E,I,2;J,A,B,E,G,1;I,B,J,C,F,1
E,F,G,I,B,1;H,I,D,A,B,3;J,A,F,B,C,2;G,E,A,H,B,2;C,D,E,I,G,1;I,B,J,E,A,1;B,C,D,E,F,1;E,H,B,A,I,3;F,G,E,A,B,1;D,E,J,F,H,2;A,B,E,C,H,2;B,J,C,G,A,3
