item1,item2,choice1,choice2,choice3,correct_choice (1-3)
A,B,G,C,F,2;G,E,H,J,C,1;H,I,J,D,B,3;C,D,F,B,E,3;I,B,F,J,C,2;B,C,I,D,G,2;D,E,F,G,B,1;B,J,A,D,F,1;E,H,B,A,I,3;E,F,G,B,H,1;F,G,A,B,E,3;J,A,G,B,D,2
A,B,D,G,C,3;F,G,E,I,J,1;D,E,G,F,B,2;I,B,D,J,C,2;J,A,B,D,E,1;C,D,B,E,F,2;G,E,J,A,H,3;B,C,D,E,H,1;H,I,J,D,B,3;E,F,G,I,B,1;B,J,F,A,D,2;E,H,D,J,I,3
F,G,H,B,E,3;J,A,B,F,E,1;D,E,F,H,B,1;E,H,I,A,C,1;H,I,E,J,B,3;I,B,E,J,C,2;C,D,B,E,F,2;B,C,E,I,D,3;B,J,E,D,A,3;A,B,E,D,C,3;E,F,I,G,A,2;G,E,B,H,I,2
I,B,F,A,J,3;H,I,C,B,A,2;C,D,E,B,G,1;G,E,C,H,I,2;B,C,D,I,G,1;J,A,C,F,B,3;F,G,H,J,E,3;B,J,F,A,D,2;E,H,J,I,C,2;E,F,H,J,G,3;A,B,C,G,E,1;D,E,F,G,J,1
B,J,F,C,A,3;C,D,E,G,I,1;E,F,A,H,G,3;D,E,F,G,B,1;H,I,D,B,J,2;A,B,E,C,D,2;J,A,E,F,B,3;I,B,J,C,F,1;E,H,C,I,A,2;F,G,A,H,E,3;B,C,H,F,D,3;G,E,H,I,A,1
F,G,E,A,H,1;D,E,G,I,F,3;J,A,G,B,C,2;C,D,G,B,E,3;E,F,G,I,B,1;H,I,B,D,J,1;B,J,C,A,F,2;I,B,J,A,D,1;B,C,I,E,D,3;A,B,H,E,C,3;E,H,D,I,A,2;G,E,C,I,H,3
C,D,E,F,H,1;I,B,F,C,J,3;E,H,C,J,I,3;G,E,A,B,H,3;J,A,D,B,F,2;B,J,A,D,G,1;B,C,E,D,H,2;F,G,H,E,A,2;H,I,B,A,C,1;E,F,H,A,G,3;D,E,F,B,G,1;A,B,G,D,C,3
E,H,I,C,B,1;G,E,B,H,J,2;J,A,B,E,C,1;A,B,H,F,C,3;D,E,G,J,F,3;E,F,A,G,H,2;F,G,J,I,E,3;I,B,A,J,F,2;C,D,G,B,E,3;H,I,B,C,A,1;B,J,A,C,E,1;B,C,I,F,D,3
B,J,G,C,A,3;H,I,B,J,D,1;D,E,F,H,B,1;C,D,H,E,G,2;F,G,A,B,E,3;B,C,F,D,H,2;I,B,J,E,C,1;J,A,E,D,B,3;E,F,G,B,I,1;E,H,I,J,B,1;A,B,E,C,H,2;G,E,C,I,H,3
E,H,J,C,I,3;G,E,H,B,A,1;B,C,F,D,H,2;E,F,I,G,J,2;F,G,E,B,A,1;H,I,E,B,A,2;A,B,F,E,C,3;I,B,J,F,A,1;J,A,B,F,C,1;C,D,I,E,G,2;D,E,H,F,J,2;B,J,E,D,A,3
B,C,D,I,G,1;J,A,E,D,B,3;I,B,E,C,J,3;E,F,J,G,I,2;G,E,H,B,I,1;H,I,J,D,B,3;E,H,J,I,B,2;F,G,I,E,A,2;C,D,E,G,H,1;A,B,F,G,C,3;D,E,G,F,I,2;B,J,E,C,A,3
E,H,I,A,C,1;A,B,G,C,E,2;J,A,G,B,C,2;E,F,A,I,G,3;H,I,J,C,B,3;G,E,H,B,A,1;F,G,E,B,A,1;I,B,F,C,J,3;B,C,I,F,D,3;C,D,F,B,E,3;B,J,E,A,D,2;D,E,F,H,J,1
I,B,J,A,E,1;G,E,C,I,H,3;J,A,B,E,F,1;E,F,A,H,G,3;D,E,G,F,J,2;E,H,C,B,I,3;A,B,F,C,G,2;B,J,A,F,C,1;F,G,I,E,J,2;B,C,G,E,D,3;C,D,H,F,E,3;H,I,J,C,B,3
J,A,B,C,F,1;E,F,I,B,G,3;B,J,E,D,A,3;D,E,F,J,G,1;A,B,E,C,D,2;I,B,J,C,D,1;B,C,I,D,G,2;G,E,H,B,A,1;C,D,H,E,F,2;E,H,I,D,A,1;H,I,B,E,A,1;F,G,J,B,E,3
B,J,C,A,G,2;E,F,H,A,G,3;H,I,B,A,E,1;E,H,A,C,I,3;D,E,B,F,H,2;F,G,E,A,H,1;A,B,C,F,G,1;B,C,G,I,D,3;C,D,E,G,I,1;J,A,B,E,G,1;G,E,A,H,I,2;I,B,F,J,A,2
