item1,item2,choice1,choice2,choice3,correct_choice (1-3)
A,B,E,H,C,3;E,F,G,I,J,1;E,H,J,C,I,3;I,B,C,J,D,2;G,E,I,H,B,2;C,D,H,G,E,3;B,J,F,D,A,3;H,I,B,J,D,1;J,A,B,D,G,1;B,C,D,E,H,1;F,G,J,E,B,2;D,E,B,F,G,2
G,E,I,H,C,2;C,D,F,B,E,3;F,G,B,E,A,2;E,F,I,A,G,3;D,E,F,B,H,1;A,B,C,E,D,1;E,H,D,I,A,2;B,C,E,I,D,3;I,B,C,J,F,2;J,A,G,B,E,2;H,I,A,C,B,3;B,J,A,C,F,1
F,G,J,E,B,2;J,A,B,E,C,1;E,H,B,C,I,3;D,E,H,B,F,3;G,E,B,H,J,2;I,B,J,F,A,1;H,I,D,B,A,2;E,F,H,B,G,3;B,J,D,A,G,2;C,D,F,H,E,3;A,B,E,C,G,2;B,C,F,H,D,3
I,B,D,C,J,3;D,E,F,G,B,1;H,I,E,B,A,2;J,A,B,E,F,1;E,F,H,G,J,2;B,C,F,E,D,3;C,D,F,B,E,3;F,G,E,A,I,1;E,H,I,C,B,1;G,E,B,J,H,3;A,B,F,G,C,3;B,J,F,A,D,2
E,F,G,I,J,1;B,J,E,D,A,3;I,B,J,A,F,1;B,C,G,D,I,2;H,I,B,D,J,1;D,E,I,F,G,2;E,H,I,D,B,1;J,A,G,B,C,2;A,B,G,C,D,2;F,G,I,J,E,3;C,D,G,H,E,3;G,E,H,B,C,1
H,I,A,B,C,2;B,J,A,C,F,1;J,A,B,G,C,1;G,E,J,H,A,2;F,G,J,I,E,3;A,B,E,C,G,2;E,H,B,D,I,3;C,D,G,H,E,3;E,F,H,G,B,2;B,C,E,D,I,2;D,E,F,J,G,1;I,B,E,J,A,2
J,A,C,B,G,2;G,E,B,C,H,3;C,D,E,I,F,1;B,C,F,D,H,2;B,J,F,A,D,2;F,G,I,J,E,3;H,I,B,A,C,1;I,B,J,D,C,1;D,E,F,B,H,1;E,H,B,J,I,3;A,B,E,C,H,2;E,F,G,H,J,1
J,A,E,B,D,2;F,G,E,A,B,1;A,B,C,E,D,1;C,D,I,G,E,3;B,J,F,C,A,3;B,C,F,H,D,3;G,E,H,I,C,1;E,F,B,G,H,2;H,I,J,B,E,2;E,H,I,J,D,1;I,B,C,J,D,2;D,E,F,B,H,1
J,A,F,B,E,2;B,C,D,E,G,1;D,E,G,I,F,3;A,B,H,D,C,3;I,B,C,J,D,2;E,H,A,I,D,2;E,F,I,G,J,2;F,G,A,I,E,3;B,J,A,C,F,1;C,D,H,F,E,3;G,E,J,B,H,3;H,I,B,A,D,1
B,J,E,C,A,3;B,C,F,D,I,2;E,F,G,B,H,1;G,E,C,I,H,3;C,D,F,E,B,2;I,B,C,J,F,2;A,B,C,D,G,1;H,I,A,C,B,3;F,G,H,E,B,2;D,E,J,G,F,3;J,A,B,E,G,1;E,H,I,C,J,1
I,B,C,J,F,2;E,H,I,D,B,1;F,G,B,J,E,3;G,E,B,I,H,3;B,J,F,D,A,3;H,I,A,B,E,2;J,A,B,E,D,1;C,D,E,F,H,1;E,F,G,H,A,1;D,E,J,H,F,3;A,B,C,G,D,1;B,C,H,E,D,3
B,C,E,D,I,2;D,E,F,I,G,1;B,J,D,F,A,3;A,B,C,G,E,1;E,F,I,J,G,3;C,D,G,E,B,2;H,I,D,B,A,2;E,H,I,C,B,1;I,B,C,E,J,3;J,A,F,B,C,2;G,E,A,B,H,3;F,G,I,E,B,2
C,D,H,E,F,2;H,I,E,B,A,2;J,A,E,F,B,3;G,E,H,B,J,1;A,B,C,H,E,1;E,F,G,J,H,1;D,E,J,F,G,2;B,C,E,F,D,3;B,J,D,A,F,2;I,B,J,E,C,1;E,H,C,I,A,2;F,G,I,E,J,2
F,G,B,E,H,2;J,A,D,G,B,3;H,I,B,A,D,1;D,E,I,F,H,2;E,H,C,B,I,3;I,B,J,C,F,1;E,F,H,G,A,2;B,C,I,E,D,3;B,J,E,A,C,2;A,B,F,C,E,2;C,D,G,I,E,3;G,E,H,C,J,1
F,G,B,E,J,2;C,D,G,B,E,3;I,B,J,F,C,1;E,H,B,I,A,2;B,J,D,F,A,3;D,E,F,I,G,1;G,E,J,H,A,2;B,C,E,G,D,3;J,A,B,C,G,1;A,B,C,G,F,1;H,I,E,B,A,2;E,F,B,I,G,3
