item1,item2,choice1,choice2,choice3,correct_choice (1-3)
J,A,B,D,F,1;H,I,A,E,B,3;B,J,E,A,C,2;I,B,D,J,C,2;G,E,I,C,H,3;B,C,D,F,I,1;D,E,F,B,G,1;A,B,E,C,D,2;E,H,J,D,I,3;E,F,G,B,H,1;C,D,I,E,G,2;F,G,E,J,B,1
C,D,B,E,G,2;G,E,B,H,A,2;I,B,J,F,A,1;E,H,B,I,J,2;J,A,B,F,C,1;E,F,J,H,G,3;F,G,B,E,H,2;D,E,I,F,G,2;A,B,H,D,C,3;B,J,D,E,A,3;H,I,B,A,E,1;B,C,D,H,F,1
H,I,A,D,B,3;E,F,B,H,G,3;B,C,D,E,H,1;J,A,F,D,B,3;B,J,A,D,E,1;G,E,I,H,C,2;F,G,E,B,J,1;E,H,A,I,C,2;C,D,E,G,I,1;I,B,F,J,C,2;D,E,F,H,J,1;A,B,F,C,E,2
B,J,F,D,A,3;E,H,I,J,D,1;H,I,E,B,A,2;C,D,F,H,E,3;F,G,B,E,J,2;B,C,D,E,I,1;E,F,G,J,I,1;A,B,C,D,E,1;G,E,B,H,A,2;I,B,F,C,J,3;D,E,H,F,J,2;J,A,G,B,C,2
D,E,B,F,G,2;F,G,E,B,H,1;A,B,C,E,D,1;G,E,I,C,H,3;I,B,C,D,J,3;H,I,A,B,E,2;J,A,D,F,B,3;E,H,J,I,D,2;E,F,J,G,H,2;B,C,F,E,D,3;C,D,E,F,I,1;B,J,F,A,D,2
G,E,H,B,A,1;J,A,E,G,B,3;H,I,A,B,E,2;I,B,E,C,J,3;E,F,I,G,A,2;F,G,B,E,J,2;C,D,E,H,F,1;D,E,B,F,G,2;B,J,A,F,D,1;E,H,D,I,B,2;A,B,C,G,E,1;B,C,D,F,I,1
I,B,J,D,C,1;B,J,D,A,G,2;E,F,A,H,G,3;F,G,E,H,B,1;C,D,E,B,G,1;B,C,E,H,D,3;A,B,E,F,C,3;J,A,C,G,B,3;H,I,A,B,D,2;E,H,B,I,C,2;G,E,J,H,B,2;D,E,F,B,H,1
I,B,F,J,C,2;E,H,B,C,I,3;E,F,G,I,B,1;A,B,C,E,H,1;D,E,G,F,J,2;F,G,B,A,E,3;B,C,G,D,E,2;B,J,D,G,A,3;H,I,B,C,A,1;C,D,E,I,F,1;G,E,A,H,I,2;J,A,F,B,D,2
B,C,D,E,H,1;G,E,C,H,B,2;A,B,E,G,C,3;H,I,A,C,B,3;I,B,A,J,F,2;C,D,E,F,I,1;F,G,I,A,E,3;B,J,G,D,A,3;E,H,A,I,C,2;J,A,B,F,C,1;E,F,B,H,G,3;D,E,J,F,H,2
H,I,A,B,D,2;E,H,I,B,D,1;B,J,F,D,A,3;F,G,I,E,A,2;J,A,G,B,E,2;B,C,G,H,D,3;D,E,I,G,F,3;C,D,E,B,F,1;E,F,G,H,B,1;I,B,J,C,D,1;A,B,H,E,C,3;G,E,A,H,J,2
B,C,E,H,D,3;I,B,E,J,A,2;C,D,E,H,G,1;B,J,C,A,F,2;E,F,G,H,A,1;E,H,I,B,J,1;D,E,H,B,F,3;J,A,F,B,C,2;G,E,A,H,B,2;F,G,E,J,B,1;A,B,G,E,C,3;H,I,C,B,A,2
E,F,A,H,G,3;A,B,C,G,E,1;J,A,F,B,D,2;H,I,E,B,J,2;B,J,A,D,E,1;B,C,F,D,E,2;E,H,B,C,I,3;D,E,F,J,H,1;C,D,G,E,I,2;G,E,J,A,H,3;I,B,A,F,J,3;F,G,J,E,H,2
I,B,J,A,E,1;E,H,C,J,I,3;E,F,I,G,B,2;F,G,E,I,B,1;G,E,C,B,H,3;H,I,B,C,A,1;C,D,E,G,B,1;B,C,I,D,E,2;B,J,C,G,A,3;A,B,F,H,C,3;J,A,B,E,G,1;D,E,G,I,F,3
J,A,E,B,D,2;E,H,B,I,J,2;E,F,H,B,G,3;D,E,F,I,G,1;A,B,E,G,C,3;C,D,E,I,G,1;B,J,G,A,D,2;F,G,B,H,E,3;I,B,C,J,E,2;G,E,H,J,B,1;H,I,J,E,B,3;B,C,D,F,H,1
J,A,E,G,B,3;B,J,A,C,G,1;G,E,C,H,B,2;A,B,G,C,E,2;D,E,F,I,G,1;H,I,E,J,B,3;I,B,D,C,J,3;E,F,G,J,I,1;F,G,H,E,A,2;E,H,I,D,B,1;B,C,I,D,G,2;C,D,G,B,E,3
