item1,item2,choice1,choice2,choice3,correct_choice (1-3)
A,B,E,C,G,2;I,B,E,A,J,3;F,G,E,J,H,1;G,E,A,B,H,3;E,H,C,I,A,2;J,A,F,D,B,3;B,J,D,A,G,2;H,I,C,B,J,2;D,E,G,F,I,2;C,D,E,H,G,1;B,C,E,D,F,2;E,F,I,A,G,3
F,G,I,E,J,2;J,A,B,G,C,1;A,B,C,H,D,1;H,I,J,E,B,3;I,B,C,D,J,3;G,E,H,I,A,1;E,F,B,G,I,2;B,J,E,D,A,3;E,H,C,B,I,3;C,D,F,B,E,3;D,E,F,H,J,1;B,C,I,G,D,3
F,G,J,E,I,2;J,A,C,B,G,2;E,F,G,B,H,1;E,H,A,I,C,2;B,C,F,E,D,3;C,D,E,F,I,1;G,E,A,H,J,2;B,J,C,F,A,3;H,I,B,C,A,1;D,E,F,I,G,1;A,B,C,F,H,1;I,B,D,A,J,3
B,J,E,A,D,2;F,G,A,E,I,2;B,C,F,E,D,3;I,B,J,D,C,1;D,E,F,G,I,1;A,B,G,F,C,3;J,A,B,D,G,1;E,F,A,G,H,2;C,D,E,G,H,1;G,E,H,J,C,1;E,H,I,B,D,1;H,I,D,B,A,2
G,E,H,B,C,1;I,B,F,J,A,2;C,D,G,E,B,2;E,H,D,A,I,3;J,A,D,E,B,3;B,C,D,E,G,1;H,I,C,B,J,2;D,E,J,G,F,3;B,J,D,A,E,2;F,G,E,H,J,1;A,B,E,H,C,3;E,F,G,A,H,1
J,A,B,G,D,1;E,F,I,B,G,3;F,G,I,E,B,2;H,I,D,B,J,2;C,D,G,H,E,3;B,C,H,D,E,2;I,B,J,F,C,1;B,J,F,D,A,3;G,E,B,H,C,2;E,H,A,C,I,3;D,E,H,F,J,2;A,B,F,C,H,2
I,B,J,A,D,1;G,E,C,H,J,2;J,A,F,E,B,3;C,D,G,B,E,3;H,I,B,J,E,1;B,C,F,D,E,2;D,E,I,H,F,3;B,J,C,F,A,3;E,F,A,G,H,2;F,G,B,E,A,2;A,B,C,E,D,1;E,H,B,I,J,2
D,E,F,H,I,1;C,D,E,F,B,1;B,J,E,A,D,2;H,I,A,E,B,3;E,F,H,A,G,3;J,A,D,B,F,2;E,H,D,A,I,3;I,B,J,F,C,1;B,C,D,H,E,1;A,B,F,H,C,3;F,G,A,E,B,2;G,E,A,H,B,2
I,B,C,E,J,3;B,J,A,C,E,1;A,B,E,C,H,2;H,I,B,C,A,1;G,E,J,H,A,2;B,C,I,F,D,3;E,H,D,I,A,2;C,D,E,G,I,1;D,E,F,J,H,1;J,A,G,E,B,3;E,F,H,G,A,2;F,G,H,J,E,3
G,E,B,H,C,2;B,C,E,D,F,2;D,E,B,H,F,3;C,D,G,E,H,2;F,G,E,A,H,1;E,F,G,H,B,1;J,A,E,B,C,2;I,B,J,F,A,1;H,I,C,B,J,2;A,B,E,H,C,3;B,J,A,C,G,1;E,H,I,D,J,1
E,F,I,B,G,3;E,H,J,I,C,2;D,E,F,I,G,1;A,B,E,H,C,3;F,G,H,E,B,2;G,E,H,C,B,1;I,B,C,J,D,2;C,D,E,H,G,1;B,C,H,F,D,3;B,J,E,A,D,2;H,I,B,C,A,1;J,A,B,F,E,1
B,J,E,A,D,2;I,B,J,E,C,1;H,I,B,J,E,1;D,E,J,G,F,3;G,E,I,B,H,3;J,A,F,B,C,2;B,C,D,G,I,1;F,G,I,E,B,2;E,H,J,I,C,2;A,B,E,G,C,3;E,F,G,B,I,1;C,D,H,E,G,2
A,B,G,F,C,3;J,A,B,E,C,1;D,E,H,I,F,3;F,G,B,E,J,2;G,E,H,B,I,1;E,H,D,J,I,3;E,F,I,G,B,2;C,D,G,E,H,2;B,C,F,H,D,3;B,J,A,D,E,1;I,B,A,F,J,3;H,I,B,A,E,1
E,H,I,B,C,1;B,C,E,D,H,2;F,G,J,H,E,3;E,F,J,I,G,3;J,A,B,E,G,1;G,E,C,I,H,3;B,J,G,A,D,2;C,D,B,G,E,3;I,B,J,A,F,1;A,B,G,C,E,2;D,E,B,H,F,3;H,I,D,J,B,3
B,J,A,D,F,1;J,A,C,B,G,2;C,D,G,E,I,2;E,F,G,B,I,1;D,E,I,F,G,2;F,G,I,A,E,3;H,I,C,A,B,3;G,E,C,H,B,2;E,H,I,B,J,1;A,B,G,C,F,2;I,B,J,F,A,1;B,C,G,I,D,3
