item1,item2,choice1,choice2,choice3,correct_choice (1-3)
E,F,J,G,H,2;B,C,G,I,D,3;I,B,J,A,D,1;D,E,F,G,B,1;J,A,E,C,B,3;C,D,I,G,E,3;A,B,E,C,H,2;B,J,F,D,A,3;E,H,I,B,J,1;H,I,J,B,D,2;F,G,B,I,E,3;G,E,H,J,B,1
C,D,G,E,I,2;I,B,C,J,F,2;F,G,B,A,E,3;B,J,A,F,C,1;D,E,F,B,G,1;G,E,H,I,A,1;E,H,B,A,I,3;H,I,E,A,B,3;A,B,E,C,F,2;E,F,A,G,I,2;B,C,F,I,D,3;J,A,B,F,C,1
B,C,G,D,H,2;B,J,C,A,G,2;C,D,G,B,E,3;E,H,I,B,A,1;E,F,G,B,H,1;I,B,J,A,F,1;J,A,G,C,B,3;F,G,E,B,I,1;D,E,F,G,I,1;A,B,C,F,G,1;G,E,B,H,J,2;H,I,D,B,J,2
J,A,B,F,C,1;B,C,H,F,D,3;G,E,I,H,C,2;E,F,B,G,H,2;F,G,B,H,E,3;D,E,F,J,H,1;I,B,J,C,E,1;H,I,C,A,B,3;A,B,C,E,H,1;C,D,B,F,E,3;B,J,G,A,D,2;E,H,I,C,B,1
G,E,A,B,H,3;B,J,A,C,F,1;H,I,A,B,C,2;D,E,H,F,B,2;B,C,I,F,D,3;F,G,E,I,A,1;E,H,C,A,I,3;A,B,C,F,E,1;C,D,F,E,B,2;I,B,J,C,D,1;E,F,A,I,G,3;J,A,B,F,C,1
E,H,I,A,D,1;I,B,D,A,J,3;G,E,C,H,B,2;H,I,B,J,D,1;A,B,C,F,H,1;J,A,G,B,E,2;F,G,A,E,H,2;E,F,A,I,G,3;B,J,C,E,A,3;B,C,I,D,E,2;C,D,E,I,F,1;D,E,B,G,F,3
B,C,D,I,F,1;C,D,I,G,E,3;E,H,I,B,C,1;I,B,F,A,J,3;J,A,C,B,F,2;F,G,J,E,H,2;A,B,D,H,C,3;B,J,A,G,C,1;E,F,A,G,I,2;G,E,J,H,A,2;D,E,I,F,H,2;H,I,C,A,B,3
A,B,G,F,C,3;G,E,A,H,J,2;E,H,D,I,B,2;E,F,H,B,G,3;D,E,F,H,I,1;I,B,A,D,J,3;F,G,H,A,E,3;J,A,F,B,C,2;C,D,F,I,E,3;H,I,B,J,E,1;B,J,A,D,G,1;B,C,D,G,I,1
E,H,I,A,C,1;A,B,C,F,G,1;B,J,G,A,D,2;G,E,A,I,H,3;F,G,B,E,H,2;C,D,H,F,E,3;D,E,F,I,G,1;E,F,H,A,G,3;H,I,A,C,B,3;B,C,D,F,H,1;I,B,D,A,J,3;J,A,D,B,E,2
H,I,E,A,B,3;E,F,G,I,B,1;G,E,H,J,A,1;D,E,B,G,F,3;F,G,J,E,I,2;B,J,A,E,C,1;C,D,E,H,G,1;I,B,C,F,J,3;B,C,H,F,D,3;E,H,D,A,I,3;J,A,B,E,F,1;A,B,D,C,G,2
F,G,J,E,B,2;C,D,F,B,E,3;B,C,D,G,E,1;A,B,E,C,F,2;D,E,F,I,H,1;E,H,J,D,I,3;G,E,B,A,H,3;B,J,D,A,E,2;I,B,J,F,A,1;H,I,B,E,A,1;J,A,B,D,G,1;E,F,B,G,H,2
B,C,I,D,G,2;H,I,B,C,J,1;F,G,A,H,E,3;D,E,G,F,B,2;I,B,A,J,D,2;J,A,B,F,D,1;C,D,B,G,E,3;A,B,C,H,E,1;E,F,G,H,J,1;B,J,C,A,E,2;E,H,B,D,I,3;G,E,I,A,H,3
H,I,C,A,B,3;B,C,E,D,I,2;B,J,C,A,F,2;F,G,E,B,I,1;D,E,G,I,F,3;A,B,C,E,F,1;E,H,J,I,B,2;G,E,B,C,H,3;J,A,B,E,F,1;E,F,B,G,I,2;C,D,E,I,F,1;I,B,F,C,J,3
F,G,B,E,A,2;I,B,J,E,A,1;C,D,B,G,E,3;J,A,G,B,D,2;A,B,C,D,E,1;G,E,C,B,H,3;D,E,H,F,J,2;E,H,I,C,B,1;B,J,A,C,F,1;H,I,J,D,B,3;B,C,H,D,G,2;E,F,H,A,G,3
B,C,H,G,D,3;A,B,C,E,G,1;H,I,J,B,D,2;B,J,F,C,A,3;G,E,H,I,A,1;E,F,G,I,B,1;D,E,G,B,F,3;C,D,G,E,H,2;E,H,A,I,B,2;F,G,A,H,E,3;I,B,A,J,D,2;J,A,G,D,B,3
