item1,item2,choice1,choice2,choice3,correct_choice (1-3)
K,L,B,M,A,2;F,G,H,I,J,1;A,N,P,F,O,3;B,F,M,H,G,3;O,P,A,H,B,1;E,B,I,F,J,2;I,F,O,J,K,2;B,C,D,K,F,1;P,A,F,C,B,3;H,I,N,F,L,2;F,J,K,B,M,1;G,H,I,N,F,1;J,K,M,C,L,3;L,M,O,J,D,2;M,J,E,A,N,2;J,A,N,F,O,1;D,E,F,K,B,3;N,O,P,B,F,1;A,B,I,E,C,3;C,D,K,E,G,2
M,J,D,O,A,3;A,B,D,C,F,2;F,J,K,P,L,1;E,B,F,J,I,1;J,A,E,N,O,2;J,K,L,B,M,1;B,F,J,I,G,3;F,G,J,N,H,3;I,F,L,J,O,2;K,L,B,M,N,2;O,P,B,G,A,3;C,D,F,E,L,2;L,M,N,J,D,2;P,A,F,D,B,3;N,O,P,B,G,1;G,H,F,I,O,2;A,N,B,O,F,2;B,C,F,K,D,3;D,E,B,L,F,1;H,I,F,P,L,1
J,K,M,A,L,3;D,E,B,G,M,1;J,A,P,B,N,3;P,A,B,E,H,1;G,H,A,I,K,2;K,L,D,J,M,3;A,B,J,D,C,3;I,F,L,J,O,2;H,I,L,F,P,2;F,G,H,J,A,1;F,J,K,P,L,1;L,M,D,O,J,3;E,B,I,M,F,3;B,C,F,D,E,2;B,F,H,G,M,2;C,D,E,J,G,1;O,P,B,A,H,2;M,J,N,B,A,3;A,N,B,P,O,3;N,O,C,P,G,2
E,B,J,H,F,3;D,E,G,M,B,3;C,D,G,E,L,2;L,M,J,N,E,1;J,A,O,E,N,3;O,P,A,D,G,1;B,F,H,G,J,2;I,F,K,J,A,2;J,K,M,L,C,2;F,J,K,M,A,1;P,A,D,B,I,2;K,L,M,C,A,1;A,B,E,F,C,3;N,O,P,G,C,1;A,N,P,B,O,3;F,G,H,A,I,1;G,H,A,I,J,2;H,I,P,F,L,2;B,C,F,E,D,3;M,J,B,O,A,3
O,P,I,A,B,2;K,L,M,C,A,1;H,I,O,F,K,2;I,F,P,M,J,3;J,A,P,B,N,3;F,G,J,H,A,2;P,A,B,D,F,1;G,H,J,O,I,3;C,D,E,G,L,1;F,J,B,K,L,2;B,F,M,G,H,2;L,M,N,C,J,3;M,J,B,P,A,3;J,K,M,L,B,2;N,O,A,P,H,2;A,N,O,G,B,1;E,B,I,F,J,2;D,E,B,M,G,1;B,C,J,F,D,3;A,B,D,F,C,3
H,I,O,J,F,3;B,F,H,G,A,2;K,L,N,M,D,2;F,J,M,B,K,3;A,B,C,F,E,1;M,J,A,O,B,1;G,H,I,K,O,1;N,O,H,A,P,3;O,P,C,I,A,3;J,K,L,B,A,1;A,N,G,O,P,2;C,D,E,G,L,1;L,M,N,J,C,2;D,E,K,H,B,3;B,C,F,D,J,2;I,F,P,L,J,3;P,A,B,I,E,1;E,B,L,F,G,2;F,G,H,I,A,1;J,A,O,B,N,3
P,A,D,B,F,2;K,L,D,A,M,3;B,C,D,E,K,1;B,F,I,G,A,2;J,A,P,F,N,3;A,B,E,J,C,3;N,O,P,G,A,1;F,J,M,K,P,2;J,K,L,C,A,1;D,E,G,L,B,3;L,M,O,E,J,3;G,H,I,J,N,1;H,I,P,K,F,3;M,J,N,A,E,2;F,G,J,H,A,2;I,F,K,J,P,2;A,N,O,B,G,1;C,D,E,F,J,1;E,B,G,L,F,3;O,P,G,A,C,2
G,H,I,A,K,1;E,B,J,G,F,3;J,K,B,L,M,2;H,I,J,P,F,3;A,N,P,O,F,2;J,A,O,E,N,3;M,J,A,N,B,1;C,D,E,J,G,1;B,F,J,G,H,2;P,A,H,E,B,3;K,L,M,A,D,1;F,G,J,I,H,3;B,C,E,K,D,3;F,J,L,B,K,3;I,F,J,O,L,1;A,B,D,C,I,2;N,O,P,A,F,1;O,P,I,A,C,2;L,M,J,D,N,1;D,E,K,B,H,2
G,H,I,J,A,1;J,K,A,L,C,2;A,B,F,C,D,2;C,D,B,L,E,3;B,F,G,M,I,1;L,M,O,D,J,3;F,J,K,M,B,1;B,C,D,F,K,1;M,J,B,N,A,3;K,L,D,N,M,3;O,P,A,C,G,1;F,G,N,H,J,2;H,I,O,J,F,3;E,B,G,F,J,2;P,A,C,B,H,2;D,E,H,B,L,2;A,N,F,P,O,3;N,O,C,P,G,2;I,F,J,P,L,1;J,A,P,F,N,3
B,F,G,M,H,1;O,P,I,A,D,2;K,L,N,D,M,3;A,N,P,O,G,2;J,A,N,O,F,1;I,F,O,J,K,2;E,B,H,L,F,3;B,C,E,D,K,2;F,G,J,A,H,3;C,D,E,F,K,1;F,J,L,K,B,2;A,B,D,C,F,2;H,I,F,N,L,1;J,K,L,C,A,1;N,O,P,F,C,1;G,H,J,O,I,3;P,A,B,F,E,1;M,J,P,A,D,2;L,M,D,O,J,3;D,E,L,G,B,3
M,J,A,E,N,1;P,A,H,B,C,2;J,A,B,P,N,3;G,H,I,O,K,1;B,F,G,M,H,1;E,B,M,F,I,2;C,D,J,G,E,3;F,G,A,I,H,3;J,K,B,L,M,2;A,N,O,F,B,1;H,I,P,F,K,2;D,E,G,L,B,3;B,C,K,D,E,2;N,O,H,C,P,3;K,L,M,N,D,1;O,P,A,I,D,1;A,B,C,E,J,1;L,M,E,J,N,2;F,J,K,A,L,1;I,F,J,A,M,1
