item1,item2,choice1,choice2,choice3,correct_choice (1-3)
A,B,C,I,D,1;H,I,L,F,P,2;A,N,G,O,P,2;O,P,H,B,A,3;P,A,B,I,D,1;M,J,O,A,B,2;I,F,J,O,M,1;B,C,E,J,D,3;B,F,J,G,H,2;J,K,B,A,L,3;F,G,I,H,A,2;G,H,I,F,N,1;C,D,K,F,E,3;J,A,P,F,N,3;K,L,N,B,M,3;L,M,J,N,E,1;N,O,H,P,C,2;E,B,F,M,H,1;F,J,L,P,K,3;D,E,G,M,B,3
I,F,K,O,J,3;B,C,F,E,D,3;N,O,P,B,F,1;L,M,C,J,N,2;B,F,M,G,I,2;O,P,D,H,A,3;M,J,A,N,D,1;J,K,L,C,A,1;K,L,B,A,M,3;H,I,P,L,F,3;G,H,F,I,N,2;F,J,A,L,K,3;C,D,F,E,K,2;A,B,E,C,F,2;J,A,N,F,O,1;F,G,H,A,I,1;P,A,C,B,F,2;A,N,O,P,B,1;E,B,H,F,M,2;D,E,G,L,B,3
O,P,I,A,D,2;G,H,J,A,I,3;J,A,O,B,N,3;F,G,H,J,A,1;M,J,N,A,B,2;E,B,J,I,F,3;B,C,D,E,K,1;A,B,C,D,F,1;D,E,B,H,K,1;F,J,B,M,K,3;J,K,C,L,A,2;N,O,C,P,H,2;L,M,E,O,J,3;A,N,G,B,O,3;P,A,I,B,D,2;H,I,F,O,L,1;K,L,M,C,N,1;C,D,E,K,F,1;B,F,J,I,G,3;I,F,K,J,O,2
D,E,L,H,B,3;B,C,F,D,K,2;F,J,B,K,L,2;A,B,C,D,F,1;N,O,G,B,P,3;M,J,E,O,A,3;A,N,O,F,B,1;G,H,I,N,K,1;E,B,H,F,J,2;O,P,C,A,I,2;K,L,N,D,M,3;P,A,E,H,B,3;J,K,L,C,A,1;L,M,C,J,N,2;F,G,J,A,H,3;H,I,O,K,F,3;C,D,E,B,K,1;I,F,L,J,A,2;B,F,I,J,G,3;J,A,N,B,O,1
C,D,J,E,F,2;A,B,D,J,C,3;G,H,I,N,F,1;F,J,M,K,A,2;P,A,D,I,B,3;O,P,H,B,A,3;F,G,H,J,N,1;E,B,I,F,M,2;A,N,P,O,B,2;N,O,C,G,P,3;H,I,L,O,F,3;B,C,F,D,J,2;L,M,J,C,O,1;D,E,B,K,G,1;J,A,P,N,B,2;K,L,J,M,C,2;J,K,M,L,C,2;B,F,J,H,G,3;I,F,J,L,P,1;M,J,A,D,P,1
A,B,C,J,E,1;N,O,F,P,A,2;D,E,L,B,H,2;M,J,N,E,A,3;F,J,K,P,M,1;L,M,D,O,J,3;B,F,G,H,A,1;C,D,J,B,E,3;F,G,H,I,N,1;P,A,F,B,D,2;G,H,K,O,I,3;O,P,A,H,C,1;K,L,M,N,C,1;A,N,B,G,O,3;I,F,P,L,J,3;H,I,F,P,J,1;E,B,F,G,J,1;B,C,E,D,J,2;J,A,N,B,P,1;J,K,B,L,M,2
D,E,H,K,B,3;O,P,A,H,C,1;A,N,P,O,G,2;I,F,M,J,A,2;B,C,E,J,D,3;B,F,G,A,I,1;G,H,O,K,I,3;E,B,F,H,J,1;L,M,A,D,J,3;F,G,H,I,N,1;P,A,E,H,B,3;H,I,F,L,O,1;K,L,M,N,D,1;A,B,C,E,J,1;M,J,O,A,D,2;N,O,G,P,A,2;J,A,B,P,N,3;C,D,J,G,E,3;F,J,P,K,L,2;J,K,M,L,A,2
J,K,B,A,L,3;I,F,M,J,P,2;K,L,M,B,N,1;F,G,J,N,H,3;M,J,A,B,P,1;H,I,O,L,F,3;C,D,E,G,L,1;P,A,B,D,H,1;B,F,I,G,A,2;O,P,I,C,A,3;G,H,I,K,O,1;A,N,P,O,F,2;J,A,F,N,P,2;B,C,E,K,D,3;L,M,D,A,J,3;F,J,M,K,B,2;N,O,A,P,G,2;A,B,C,D,F,1;D,E,B,L,F,1;E,B,F,L,H,1
J,K,A,L,M,2;L,M,J,N,C,1;G,H,K,O,I,3;O,P,C,A,H,2;A,B,I,D,C,3;I,F,M,J,P,2;E,B,G,L,F,3;C,D,E,F,K,1;N,O,P,A,H,1;F,J,L,P,K,3;P,A,E,F,B,3;M,J,O,A,D,2;B,C,D,F,K,1;D,E,L,F,B,3;J,A,N,B,O,1;F,G,J,A,H,3;A,N,O,G,B,1;B,F,I,J,G,3;K,L,J,M,D,2;H,I,F,P,J,1
N,O,G,C,P,3;I,F,A,J,M,2;B,C,K,F,D,3;F,J,K,B,L,1;O,P,A,D,H,1;D,E,F,B,L,2;A,B,C,D,J,1;A,N,P,G,O,3;P,A,I,B,C,2;E,B,G,J,F,3;J,K,B,A,L,3;B,F,G,I,J,1;C,D,E,G,J,1;K,L,C,N,M,3;H,I,F,K,N,1;J,A,E,N,O,2;G,H,F,I,A,2;M,J,A,B,O,1;L,M,E,O,J,3;F,G,J,A,H,3
F,J,K,L,B,1;G,H,K,N,I,3;N,O,P,A,G,1;O,P,B,A,H,2;A,N,B,F,O,3;B,C,K,F,D,3;D,E,H,B,M,2;B,F,M,I,G,3;I,F,O,J,K,2;L,M,O,E,J,3;C,D,E,F,J,1;K,L,M,A,C,1;A,B,F,C,E,2;P,A,I,C,B,3;F,G,N,J,H,3;J,A,B,N,P,2;E,B,L,I,F,3;H,I,F,K,P,1;J,K,A,L,B,2;M,J,O,E,A,3
J,K,C,L,A,2;J,A,E,N,O,2;E,B,F,J,I,1;I,F,M,O,J,3;H,I,P,F,L,2;O,P,C,A,I,2;B,C,E,K,D,3;P,A,B,C,F,1;K,L,J,M,D,2;C,D,B,L,E,3;A,B,D,I,C,3;A,N,O,F,P,1;D,E,G,K,B,3;N,O,B,H,P,3;M,J,B,A,O,2;F,J,M,K,B,2;G,H,I,A,J,1;L,M,O,J,D,2;F,G,H,N,J,1;B,F,I,G,A,2
