item1,item2,choice1,choice2,choice3,correct_choice (1-3)
B,F,G,I,J,1;O,P,C,H,A,3;K,L,M,A,B,1;I,F,A,K,J,3;P,A,H,C,B,3;B,C,F,D,J,2;J,K,A,L,C,2;C,D,K,E,G,2;A,N,O,B,G,1;F,G,J,N,H,3;N,O,C,P,H,2;J,A,N,O,E,1;H,I,N,F,J,2;G,H,K,I,A,2;E,B,F,J,I,1;L,M,J,E,N,1;A,B,F,D,C,3;F,J,P,M,K,3;M,J,O,E,A,3;D,E,B,H,L,1
A,B,I,C,D,2;A,N,O,B,F,1;K,L,J,M,C,2;J,A,O,E,N,3;G,H,I,J,O,1;M,J,D,N,A,3;B,F,I,G,J,2;I,F,L,J,P,2;F,G,J,I,H,3;O,P,A,H,D,1;J,K,M,C,L,3;B,C,E,D,K,2;F,J,K,B,L,1;C,D,K,E,F,2;P,A,B,I,C,1;E,B,L,F,I,2;H,I,L,P,F,3;D,E,M,B,H,2;N,O,C,H,P,3;L,M,J,E,N,1
B,C,F,J,D,3;A,B,D,C,J,2;F,J,K,M,B,1;F,G,H,N,J,1;G,H,N,F,I,3;L,M,E,A,J,3;E,B,M,G,F,3;H,I,L,F,O,2;B,F,G,J,H,1;A,N,O,B,G,1;C,D,K,F,E,3;O,P,A,B,I,1;M,J,B,N,A,3;I,F,J,L,A,1;J,A,B,P,N,3;P,A,C,B,I,2;D,E,B,F,K,1;K,L,N,M,B,2;N,O,H,P,B,2;J,K,L,M,B,1
M,J,E,A,N,2;J,A,N,B,O,1;E,B,F,J,G,1;O,P,I,B,A,3;D,E,H,B,M,2;P,A,D,I,B,3;B,C,K,F,D,3;G,H,I,N,J,1;A,N,O,G,B,1;J,K,B,M,L,3;F,J,P,K,M,2;L,M,D,J,N,2;B,F,G,M,I,1;F,G,I,H,N,2;K,L,D,A,M,3;H,I,L,P,F,3;I,F,M,J,P,2;C,D,F,E,J,2;A,B,D,F,C,3;N,O,P,C,H,1
B,F,A,G,I,2;M,J,O,A,B,2;D,E,F,L,B,3;B,C,D,J,E,1;J,A,N,P,B,1;E,B,H,J,F,3;N,O,B,G,P,3;G,H,K,N,I,3;L,M,J,A,C,1;J,K,A,L,M,2;A,N,B,P,O,3;P,A,C,I,B,3;I,F,J,M,O,1;K,L,M,C,J,1;A,B,J,E,C,3;H,I,F,N,K,1;F,J,L,P,K,3;F,G,H,I,N,1;O,P,H,A,C,2;C,D,E,F,K,1
I,F,J,L,A,1;P,A,F,D,B,3;L,M,E,J,N,2;A,N,F,P,O,3;J,K,M,A,L,3;H,I,N,F,K,2;O,P,A,B,G,1;B,C,D,E,J,1;B,F,G,J,I,1;D,E,K,B,F,2;C,D,J,E,F,2;K,L,C,N,M,3;A,B,F,C,D,2;E,B,I,J,F,3;N,O,P,G,A,1;F,G,J,H,I,2;G,H,K,O,I,3;F,J,M,P,K,3;M,J,A,O,D,1;J,A,N,B,P,1
M,J,D,O,A,3;I,F,J,M,A,1;B,F,J,G,I,2;N,O,F,C,P,3;A,N,O,F,B,1;D,E,M,B,G,2;J,A,P,B,N,3;E,B,F,I,M,1;H,I,F,L,N,1;A,B,D,J,C,3;F,G,I,A,H,3;P,A,E,B,F,2;L,M,O,E,J,3;O,P,H,A,B,2;F,J,K,A,L,1;J,K,C,L,A,2;B,C,K,D,F,2;K,L,J,M,C,2;G,H,I,N,F,1;C,D,E,K,F,1
O,P,A,I,C,1;A,N,F,B,O,3;N,O,C,P,H,2;H,I,K,P,F,3;P,A,B,D,F,1;J,K,M,L,B,2;G,H,O,I,F,2;E,B,F,L,I,1;J,A,O,N,E,2;L,M,J,O,E,1;I,F,A,L,J,3;K,L,C,J,M,3;M,J,A,D,N,1;F,G,J,N,H,3;D,E,F,B,L,2;B,F,M,H,G,3;B,C,E,D,J,2;A,B,D,C,F,2;C,D,L,E,G,2;F,J,L,P,K,3
I,F,J,P,L,1;C,D,L,E,B,2;M,J,B,O,A,3;H,I,P,F,J,2;E,B,H,M,F,3;G,H,I,O,F,1;A,N,O,G,B,1;P,A,I,B,C,2;O,P,A,I,B,1;B,F,J,G,I,2;F,G,N,H,J,2;K,L,B,M,A,2;A,B,D,F,C,3;F,J,P,M,K,3;J,K,C,L,A,2;N,O,B,H,P,3;J,A,O,N,E,2;B,C,E,K,D,3;D,E,B,G,L,1;L,M,J,N,D,1
B,F,I,G,J,2;F,J,L,A,K,3;E,B,F,H,L,1;A,N,O,B,F,1;G,H,K,O,I,3;N,O,C,P,F,2;B,C,D,F,E,1;J,A,B,N,O,2;M,J,B,P,A,3;A,B,E,C,J,2;O,P,B,H,A,3;H,I,F,K,N,1;D,E,B,H,M,1;L,M,J,D,N,1;F,G,I,N,H,3;J,K,B,A,L,3;C,D,J,E,B,2;P,A,E,B,I,2;K,L,A,C,M,3;I,F,J,A,L,1
H,I,F,P,J,1;F,G,A,H,J,2;A,N,F,P,O,3;M,J,E,P,A,3;I,F,L,J,O,2;P,A,C,F,B,3;E,B,H,F,L,2;J,A,P,E,N,3;K,L,M,D,A,1;L,M,J,E,A,1;O,P,A,H,C,1;D,E,F,L,B,3;C,D,J,E,G,2;J,K,A,B,L,3;A,B,C,D,F,1;G,H,J,I,A,2;N,O,P,F,B,1;F,J,K,P,L,1;B,F,M,G,I,2;B,C,D,F,J,1
