item1,item2,choice1,choice2,choice3,correct_choice (1-3)
P,A,D,F,B,3;B,F,G,A,I,1;O,P,G,A,B,2;C,D,J,B,E,3;D,E,B,M,H,1;I,F,K,J,P,2;J,K,A,L,C,2;G,H,J,A,I,3;A,B,C,J,D,1;B,C,J,D,E,2;E,B,H,J,F,3;F,J,K,L,A,1;F,G,N,H,I,2;L,M,E,O,J,3;H,I,F,O,J,1;J,A,N,B,P,1;A,N,G,O,B,2;N,O,A,H,P,3;K,L,A,M,B,2;M,J,P,D,A,3
O,P,D,H,A,3;L,M,N,J,D,2;A,N,O,P,F,1;B,C,F,D,E,2;F,J,K,A,L,1;I,F,K,P,J,3;E,B,L,F,I,2;C,D,G,E,L,2;A,B,C,J,E,1;H,I,L,O,F,3;J,A,O,N,E,2;F,G,I,N,H,3;K,L,C,J,M,3;J,K,L,B,A,1;N,O,H,B,P,3;M,J,O,B,A,3;B,F,G,I,J,1;P,A,C,B,H,2;D,E,H,B,K,2;G,H,I,N,K,1
H,I,P,F,L,2;I,F,M,P,J,3;J,K,B,L,A,2;A,N,O,P,F,1;E,B,H,M,F,3;K,L,M,J,C,1;O,P,C,A,G,2;B,F,M,G,H,2;A,B,D,C,J,2;B,C,D,J,E,1;F,G,J,A,H,3;P,A,D,F,B,3;C,D,F,J,E,3;G,H,N,I,J,2;M,J,N,A,B,2;N,O,A,P,H,2;D,E,G,M,B,3;F,J,K,P,L,1;J,A,N,P,F,1;L,M,C,J,A,2
I,F,J,A,L,1;M,J,B,A,N,2;H,I,P,K,F,3;J,K,A,B,L,3;F,G,H,A,J,1;G,H,I,O,K,1;L,M,A,D,J,3;A,B,J,C,E,2;N,O,C,P,G,2;C,D,E,B,L,1;A,N,O,G,B,1;B,C,F,D,K,2;E,B,L,F,H,2;J,A,P,N,F,2;B,F,I,M,G,3;F,J,P,M,K,3;D,E,B,K,G,1;O,P,G,D,A,3;P,A,B,D,H,1;K,L,M,N,B,1
A,N,O,B,P,1;G,H,K,I,N,2;E,B,F,M,I,1;K,L,A,C,M,3;H,I,N,J,F,3;D,E,B,L,F,1;F,G,I,H,J,2;I,F,L,J,A,2;F,J,B,K,M,2;M,J,N,B,A,3;P,A,D,B,I,2;C,D,E,J,B,1;B,C,J,F,D,3;J,A,P,B,N,3;L,M,J,A,E,1;J,K,L,B,A,1;O,P,C,H,A,3;A,B,C,I,E,1;B,F,M,G,I,2;N,O,G,P,C,2
A,B,D,C,I,2;B,C,F,K,D,3;M,J,N,A,D,2;L,M,J,A,C,1;K,L,J,M,B,2;N,O,A,H,P,3;J,A,N,O,F,1;I,F,O,M,J,3;F,G,I,H,N,2;F,J,K,M,A,1;P,A,F,B,E,2;J,K,M,L,A,2;E,B,F,L,G,1;A,N,O,B,F,1;B,F,M,I,G,3;O,P,C,H,A,3;H,I,N,K,F,3;D,E,B,F,K,1;G,H,I,J,A,1;C,D,L,F,E,3
B,C,E,F,D,3;P,A,B,H,C,1;J,K,A,M,L,3;C,D,L,E,F,2;F,J,K,A,L,1;M,J,B,O,A,3;D,E,M,B,G,2;A,N,P,O,G,2;F,G,N,H,J,2;I,F,K,A,J,3;J,A,P,N,B,2;A,B,I,C,D,2;H,I,K,O,F,3;B,F,G,I,J,1;G,H,F,O,I,3;O,P,G,D,A,3;E,B,I,F,M,2;K,L,M,B,A,1;N,O,P,F,A,1;L,M,J,A,E,1
M,J,E,N,A,3;H,I,F,O,L,1;A,N,F,P,O,3;A,B,J,C,E,2;O,P,A,G,D,1;G,H,I,O,F,1;K,L,J,M,D,2;F,G,A,J,H,3;L,M,A,C,J,3;J,A,O,N,F,2;E,B,J,F,H,2;N,O,G,B,P,3;B,F,I,G,J,2;B,C,E,K,D,3;J,K,L,M,A,1;C,D,B,L,E,3;D,E,B,M,H,1;P,A,I,D,B,3;I,F,O,L,J,3;F,J,K,A,M,1
F,G,A,J,H,3;C,D,B,E,L,2;F,J,K,M,P,1;M,J,D,O,A,3;H,I,F,O,K,1;P,A,C,B,F,2;D,E,G,B,M,2;E,B,M,G,F,3;G,H,J,A,I,3;L,M,J,A,C,1;J,K,L,B,M,1;N,O,G,P,B,2;A,B,F,C,E,2;A,N,O,P,G,1;O,P,D,A,H,2;B,F,H,G,M,2;K,L,M,B,A,1;J,A,N,F,O,1;B,C,D,F,J,1;I,F,L,P,J,3
K,L,D,A,M,3;A,B,F,D,C,3;J,K,A,L,B,2;G,H,I,J,O,1;B,C,F,D,E,2;E,B,F,J,G,1;P,A,C,I,B,3;O,P,B,A,G,2;D,E,L,H,B,3;L,M,J,D,N,1;N,O,H,B,P,3;A,N,B,O,P,2;M,J,N,A,D,2;H,I,O,K,F,3;J,A,N,O,F,1;F,J,P,M,K,3;I,F,J,M,P,1;C,D,E,F,K,1;B,F,I,J,G,3;F,G,N,H,I,2
K,L,A,M,C,2;G,H,J,A,I,3;A,B,C,D,J,1;N,O,G,B,P,3;M,J,A,P,D,1;F,G,J,I,H,3;A,N,B,O,F,2;P,A,D,I,B,3;L,M,J,N,E,1;C,D,F,E,K,2;B,F,G,H,J,1;J,A,F,O,N,3;F,J,K,L,P,1;B,C,E,D,F,2;D,E,G,B,K,2;I,F,L,J,O,2;O,P,I,C,A,3;H,I,L,P,F,3;J,K,L,B,A,1;E,B,J,I,F,3
