item1,item2,choice1,choice2,choice3,correct_choice (1-3)
O,P,H,B,A,3;F,G,N,J,H,3;I,F,K,J,P,2;N,O,C,P,H,2;L,M,J,C,A,1;J,A,N,F,O,1;B,F,J,H,G,3;K,L,A,M,C,2;B,C,F,J,D,3;H,I,F,L,N,1;G,H,I,N,K,1;E,B,F,I,L,1;D,E,H,B,M,2;A,N,P,O,F,2;F,J,B,L,K,3;P,A,C,B,I,2;M,J,E,A,N,2;C,D,F,J,E,3;J,K,M,A,L,3;A,B,D,C,J,2
J,K,L,M,B,1;O,P,G,A,C,2;A,B,D,J,C,3;F,G,J,H,N,2;I,F,J,O,M,1;P,A,I,B,E,2;J,A,O,B,N,3;B,C,D,J,E,1;L,M,O,D,J,3;C,D,E,F,K,1;N,O,A,H,P,3;E,B,G,J,F,3;G,H,N,F,I,3;D,E,L,B,G,2;A,N,B,G,O,3;K,L,B,M,A,2;B,F,G,H,M,1;H,I,J,F,N,2;F,J,K,B,L,1;M,J,N,D,A,3
H,I,P,J,F,3;F,G,J,H,N,2;A,N,O,B,P,1;B,F,J,H,G,3;E,B,I,M,F,3;A,B,C,I,E,1;C,D,B,E,K,2;J,K,L,M,C,1;L,M,J,E,N,1;D,E,M,B,G,2;F,J,K,B,L,1;O,P,D,A,H,2;M,J,D,O,A,3;I,F,J,A,L,1;B,C,F,D,J,2;J,A,P,B,N,3;K,L,C,M,J,2;P,A,B,F,D,1;G,H,O,I,J,2;N,O,A,P,F,2
A,N,O,F,B,1;L,M,C,J,A,2;M,J,E,A,O,2;J,K,B,A,L,3;E,B,F,J,I,1;C,D,E,B,L,1;D,E,K,G,B,3;G,H,I,F,O,1;N,O,B,P,G,2;H,I,O,F,K,2;O,P,G,B,A,3;B,C,D,K,F,1;F,G,J,N,H,3;K,L,M,B,A,1;I,F,P,M,J,3;F,J,M,P,K,3;B,F,G,I,J,1;P,A,D,B,H,2;J,A,N,B,O,1;A,B,J,C,D,2
C,D,G,J,E,3;H,I,K,P,F,3;B,C,D,J,F,1;A,N,O,G,P,1;N,O,P,C,F,1;J,K,B,A,L,3;A,B,E,C,I,2;F,G,N,J,H,3;G,H,J,I,N,2;M,J,N,A,E,2;I,F,M,A,J,3;B,F,G,H,J,1;J,A,O,F,N,3;F,J,K,M,A,1;P,A,B,D,F,1;D,E,K,B,F,2;E,B,G,F,M,2;L,M,E,J,N,2;O,P,B,I,A,3;K,L,N,C,M,3
G,H,F,I,N,2;B,C,E,D,K,2;D,E,H,L,B,3;H,I,F,O,K,1;E,B,G,L,F,3;A,N,B,G,O,3;J,K,B,L,M,2;I,F,J,A,K,1;F,G,N,H,J,2;M,J,A,B,N,1;K,L,C,M,A,2;B,F,H,J,G,3;A,B,C,I,D,1;L,M,D,J,N,2;J,A,F,N,P,2;O,P,C,A,G,2;F,J,K,B,M,1;N,O,P,F,C,1;P,A,B,H,E,1;C,D,G,L,E,3
J,K,M,L,A,2;J,A,N,B,O,1;A,N,F,P,O,3;B,F,H,J,G,3;G,H,I,A,J,1;I,F,A,L,J,3;K,L,C,N,M,3;B,C,E,D,K,2;M,J,B,A,O,2;E,B,I,F,M,2;O,P,A,B,G,1;F,G,H,A,I,1;A,B,F,C,E,2;P,A,H,E,B,3;L,M,O,D,J,3;C,D,B,E,J,2;H,I,L,P,F,3;D,E,M,H,B,3;F,J,B,M,K,3;N,O,F,P,B,2
J,K,M,L,C,2;C,D,E,L,F,1;F,G,H,A,J,1;D,E,L,H,B,3;A,B,I,C,D,2;L,M,J,N,E,1;B,F,G,H,A,1;A,N,G,O,P,2;F,J,A,L,K,3;N,O,H,P,A,2;K,L,B,M,A,2;H,I,P,J,F,3;J,A,P,F,N,3;O,P,A,H,B,1;G,H,N,F,I,3;E,B,F,H,M,1;M,J,A,D,O,1;I,F,O,J,K,2;B,C,D,J,E,1;P,A,I,D,B,3
M,J,A,P,B,1;K,L,N,M,B,2;A,N,O,G,P,1;F,G,A,I,H,3;E,B,J,H,F,3;I,F,O,J,L,2;L,M,J,O,D,1;G,H,A,J,I,3;P,A,C,B,F,2;O,P,H,A,D,2;A,B,D,C,J,2;B,C,E,F,D,3;C,D,E,K,G,1;D,E,H,M,B,3;J,K,A,L,M,2;F,J,K,M,A,1;J,A,E,N,P,2;B,F,H,J,G,3;H,I,J,O,F,3;N,O,A,P,F,2
F,J,A,K,L,2;B,C,J,D,E,2;H,I,F,P,J,1;A,B,C,F,E,1;D,E,M,F,B,3;O,P,H,A,B,2;F,G,J,N,H,3;B,F,I,A,G,3;A,N,O,B,F,1;P,A,H,C,B,3;J,K,M,L,A,2;C,D,E,B,J,1;E,B,I,M,F,3;K,L,M,B,N,1;M,J,A,N,D,1;G,H,I,K,A,1;N,O,A,P,H,2;J,A,N,P,B,1;I,F,A,J,L,2;L,M,O,E,J,3
B,C,E,F,D,3;N,O,P,A,H,1;K,L,A,M,B,2;J,K,A,B,L,3;H,I,F,N,L,1;D,E,B,F,L,1;A,B,C,D,I,1;L,M,E,J,N,2;J,A,F,N,P,2;F,G,A,H,I,2;G,H,I,F,N,1;P,A,E,F,B,3;O,P,I,C,A,3;F,J,B,K,M,2;B,F,G,M,I,1;E,B,J,F,I,2;A,N,F,O,B,2;M,J,A,O,D,1;I,F,J,A,L,1;C,D,K,B,E,3
