item1,item2,choice1,choice2,choice3,correct_choice (1-3)
F,J,B,M,K,3;J,K,A,L,M,2;I,F,J,M,O,1;A,B,C,D,J,1;H,I,L,N,F,3;P,A,C,B,F,2;L,M,O,J,E,2;J,A,N,B,P,1;C,D,E,G,K,1;D,E,B,G,K,1;O,P,B,A,I,2;E,B,F,H,J,1;F,G,A,J,H,3;B,F,A,G,I,2;M,J,D,N,A,3;A,N,B,G,O,3;G,H,K,N,I,3;B,C,F,D,E,2;K,L,J,D,M,3;N,O,A,P,F,2
E,B,M,G,F,3;J,A,P,N,E,2;H,I,L,N,F,3;P,A,B,I,D,1;A,N,G,O,P,2;N,O,A,P,H,2;O,P,A,G,D,1;F,G,H,I,A,1;K,L,B,M,N,2;B,C,D,E,F,1;F,J,L,K,B,2;C,D,B,K,E,3;G,H,A,I,F,2;D,E,B,K,H,1;M,J,P,E,A,3;I,F,J,M,P,1;J,K,A,L,C,2;A,B,I,C,D,2;L,M,E,J,A,2;B,F,I,J,G,3
H,I,J,F,P,2;B,C,J,D,E,2;I,F,O,J,L,2;J,A,O,B,N,3;O,P,A,G,C,1;J,K,A,B,L,3;C,D,G,J,E,3;K,L,N,D,M,3;G,H,I,A,J,1;E,B,F,H,M,1;F,J,M,K,A,2;A,B,C,I,D,1;M,J,A,D,N,1;L,M,C,A,J,3;N,O,P,C,G,1;F,G,I,N,H,3;P,A,C,B,H,2;A,N,F,P,O,3;D,E,B,H,K,1;B,F,I,G,J,2
D,E,B,H,K,1;F,G,J,I,H,3;B,F,J,I,G,3;P,A,H,B,D,2;K,L,J,M,C,2;M,J,A,P,D,1;N,O,A,P,F,2;J,K,M,A,L,3;H,I,L,P,F,3;L,M,O,J,D,2;I,F,O,K,J,3;O,P,A,H,C,1;G,H,I,O,K,1;A,B,E,F,C,3;J,A,F,P,N,3;C,D,E,G,K,1;A,N,B,O,F,2;E,B,I,F,L,2;B,C,D,E,F,1;F,J,K,L,B,1
F,G,J,H,A,2;B,C,K,F,D,3;J,A,O,N,E,2;A,N,B,O,P,2;H,I,K,F,N,2;O,P,A,H,C,1;G,H,I,J,A,1;D,E,B,H,L,1;E,B,M,G,F,3;B,F,G,A,I,1;K,L,J,D,M,3;C,D,E,F,K,1;A,B,C,D,F,1;J,K,C,A,L,3;P,A,F,B,E,2;N,O,C,H,P,3;M,J,B,N,A,3;I,F,O,M,J,3;L,M,J,E,N,1;F,J,M,B,K,3
D,E,K,G,B,3;O,P,A,B,I,1;E,B,M,F,G,2;I,F,P,J,L,2;B,C,D,F,K,1;F,G,I,A,H,3;L,M,E,A,J,3;B,F,A,G,H,2;G,H,I,K,A,1;M,J,A,B,O,1;C,D,J,E,G,2;A,B,F,E,C,3;H,I,F,N,L,1;N,O,H,B,P,3;P,A,C,B,I,2;F,J,P,M,K,3;J,K,L,B,A,1;A,N,O,F,B,1;J,A,O,N,F,2;K,L,M,D,J,1
J,A,B,P,N,3;F,J,K,M,P,1;C,D,B,E,J,2;F,G,I,A,H,3;D,E,K,B,G,2;P,A,E,B,H,2;B,C,D,F,K,1;E,B,F,L,G,1;J,K,A,L,C,2;K,L,B,M,A,2;N,O,C,P,G,2;A,B,C,F,D,1;M,J,A,B,P,1;I,F,L,J,O,2;A,N,P,F,O,3;H,I,F,P,K,1;G,H,I,O,J,1;L,M,E,N,J,3;B,F,A,I,G,3;O,P,D,A,H,2
C,D,F,L,E,3;F,G,J,H,N,2;K,L,M,J,C,1;F,J,K,M,P,1;H,I,O,F,L,2;B,F,I,G,M,2;M,J,B,A,N,2;P,A,B,D,F,1;B,C,J,D,F,2;J,A,F,O,N,3;J,K,A,C,L,3;G,H,I,O,J,1;E,B,J,H,F,3;A,B,E,C,J,2;L,M,D,A,J,3;I,F,J,M,A,1;A,N,G,O,B,2;D,E,K,H,B,3;O,P,B,A,H,2;N,O,P,F,A,1
D,E,B,F,M,1;K,L,A,B,M,3;F,J,B,M,K,3;G,H,F,I,N,2;I,F,J,L,A,1;L,M,A,J,D,2;M,J,D,N,A,3;A,B,E,F,C,3;P,A,E,B,H,2;J,A,N,P,F,1;E,B,L,G,F,3;C,D,B,E,L,2;H,I,F,L,O,1;N,O,C,P,F,2;B,F,M,H,G,3;A,N,O,B,F,1;B,C,F,D,J,2;O,P,C,A,H,2;F,G,I,J,H,3;J,K,L,C,A,1
A,N,G,O,B,2;P,A,C,F,B,3;G,H,A,J,I,3;C,D,E,B,L,1;J,A,N,B,O,1;O,P,G,A,B,2;H,I,P,K,F,3;D,E,G,B,K,2;F,G,H,I,A,1;E,B,F,L,I,1;A,B,C,E,I,1;F,J,P,L,K,3;B,C,D,F,E,1;I,F,O,J,M,2;J,K,A,M,L,3;N,O,A,P,H,2;L,M,E,A,J,3;M,J,P,B,A,3;K,L,D,M,A,2;B,F,G,H,J,1
K,L,M,C,A,1;I,F,L,O,J,3;A,N,P,B,O,3;E,B,G,F,M,2;G,H,K,I,A,2;F,G,H,I,N,1;M,J,D,A,O,2;F,J,L,A,K,3;L,M,C,A,J,3;N,O,P,A,H,1;D,E,M,B,H,2;O,P,C,A,G,2;P,A,C,B,H,2;B,C,K,F,D,3;C,D,G,E,J,2;B,F,H,M,G,3;J,K,L,M,B,1;J,A,O,E,N,3;H,I,F,L,P,1;A,B,C,J,D,1
