item1,item2,choice1,choice2,choice3,correct_choice (1-3)
L,M,J,C,O,1;I,F,O,J,M,2;K,L,M,D,A,1;J,K,A,M,L,3;A,N,G,P,O,3;H,I,P,J,F,3;D,E,K,B,F,2;F,G,J,N,H,3;E,B,L,H,F,3;P,A,B,F,E,1;M,J,B,A,P,2;C,D,J,B,E,3;B,F,J,G,H,2;G,H,I,O,F,1;F,J,K,P,M,1;O,P,I,A,B,2;B,C,D,F,K,1;N,O,G,P,A,2;A,B,E,F,C,3;J,A,O,E,N,3
K,L,D,A,M,3;A,B,C,E,J,1;G,H,O,F,I,3;J,A,N,P,B,1;L,M,D,O,J,3;N,O,C,P,G,2;A,N,B,O,G,2;B,F,G,I,J,1;B,C,K,D,E,2;D,E,B,G,M,1;H,I,P,F,L,2;M,J,B,A,P,2;F,J,B,K,L,2;I,F,P,K,J,3;O,P,C,A,I,2;C,D,E,B,J,1;J,K,M,B,L,3;F,G,J,H,I,2;E,B,J,G,F,3;P,A,D,F,B,3
P,A,B,E,H,1;I,F,A,K,J,3;C,D,L,E,F,2;M,J,A,D,O,1;F,G,J,A,H,3;B,C,F,D,E,2;N,O,B,H,P,3;O,P,A,H,D,1;L,M,C,N,J,3;G,H,K,I,N,2;A,N,P,F,O,3;E,B,F,G,J,1;K,L,M,N,B,1;D,E,H,K,B,3;F,J,L,K,B,2;H,I,L,N,F,3;B,F,M,G,I,2;A,B,F,C,D,2;J,A,B,N,O,2;J,K,L,C,M,1
B,C,F,K,D,3;M,J,A,O,D,1;O,P,I,A,C,2;B,F,G,I,J,1;C,D,K,G,E,3;P,A,B,E,I,1;A,N,P,G,O,3;N,O,P,A,G,1;L,M,D,J,A,2;A,B,D,C,I,2;D,E,F,B,L,2;I,F,L,P,J,3;K,L,J,D,M,3;F,J,K,M,P,1;H,I,L,F,N,2;F,G,A,J,H,3;J,K,L,M,B,1;E,B,J,F,I,2;G,H,K,O,I,3;J,A,N,O,B,1
O,P,D,A,H,2;J,A,P,F,N,3;B,F,A,G,H,2;E,B,F,M,H,1;A,B,J,C,E,2;K,L,M,J,B,1;C,D,B,E,J,2;G,H,I,N,K,1;A,N,P,O,G,2;H,I,L,N,F,3;F,G,H,I,J,1;D,E,B,L,H,1;M,J,B,P,A,3;J,K,L,C,M,1;N,O,B,G,P,3;B,C,F,J,D,3;L,M,J,A,E,1;F,J,M,A,K,3;P,A,C,B,F,2;I,F,P,K,J,3
H,I,P,F,J,2;M,J,E,A,O,2;B,C,E,K,D,3;E,B,F,H,J,1;A,N,B,O,G,2;N,O,P,H,A,1;B,F,A,I,G,3;G,H,O,I,J,2;A,B,E,J,C,3;J,K,B,L,A,2;I,F,J,P,K,1;C,D,E,L,G,1;D,E,B,G,K,1;J,A,E,N,P,2;P,A,B,F,D,1;F,J,L,A,K,3;F,G,I,A,H,3;L,M,C,A,J,3;O,P,A,I,B,1;K,L,B,M,J,2
P,A,B,C,I,1;F,J,P,K,L,2;A,B,C,D,I,1;L,M,D,A,J,3;A,N,B,O,F,2;B,C,J,D,F,2;K,L,A,C,M,3;M,J,N,B,A,3;E,B,H,L,F,3;J,A,N,P,B,1;H,I,J,P,F,3;I,F,K,J,A,2;J,K,L,A,M,1;F,G,H,I,J,1;N,O,G,P,C,2;C,D,J,F,E,3;O,P,G,A,C,2;B,F,G,H,J,1;D,E,K,B,G,2;G,H,I,K,O,1
J,K,L,M,C,1;B,C,J,F,D,3;J,A,F,N,O,2;K,L,M,N,D,1;F,J,K,A,M,1;A,N,O,G,P,1;M,J,P,D,A,3;H,I,P,J,F,3;F,G,I,H,A,2;P,A,F,D,B,3;G,H,O,I,J,2;B,F,J,I,G,3;O,P,B,A,H,2;I,F,A,J,L,2;D,E,H,M,B,3;N,O,P,F,A,1;A,B,F,C,E,2;E,B,L,G,F,3;C,D,J,G,E,3;L,M,J,D,O,1
J,A,E,O,N,3;N,O,P,A,F,1;J,K,B,M,L,3;A,N,B,O,G,2;K,L,M,J,B,1;G,H,O,I,F,2;P,A,E,F,B,3;H,I,L,P,F,3;M,J,E,N,A,3;L,M,J,C,A,1;B,F,I,A,G,3;F,J,P,K,L,2;I,F,A,K,J,3;D,E,B,F,L,1;B,C,D,K,E,1;C,D,K,E,B,2;A,B,D,C,F,2;E,B,F,I,J,1;O,P,A,D,G,1;F,G,J,H,A,2
H,I,F,N,K,1;N,O,H,P,C,2;G,H,A,K,I,3;B,F,H,G,M,2;P,A,I,B,E,2;C,D,E,L,F,1;A,B,C,I,D,1;A,N,B,O,P,2;D,E,B,L,G,1;F,J,K,B,M,1;L,M,E,N,J,3;K,L,J,D,M,3;M,J,N,B,A,3;I,F,J,M,P,1;B,C,E,D,J,2;F,G,N,J,H,3;J,K,C,L,A,2;O,P,A,C,I,1;J,A,P,B,N,3;E,B,G,L,F,3
F,G,J,H,I,2;O,P,C,G,A,3;A,B,C,J,D,1;H,I,F,N,L,1;J,K,C,L,A,2;A,N,P,B,O,3;D,E,B,G,M,1;L,M,C,J,N,2;N,O,H,B,P,3;E,B,L,F,H,2;B,C,F,J,D,3;P,A,B,I,C,1;I,F,M,J,P,2;B,F,J,H,G,3;F,J,B,L,K,3;J,A,N,F,P,1;M,J,O,A,E,2;C,D,K,E,F,2;K,L,D,M,J,2;G,H,I,F,A,1
