item1,item2,choice1,choice2,choice3,correct_choice (1-3)
J,K,C,A,L,3;H,I,P,K,F,3;D,E,B,H,K,1;K,L,A,M,D,2;I,F,M,A,J,3;A,N,O,P,B,1;L,M,D,J,A,2;C,D,J,F,E,3;O,P,D,H,A,3;E,B,F,M,H,1;A,B,C,E,I,1;J,A,P,N,E,2;B,F,H,G,J,2;G,H,F,A,I,3;F,J,L,K,P,2;P,A,B,E,F,1;N,O,A,P,F,2;M,J,O,A,E,2;F,G,I,H,J,2;B,C,D,F,J,1
B,F,H,G,A,2;G,H,N,I,J,2;J,K,M,B,L,3;L,M,D,O,J,3;A,B,C,D,I,1;P,A,E,H,B,3;F,G,H,I,J,1;J,A,O,F,N,3;F,J,K,L,A,1;K,L,M,N,B,1;E,B,L,I,F,3;O,P,I,A,C,2;C,D,E,F,J,1;B,C,K,D,F,2;N,O,A,P,F,2;I,F,M,J,P,2;A,N,G,B,O,3;M,J,P,B,A,3;D,E,B,G,L,1;H,I,F,O,J,1
B,C,J,D,F,2;K,L,M,B,N,1;F,J,P,K,L,2;F,G,N,I,H,3;H,I,N,K,F,3;G,H,O,J,I,3;P,A,F,B,D,2;O,P,A,C,G,1;A,N,F,O,P,2;B,F,G,M,H,1;N,O,F,C,P,3;I,F,L,A,J,3;A,B,C,D,J,1;C,D,F,K,E,3;L,M,J,A,D,1;D,E,K,F,B,3;E,B,M,F,H,2;M,J,D,A,P,2;J,K,L,C,A,1;J,A,N,B,O,1
J,A,E,P,N,3;D,E,M,B,F,2;M,J,A,E,N,1;E,B,G,J,F,3;A,B,C,D,F,1;J,K,L,M,B,1;C,D,L,E,F,2;B,F,I,J,G,3;A,N,P,O,F,2;F,J,K,B,L,1;N,O,F,P,A,2;B,C,K,D,E,2;O,P,C,I,A,3;L,M,J,O,D,1;I,F,K,P,J,3;K,L,N,C,M,3;P,A,C,H,B,3;F,G,H,A,I,1;H,I,P,F,J,2;G,H,I,A,F,1
B,F,G,H,A,1;I,F,A,J,L,2;G,H,J,I,N,2;D,E,F,B,L,2;P,A,D,F,B,3;H,I,F,O,L,1;J,K,C,L,A,2;K,L,M,A,B,1;C,D,J,F,E,3;B,C,F,D,E,2;F,J,L,A,K,3;A,N,P,F,O,3;O,P,A,I,D,1;L,M,J,O,C,1;F,G,H,J,N,1;E,B,M,F,G,2;A,B,J,C,D,2;N,O,G,P,C,2;M,J,A,D,O,1;J,A,E,N,P,2
J,K,A,L,C,2;E,B,F,L,G,1;B,F,H,M,G,3;H,I,L,N,F,3;G,H,J,I,O,2;D,E,B,H,K,1;F,J,M,A,K,3;L,M,O,J,E,2;C,D,B,E,J,2;P,A,F,D,B,3;K,L,M,J,C,1;M,J,A,D,P,1;B,C,F,D,J,2;O,P,D,I,A,3;A,B,C,D,F,1;J,A,O,E,N,3;N,O,P,F,B,1;A,N,B,O,G,2;F,G,I,H,J,2;I,F,J,M,O,1
B,C,D,J,E,1;M,J,B,P,A,3;F,J,K,L,P,1;J,A,F,P,N,3;A,B,E,J,C,3;K,L,J,D,M,3;L,M,C,J,O,2;C,D,G,L,E,3;N,O,A,P,G,2;A,N,G,B,O,3;H,I,F,K,N,1;J,K,L,A,C,1;E,B,F,H,J,1;O,P,H,A,C,2;G,H,N,J,I,3;F,G,I,H,A,2;B,F,J,H,G,3;I,F,A,J,K,2;D,E,B,M,H,1;P,A,D,B,H,2
F,J,L,K,P,2;B,C,K,D,F,2;K,L,J,M,C,2;F,G,H,N,J,1;N,O,P,H,B,1;H,I,N,F,J,2;J,A,P,B,N,3;C,D,J,F,E,3;O,P,A,I,C,1;P,A,B,E,I,1;E,B,L,I,F,3;D,E,B,K,G,1;A,B,D,C,J,2;M,J,N,D,A,3;I,F,A,M,J,3;L,M,O,J,E,2;B,F,A,G,I,2;G,H,I,O,F,1;J,K,M,A,L,3;A,N,G,B,O,3
B,F,I,A,G,3;A,B,D,C,J,2;N,O,C,P,F,2;H,I,P,F,L,2;P,A,C,F,B,3;B,C,D,K,F,1;G,H,I,A,K,1;L,M,J,E,N,1;D,E,M,G,B,3;M,J,A,E,P,1;C,D,G,E,L,2;J,A,N,O,E,1;F,J,A,K,M,2;I,F,J,L,O,1;F,G,A,J,H,3;A,N,O,F,B,1;K,L,J,M,B,2;O,P,A,C,I,1;J,K,C,L,A,2;E,B,G,F,M,2
N,O,B,P,H,2;H,I,K,O,F,3;I,F,J,K,O,1;F,G,H,N,J,1;J,K,L,M,B,1;C,D,J,G,E,3;A,N,F,O,P,2;J,A,N,O,F,1;K,L,M,D,J,1;G,H,O,F,I,3;B,F,M,G,H,2;B,C,J,F,D,3;E,B,H,J,F,3;M,J,A,P,D,1;L,M,E,J,A,2;F,J,M,A,K,3;O,P,D,A,G,2;D,E,B,G,L,1;P,A,E,H,B,3;A,B,I,C,D,2
M,J,A,N,E,1;E,B,L,H,F,3;F,G,I,H,J,2;G,H,O,I,J,2;F,J,M,P,K,3;H,I,P,J,F,3;I,F,J,A,K,1;O,P,I,D,A,3;P,A,I,B,C,2;A,N,B,O,F,2;B,F,G,H,J,1;A,B,E,J,C,3;D,E,B,M,G,1;J,K,M,C,L,3;N,O,B,P,F,2;K,L,M,J,C,1;B,C,D,F,J,1;C,D,L,F,E,3;L,M,J,N,C,1;J,A,O,B,N,3
A,N,F,P,O,3;J,A,P,F,N,3;A,B,D,I,C,3;G,H,I,K,N,1;C,D,B,E,J,2;O,P,A,C,H,1;N,O,B,P,F,2;E,B,L,F,I,2;B,F,G,I,A,1;J,K,B,L,A,2;D,E,B,L,F,1;I,F,A,M,J,3;P,A,B,F,C,1;M,J,B,N,A,3;H,I,K,F,O,2;L,M,D,J,N,2;F,J,K,P,M,1;B,C,J,F,D,3;F,G,H,I,A,1;K,L,N,M,D,2
