item1,item2,choice1,choice2,choice3,correct_choice (1-3)
I,F,J,O,L,1;A,B,J,E,C,3;J,A,P,N,B,2;H,I,F,N,J,1;C,D,J,E,G,2;F,G,I,A,H,3;G,H,I,A,J,1;E,B,M,G,F,3;L,M,J,A,C,1;M,J,P,A,E,2;N,O,F,P,C,2;J,K,B,L,M,2;D,E,B,L,G,1;P,A,F,C,B,3;B,C,F,D,K,2;A,N,B,O,G,2;O,P,A,C,I,1;F,J,M,A,K,3;K,L,J,D,M,3;B,F,M,I,G,3
E,B,F,I,M,1;B,C,J,D,E,2;B,F,I,G,M,2;L,M,O,E,J,3;K,L,M,C,J,1;J,A,N,F,P,1;D,E,M,B,H,2;P,A,B,H,C,1;G,H,N,I,K,2;O,P,C,G,A,3;A,N,F,B,O,3;I,F,A,K,J,3;J,K,L,A,M,1;C,D,L,E,F,2;F,J,A,K,L,2;F,G,H,N,J,1;H,I,P,K,F,3;M,J,N,D,A,3;A,B,J,C,D,2;N,O,A,F,P,3
J,K,A,L,B,2;A,N,P,B,O,3;O,P,A,H,D,1;H,I,N,K,F,3;F,G,J,I,H,3;B,F,G,J,I,1;B,C,D,F,K,1;I,F,J,K,O,1;L,M,O,J,D,2;P,A,B,C,F,1;A,B,E,C,I,2;C,D,E,L,G,1;K,L,M,J,B,1;M,J,D,N,A,3;N,O,F,P,B,2;D,E,F,B,M,2;F,J,M,K,B,2;G,H,J,N,I,3;J,A,N,P,B,1;E,B,F,M,I,1
B,F,A,G,H,2;M,J,O,D,A,3;L,M,A,J,C,2;A,B,C,I,D,1;F,G,H,N,J,1;C,D,E,J,G,1;K,L,N,D,M,3;J,K,A,L,M,2;E,B,F,J,G,1;D,E,K,G,B,3;J,A,B,N,O,2;G,H,K,O,I,3;P,A,B,I,C,1;A,N,P,F,O,3;I,F,J,P,K,1;F,J,L,K,B,2;B,C,E,J,D,3;N,O,C,P,G,2;H,I,L,F,O,2;O,P,H,A,D,2
O,P,H,A,D,2;D,E,G,K,B,3;A,N,P,O,G,2;A,B,C,J,D,1;C,D,F,E,K,2;I,F,L,A,J,3;F,G,J,A,H,3;B,C,D,E,K,1;J,A,B,N,P,2;F,J,K,M,P,1;M,J,A,E,N,1;J,K,M,B,L,3;L,M,D,N,J,3;E,B,I,F,M,2;B,F,H,G,J,2;G,H,J,N,I,3;N,O,P,F,A,1;H,I,N,K,F,3;P,A,D,F,B,3;K,L,N,B,M,3
L,M,A,J,D,2;J,A,N,F,P,1;M,J,D,P,A,3;P,A,H,C,B,3;A,N,B,O,F,2;F,J,K,P,L,1;K,L,C,J,M,3;E,B,F,G,M,1;A,B,I,C,E,2;J,K,A,M,L,3;C,D,E,J,B,1;G,H,N,I,F,2;H,I,N,F,J,2;B,C,K,D,F,2;N,O,H,B,P,3;D,E,B,G,L,1;I,F,M,J,O,2;F,G,J,A,H,3;O,P,D,A,I,2;B,F,I,A,G,3
I,F,O,L,J,3;A,N,P,O,B,2;J,K,B,L,A,2;P,A,H,B,C,2;H,I,F,O,J,1;N,O,C,H,P,3;O,P,G,A,B,2;B,C,F,K,D,3;A,B,C,I,D,1;M,J,P,A,B,2;D,E,B,M,H,1;J,A,N,B,O,1;C,D,E,G,L,1;K,L,B,A,M,3;F,G,A,J,H,3;G,H,J,N,I,3;L,M,A,J,D,2;E,B,H,J,F,3;F,J,K,L,B,1;B,F,J,H,G,3
A,N,G,P,O,3;D,E,B,H,M,1;E,B,F,G,M,1;P,A,H,B,D,2;B,C,J,E,D,3;G,H,F,I,O,2;A,B,E,C,F,2;H,I,K,N,F,3;M,J,B,A,O,2;K,L,M,N,B,1;J,A,B,N,O,2;J,K,A,L,C,2;O,P,A,I,B,1;C,D,E,B,K,1;N,O,P,B,F,1;I,F,L,A,J,3;F,J,K,M,B,1;F,G,I,J,H,3;L,M,D,O,J,3;B,F,J,G,H,2
P,A,B,E,I,1;O,P,G,A,C,2;E,B,J,F,G,2;A,B,D,F,C,3;K,L,M,C,J,1;J,A,O,N,F,2;H,I,O,K,F,3;M,J,A,O,D,1;B,F,A,G,I,2;F,J,B,K,M,2;B,C,D,J,F,1;C,D,J,G,E,3;F,G,H,N,I,1;D,E,B,G,K,1;G,H,J,I,A,2;I,F,K,P,J,3;J,K,L,A,M,1;N,O,H,P,C,2;L,M,N,E,J,3;A,N,F,B,O,3
J,K,L,B,A,1;M,J,D,N,A,3;I,F,M,J,O,2;C,D,E,L,B,1;L,M,J,D,N,1;A,N,B,P,O,3;H,I,N,F,K,2;D,E,G,K,B,3;E,B,L,F,H,2;F,G,H,I,N,1;A,B,D,C,F,2;G,H,I,O,J,1;B,F,G,J,H,1;P,A,I,D,B,3;N,O,P,C,H,1;B,C,K,F,D,3;F,J,P,M,K,3;J,A,F,N,P,2;O,P,C,G,A,3;K,L,B,M,A,2
H,I,F,J,N,1;G,H,O,I,F,2;A,N,P,F,O,3;D,E,F,B,L,2;E,B,G,L,F,3;B,F,I,G,J,2;O,P,C,G,A,3;K,L,M,N,B,1;I,F,M,J,O,2;M,J,A,D,P,1;J,A,N,O,B,1;C,D,L,B,E,3;B,C,J,E,D,3;A,B,I,E,C,3;J,K,A,L,C,2;P,A,E,B,F,2;N,O,P,F,A,1;F,J,K,L,P,1;F,G,H,A,J,1;L,M,C,N,J,3
