item1,item2,choice1,choice2,choice3,correct_choice (1-3)
O,P,C,G,A,3;A,B,C,F,E,1;N,O,B,P,G,2;B,F,J,I,G,3;F,J,B,K,M,2;A,N,O,B,F,1;L,M,J,A,C,1;H,I,F,L,O,1;J,A,F,N,O,2;M,J,D,N,A,3;G,H,O,K,I,3;B,C,F,D,J,2;K,L,M,B,A,1;J,K,A,B,L,3;E,B,L,I,F,3;D,E,B,M,H,1;P,A,I,B,E,2;I,F,M,O,J,3;C,D,E,L,B,1;F,G,H,A,J,1
O,P,G,C,A,3;M,J,P,A,B,2;K,L,M,B,A,1;C,D,B,E,K,2;H,I,F,N,K,1;I,F,A,M,J,3;L,M,A,D,J,3;J,K,C,L,M,2;F,J,M,A,K,3;J,A,B,N,O,2;E,B,F,I,J,1;D,E,G,M,B,3;A,B,C,D,I,1;B,F,H,G,M,2;N,O,B,P,G,2;B,C,F,K,D,3;G,H,K,I,O,2;P,A,H,B,C,2;A,N,O,G,B,1;F,G,H,I,J,1
N,O,F,P,B,2;M,J,A,E,O,1;L,M,C,J,N,2;I,F,J,A,L,1;H,I,F,N,L,1;B,F,H,M,G,3;J,K,B,A,L,3;K,L,D,M,J,2;D,E,L,B,H,2;A,N,O,F,P,1;C,D,E,L,G,1;O,P,H,B,A,3;A,B,I,C,E,2;J,A,F,P,N,3;B,C,F,J,D,3;E,B,G,J,F,3;P,A,B,C,F,1;F,J,M,P,K,3;F,G,H,A,J,1;G,H,N,I,J,2
C,D,B,E,K,2;G,H,I,O,F,1;L,M,O,D,J,3;M,J,A,B,P,1;N,O,G,P,B,2;B,F,H,J,G,3;J,A,P,N,E,2;K,L,M,A,D,1;A,B,F,D,C,3;I,F,J,A,L,1;B,C,F,D,K,2;H,I,L,N,F,3;O,P,G,D,A,3;D,E,B,K,F,1;F,J,A,K,M,2;J,K,A,C,L,3;E,B,F,L,G,1;F,G,H,A,J,1;P,A,H,D,B,3;A,N,P,O,G,2
H,I,J,F,N,2;I,F,A,J,M,2;P,A,I,C,B,3;B,C,D,J,E,1;D,E,B,L,G,1;M,J,N,B,A,3;B,F,A,H,G,3;C,D,J,G,E,3;N,O,P,A,H,1;E,B,F,H,J,1;G,H,I,K,N,1;J,K,C,A,L,3;F,J,L,K,P,2;O,P,I,A,D,2;A,B,F,C,E,2;A,N,O,B,F,1;F,G,I,A,H,3;K,L,D,J,M,3;L,M,E,N,J,3;J,A,N,B,O,1
M,J,B,A,O,2;B,C,D,F,E,1;D,E,M,H,B,3;L,M,J,D,N,1;O,P,A,H,C,1;I,F,A,L,J,3;H,I,N,F,K,2;F,G,A,I,H,3;E,B,J,F,G,2;K,L,J,M,B,2;N,O,P,F,C,1;F,J,B,K,M,2;J,K,A,M,L,3;C,D,K,E,G,2;A,B,I,D,C,3;J,A,B,N,P,2;B,F,G,A,I,1;G,H,F,I,A,2;A,N,P,O,B,2;P,A,B,H,C,1
M,J,A,O,B,1;I,F,O,J,M,2;H,I,K,N,F,3;N,O,P,F,B,1;D,E,M,F,B,3;F,J,P,L,K,3;B,F,G,I,J,1;A,N,F,O,B,2;B,C,F,J,D,3;F,G,A,I,H,3;K,L,A,M,D,2;O,P,B,A,I,2;A,B,C,D,F,1;L,M,J,C,N,1;J,K,C,A,L,3;P,A,B,F,C,1;J,A,N,F,P,1;C,D,B,E,K,2;E,B,F,G,J,1;G,H,N,I,K,2
G,H,A,I,J,2;E,B,H,F,M,2;F,J,M,A,K,3;M,J,O,D,A,3;J,A,N,E,O,1;H,I,F,N,L,1;J,K,A,L,C,2;I,F,J,P,K,1;L,M,N,J,C,2;P,A,B,H,C,1;A,B,C,F,D,1;K,L,C,M,N,2;B,C,J,E,D,3;C,D,E,L,B,1;A,N,G,O,P,2;B,F,G,H,M,1;N,O,P,A,H,1;D,E,K,F,B,3;F,G,I,H,A,2;O,P,I,C,A,3
B,C,F,E,D,3;G,H,F,N,I,3;F,J,K,M,A,1;L,M,A,J,E,2;A,N,P,O,B,2;J,K,L,M,B,1;A,B,F,E,C,3;N,O,P,C,H,1;P,A,F,B,D,2;E,B,M,F,I,2;M,J,O,E,A,3;I,F,J,O,L,1;H,I,F,L,N,1;K,L,C,M,N,2;B,F,G,J,H,1;D,E,B,K,F,1;J,A,E,P,N,3;F,G,N,J,H,3;O,P,A,H,D,1;C,D,K,E,B,2
A,B,E,C,J,2;E,B,G,M,F,3;I,F,J,P,M,1;D,E,B,L,F,1;M,J,A,N,D,1;B,F,J,H,G,3;L,M,C,J,A,2;N,O,F,P,A,2;F,G,A,H,I,2;B,C,J,F,D,3;J,A,B,N,O,2;K,L,M,C,N,1;P,A,B,F,E,1;H,I,J,N,F,3;O,P,H,A,C,2;C,D,L,F,E,3;G,H,O,K,I,3;A,N,P,G,O,3;J,K,L,A,B,1;F,J,K,B,M,1
F,G,H,J,N,1;L,M,D,J,N,2;B,C,D,J,F,1;A,N,O,F,P,1;F,J,A,M,K,3;I,F,A,J,L,2;H,I,F,N,L,1;G,H,A,F,I,3;K,L,B,M,J,2;A,B,E,J,C,3;B,F,J,H,G,3;J,K,C,L,A,2;O,P,I,A,D,2;P,A,H,E,B,3;D,E,B,L,H,1;C,D,G,J,E,3;N,O,B,H,P,3;M,J,A,E,N,1;J,A,N,O,F,1;E,B,F,G,M,1
