item1,item2,choice1,choice2,choice3,correct_choice (1-3)
I,F,O,L,J,3;F,G,H,N,J,1;F,J,P,M,K,3;O,P,H,A,D,2;J,K,L,A,M,1;H,I,F,L,N,1;J,A,O,N,F,2;A,N,F,B,O,3;N,O,H,C,P,3;D,E,H,B,L,2;B,C,K,E,D,3;L,M,A,J,E,2;A,B,C,E,F,1;M,J,B,O,A,3;E,B,F,H,L,1;P,A,E,B,I,2;B,F,G,J,I,1;C,D,J,E,G,2;G,H,N,I,F,2;K,L,J,B,M,3
B,C,D,F,K,1;B,F,G,M,I,1;P,A,H,D,B,3;A,N,F,O,B,2;A,B,E,C,I,2;J,K,L,A,M,1;D,E,F,K,B,3;H,I,K,F,O,2;M,J,B,A,O,2;F,J,M,K,P,2;K,L,A,D,M,3;O,P,H,A,B,2;L,M,A,C,J,3;I,F,J,O,M,1;C,D,B,J,E,3;E,B,F,J,H,1;J,A,N,O,E,1;F,G,J,H,I,2;N,O,H,P,A,2;G,H,N,J,I,3
B,F,H,A,G,3;I,F,L,J,P,2;H,I,F,L,N,1;F,J,P,M,K,3;J,K,C,L,M,2;K,L,M,A,C,1;J,A,B,N,O,2;P,A,D,I,B,3;M,J,A,B,O,1;F,G,A,I,H,3;L,M,J,O,C,1;B,C,J,D,F,2;A,N,P,B,O,3;D,E,G,L,B,3;N,O,B,P,H,2;A,B,J,C,E,2;E,B,F,H,M,1;G,H,K,I,N,2;C,D,E,B,J,1;O,P,A,H,D,1
N,O,F,P,C,2;F,J,K,B,L,1;J,K,L,B,A,1;I,F,O,M,J,3;K,L,D,N,M,3;L,M,E,O,J,3;J,A,P,N,B,2;A,B,D,F,C,3;A,N,O,F,P,1;G,H,I,K,N,1;B,C,D,K,F,1;H,I,P,K,F,3;M,J,N,A,E,2;B,F,J,H,G,3;F,G,J,H,N,2;D,E,F,B,K,2;P,A,C,B,F,2;C,D,L,B,E,3;O,P,A,G,B,1;E,B,F,G,M,1
A,N,P,O,B,2;J,K,L,B,M,1;C,D,G,J,E,3;L,M,N,J,E,2;N,O,P,G,A,1;J,A,B,N,P,2;H,I,K,F,N,2;B,F,H,A,G,3;E,B,F,L,H,1;D,E,F,B,M,2;F,G,H,J,N,1;M,J,O,B,A,3;P,A,H,D,B,3;F,J,A,K,M,2;G,H,I,O,K,1;B,C,D,F,K,1;O,P,H,B,A,3;K,L,A,C,M,3;A,B,J,E,C,3;I,F,J,A,K,1
L,M,O,D,J,3;J,A,N,O,E,1;H,I,F,L,N,1;M,J,D,P,A,3;P,A,F,B,D,2;A,B,F,C,D,2;O,P,A,B,H,1;C,D,K,F,E,3;D,E,H,B,L,2;G,H,O,J,I,3;E,B,L,F,G,2;B,F,H,G,J,2;B,C,E,J,D,3;K,L,M,A,D,1;A,N,P,F,O,3;I,F,J,P,M,1;F,J,K,P,L,1;F,G,A,J,H,3;N,O,G,P,A,2;J,K,M,A,L,3
N,O,P,C,F,1;I,F,A,L,J,3;L,M,J,N,C,1;B,F,A,G,I,2;J,K,C,L,M,2;E,B,M,H,F,3;A,B,I,C,D,2;K,L,A,D,M,3;C,D,E,F,J,1;O,P,B,A,G,2;F,G,H,A,J,1;P,A,F,B,C,2;F,J,P,L,K,3;A,N,P,O,B,2;D,E,F,K,B,3;M,J,O,A,E,2;J,A,P,N,E,2;B,C,D,J,E,1;H,I,K,P,F,3;G,H,K,N,I,3
E,B,G,F,M,2;C,D,L,F,E,3;D,E,B,H,L,1;H,I,O,F,J,2;J,A,N,P,F,1;J,K,B,M,L,3;F,G,I,N,H,3;K,L,M,A,B,1;B,C,D,E,J,1;A,B,F,C,E,2;F,J,K,M,A,1;M,J,A,D,P,1;N,O,A,P,H,2;O,P,D,A,I,2;P,A,H,D,B,3;G,H,J,I,O,2;B,F,I,J,G,3;L,M,J,E,O,1;I,F,M,J,O,2;A,N,B,O,G,2
G,H,I,O,F,1;E,B,J,G,F,3;N,O,G,P,C,2;P,A,C,B,I,2;B,C,D,F,K,1;J,K,C,L,M,2;C,D,K,G,E,3;B,F,I,G,A,2;A,B,C,I,D,1;D,E,B,L,F,1;H,I,P,L,F,3;J,A,N,E,P,1;L,M,E,J,N,2;O,P,G,D,A,3;F,J,K,L,A,1;M,J,D,A,O,2;A,N,G,O,P,2;K,L,B,J,M,3;F,G,J,I,H,3;I,F,J,P,M,1
J,A,P,N,B,2;O,P,A,H,D,1;F,J,K,M,P,1;P,A,H,D,B,3;B,F,M,I,G,3;G,H,O,I,F,2;I,F,J,O,K,1;B,C,F,E,D,3;E,B,H,F,J,2;D,E,B,H,K,1;H,I,K,O,F,3;A,N,O,F,B,1;L,M,A,J,E,2;C,D,G,J,E,3;F,G,J,I,H,3;K,L,B,N,M,3;J,K,M,L,B,2;M,J,A,P,B,1;A,B,C,I,E,1;N,O,F,P,C,2
F,G,N,H,I,2;B,C,D,J,E,1;F,J,B,L,K,3;O,P,I,A,C,2;N,O,B,P,F,2;C,D,K,E,G,2;G,H,F,N,I,3;D,E,B,G,K,1;H,I,N,L,F,3;P,A,B,I,D,1;B,F,M,G,I,2;A,B,D,J,C,3;J,A,N,E,P,1;K,L,B,J,M,3;I,F,M,J,A,2;A,N,P,O,B,2;L,M,J,C,O,1;J,K,A,M,L,3;E,B,M,F,H,2;M,J,O,D,A,3
