item1,item2,choice1,choice2,choice3,correct_choice (1-3)
B,F,H,G,A,2;J,A,N,F,O,1;K,L,C,M,A,2;C,D,J,G,E,3;F,G,I,J,H,3;J,K,L,C,A,1;A,B,D,I,C,3;N,O,P,A,G,1;E,B,G,L,F,3;L,M,A,J,E,2;O,P,B,A,H,2;M,J,D,O,A,3;F,J,K,L,B,1;P,A,B,C,H,1;B,C,E,K,D,3;A,N,G,O,B,2;D,E,B,F,K,1;H,I,P,F,L,2;I,F,A,J,L,2;G,H,I,N,F,1
A,B,D,C,I,2;B,C,E,J,D,3;J,K,A,L,B,2;D,E,B,M,F,1;M,J,O,A,B,2;G,H,I,A,K,1;P,A,D,I,B,3;N,O,C,P,G,2;F,G,J,A,H,3;J,A,F,N,O,2;L,M,J,N,C,1;B,F,G,H,A,1;E,B,F,G,J,1;H,I,K,O,F,3;C,D,K,G,E,3;K,L,C,N,M,3;O,P,D,A,I,2;I,F,J,M,O,1;F,J,M,A,K,3;A,N,P,B,O,3
B,C,J,F,D,3;N,O,P,A,G,1;A,N,P,O,G,2;M,J,P,D,A,3;A,B,C,D,J,1;F,J,L,K,A,2;E,B,G,F,L,2;P,A,B,D,F,1;B,F,A,G,I,2;J,K,M,A,L,3;O,P,A,H,D,1;F,G,N,I,H,3;L,M,A,J,D,2;J,A,B,N,P,2;K,L,M,C,A,1;H,I,F,P,K,1;G,H,F,I,N,2;C,D,E,L,G,1;I,F,J,O,K,1;D,E,H,B,L,2
J,K,L,B,A,1;B,C,J,F,D,3;J,A,B,N,P,2;M,J,D,A,P,2;D,E,F,M,B,3;H,I,L,F,P,2;P,A,B,I,E,1;K,L,N,D,M,3;C,D,F,L,E,3;I,F,A,K,J,3;A,B,C,D,J,1;N,O,C,F,P,3;O,P,C,A,I,2;B,F,G,A,H,1;A,N,O,F,B,1;E,B,H,F,L,2;F,J,P,M,K,3;F,G,N,J,H,3;G,H,O,I,J,2;L,M,J,D,N,1
F,J,L,A,K,3;A,N,P,F,O,3;N,O,B,P,H,2;C,D,E,F,J,1;E,B,F,G,M,1;G,H,F,I,N,2;K,L,N,M,B,2;D,E,M,F,B,3;J,K,L,M,A,1;O,P,C,H,A,3;A,B,D,C,I,2;J,A,N,O,B,1;I,F,A,M,J,3;H,I,F,J,P,1;B,F,H,M,G,3;F,G,H,J,A,1;B,C,J,F,D,3;P,A,B,I,E,1;L,M,C,A,J,3;M,J,E,A,N,2
N,O,P,F,B,1;A,N,B,O,G,2;D,E,G,B,M,2;H,I,O,F,J,2;L,M,D,N,J,3;M,J,A,D,N,1;J,K,A,M,L,3;C,D,G,J,E,3;G,H,I,F,N,1;E,B,J,G,F,3;P,A,B,D,H,1;F,G,I,J,H,3;K,L,M,B,N,1;B,F,J,H,G,3;O,P,C,A,I,2;F,J,K,L,A,1;B,C,F,D,K,2;I,F,J,K,O,1;J,A,F,P,N,3;A,B,I,C,D,2
G,H,O,I,F,2;J,A,F,O,N,3;A,N,O,G,B,1;E,B,J,F,I,2;K,L,M,N,D,1;D,E,H,L,B,3;P,A,B,I,D,1;L,M,E,N,J,3;B,C,F,D,E,2;M,J,D,A,P,2;J,K,B,L,M,2;B,F,G,H,M,1;A,B,D,I,C,3;I,F,A,L,J,3;C,D,E,G,K,1;O,P,B,G,A,3;F,G,I,J,H,3;H,I,K,F,P,2;N,O,P,G,B,1;F,J,K,M,B,1
B,F,G,M,H,1;N,O,B,P,G,2;A,B,F,E,C,3;M,J,N,A,B,2;O,P,B,I,A,3;I,F,J,P,K,1;G,H,I,J,N,1;J,K,C,L,M,2;A,N,F,B,O,3;D,E,H,B,L,2;P,A,B,H,C,1;E,B,M,F,I,2;L,M,C,J,O,2;F,J,K,L,B,1;H,I,L,P,F,3;C,D,E,K,B,1;K,L,M,C,A,1;F,G,I,N,H,3;J,A,P,F,N,3;B,C,E,D,J,2
J,K,L,A,B,1;P,A,F,B,D,2;K,L,D,M,J,2;A,B,I,C,E,2;J,A,N,E,P,1;I,F,K,P,J,3;A,N,G,O,B,2;F,G,A,H,I,2;G,H,F,O,I,3;M,J,D,A,P,2;B,C,F,K,D,3;E,B,F,M,I,1;D,E,F,L,B,3;O,P,A,C,H,1;C,D,J,E,B,2;B,F,G,M,I,1;N,O,G,C,P,3;F,J,L,K,B,2;L,M,D,J,A,2;H,I,F,N,J,1
G,H,J,A,I,3;J,A,P,N,E,2;F,G,J,I,H,3;A,B,C,D,J,1;N,O,P,G,A,1;M,J,E,P,A,3;A,N,B,O,G,2;C,D,G,E,K,2;K,L,N,D,M,3;L,M,N,E,J,3;I,F,K,A,J,3;P,A,B,D,F,1;H,I,K,F,N,2;D,E,H,B,L,2;B,C,D,F,K,1;F,J,A,K,M,2;E,B,I,L,F,3;J,K,L,C,A,1;O,P,B,A,H,2;B,F,G,H,M,1
F,J,K,L,A,1;P,A,I,C,B,3;C,D,L,E,F,2;G,H,A,K,I,3;D,E,M,G,B,3;B,C,F,D,K,2;J,K,A,C,L,3;K,L,J,C,M,3;J,A,O,N,E,2;M,J,A,P,B,1;A,B,D,C,J,2;L,M,E,O,J,3;N,O,C,G,P,3;I,F,J,K,P,1;O,P,A,H,C,1;E,B,F,L,I,1;A,N,B,O,F,2;B,F,A,G,H,2;F,G,H,J,N,1;H,I,F,O,K,1
