item1,item2,choice1,choice2,choice3,correct_choice (1-3)
J,K,C,M,L,3;O,P,H,C,A,3;A,B,C,D,I,1;F,G,H,I,A,1;N,O,F,P,A,2;E,B,F,H,J,1;G,H,N,I,J,2;H,I,F,K,P,1;A,N,B,P,O,3;C,D,L,E,B,2;I,F,L,A,J,3;B,F,G,J,H,1;P,A,F,B,D,2;F,J,K,M,P,1;L,M,A,J,E,2;B,C,E,D,J,2;D,E,G,K,B,3;K,L,D,M,J,2;M,J,P,B,A,3;J,A,P,F,N,3
B,C,F,E,D,3;N,O,P,C,H,1;K,L,N,B,M,3;M,J,D,P,A,3;A,B,C,E,I,1;J,A,O,N,B,2;F,J,M,K,B,2;O,P,H,B,A,3;E,B,J,F,H,2;C,D,L,G,E,3;A,N,G,O,P,2;G,H,J,O,I,3;D,E,B,G,K,1;P,A,D,I,B,3;F,G,H,J,A,1;L,M,A,J,E,2;H,I,N,L,F,3;I,F,J,L,P,1;B,F,G,H,M,1;J,K,M,L,A,2
A,N,B,P,O,3;B,C,J,E,D,3;L,M,N,D,J,3;M,J,A,O,B,1;E,B,G,F,J,2;B,F,G,H,A,1;F,J,M,K,B,2;I,F,O,J,L,2;C,D,L,E,G,2;J,A,B,O,N,3;A,B,E,C,J,2;N,O,P,G,A,1;G,H,O,K,I,3;J,K,L,M,B,1;D,E,B,L,F,1;H,I,O,F,J,2;F,G,A,J,H,3;K,L,M,C,N,1;O,P,B,A,H,2;P,A,B,E,F,1
G,H,A,J,I,3;H,I,L,F,N,2;M,J,A,E,O,1;C,D,J,G,E,3;J,K,L,B,A,1;N,O,H,P,A,2;A,B,D,C,J,2;B,F,G,J,I,1;F,J,K,P,L,1;O,P,H,D,A,3;D,E,K,H,B,3;J,A,F,N,O,2;E,B,I,F,L,2;K,L,B,J,M,3;A,N,F,O,P,2;I,F,J,O,L,1;B,C,D,F,J,1;L,M,J,E,O,1;F,G,J,H,N,2;P,A,I,C,B,3
D,E,L,B,G,2;O,P,A,G,C,1;A,N,P,G,O,3;B,F,G,J,I,1;F,J,B,M,K,3;H,I,F,J,P,1;P,A,F,B,E,2;I,F,O,K,J,3;B,C,D,K,F,1;J,K,A,L,B,2;L,M,C,J,O,2;J,A,O,F,N,3;K,L,B,M,J,2;A,B,J,D,C,3;F,G,I,H,A,2;C,D,E,L,G,1;E,B,J,H,F,3;G,H,J,N,I,3;N,O,P,C,F,1;M,J,O,A,E,2
B,F,G,M,I,1;E,B,L,F,G,2;A,B,I,C,E,2;B,C,F,K,D,3;H,I,N,F,J,2;A,N,P,F,O,3;L,M,A,J,C,2;J,A,F,P,N,3;I,F,J,A,L,1;M,J,D,A,N,2;P,A,B,C,I,1;N,O,C,G,P,3;J,K,C,A,L,3;D,E,M,H,B,3;G,H,I,F,N,1;K,L,A,M,C,2;O,P,B,G,A,3;F,G,H,N,J,1;F,J,M,K,A,2;C,D,L,B,E,3
A,B,C,D,F,1;G,H,K,A,I,3;L,M,J,A,E,1;C,D,L,E,G,2;I,F,L,A,J,3;E,B,L,F,H,2;J,A,P,N,F,2;M,J,B,O,A,3;F,J,M,K,B,2;B,C,E,D,F,2;K,L,A,B,M,3;H,I,F,K,O,1;O,P,A,G,B,1;P,A,B,F,E,1;F,G,J,A,H,3;J,K,L,C,M,1;N,O,P,F,B,1;B,F,H,J,G,3;A,N,G,O,P,2;D,E,M,B,H,2
E,B,G,F,M,2;A,B,C,E,J,1;C,D,B,L,E,3;J,A,P,N,F,2;K,L,A,B,M,3;I,F,J,A,M,1;M,J,N,E,A,3;N,O,B,P,H,2;B,F,G,I,M,1;F,J,K,A,M,1;G,H,O,J,I,3;H,I,N,F,L,2;D,E,L,B,G,2;P,A,B,I,C,1;L,M,O,J,E,2;F,G,J,N,H,3;A,N,G,B,O,3;O,P,D,A,G,2;J,K,B,L,A,2;B,C,K,D,F,2
I,F,A,M,J,3;O,P,D,A,I,2;L,M,O,D,J,3;A,B,E,I,C,3;P,A,B,C,H,1;D,E,G,B,K,2;B,F,I,M,G,3;F,J,K,L,A,1;C,D,L,G,E,3;H,I,K,P,F,3;J,A,N,O,E,1;K,L,D,M,N,2;E,B,F,L,H,1;J,K,B,M,L,3;G,H,I,K,N,1;A,N,O,B,P,1;M,J,P,E,A,3;F,G,N,H,J,2;N,O,P,G,B,1;B,C,F,E,D,3
I,F,K,J,P,2;B,C,K,E,D,3;J,A,N,P,E,1;J,K,C,L,M,2;D,E,F,L,B,3;F,J,K,P,M,1;C,D,G,E,J,2;B,F,J,G,I,2;O,P,B,A,I,2;F,G,J,A,H,3;E,B,F,L,G,1;K,L,D,M,N,2;H,I,L,N,F,3;L,M,J,D,O,1;A,N,O,G,B,1;M,J,D,N,A,3;N,O,P,G,B,1;P,A,B,F,C,1;G,H,K,N,I,3;A,B,C,I,D,1
D,E,B,G,K,1;E,B,F,J,H,1;K,L,A,M,D,2;B,F,J,H,G,3;I,F,K,A,J,3;J,K,A,L,M,2;M,J,A,P,E,1;P,A,C,B,F,2;F,G,A,H,I,2;O,P,H,B,A,3;G,H,I,J,N,1;N,O,C,H,P,3;F,J,P,K,M,2;L,M,A,E,J,3;H,I,F,J,N,1;A,B,F,E,C,3;C,D,E,K,F,1;B,C,D,K,E,1;A,N,F,P,O,3;J,A,N,O,F,1
