item1,item2,choice1,choice2,choice3,correct_choice (1-3)
G,H,I,N,F,1;I,F,M,A,J,3;D,E,B,G,M,1;F,J,M,K,P,2;K,L,D,N,M,3;J,K,M,L,C,2;B,F,J,G,I,2;O,P,A,I,C,1;N,O,A,G,P,3;B,C,E,D,F,2;E,B,M,F,G,2;A,N,O,G,B,1;A,B,E,C,J,2;L,M,A,D,J,3;P,A,B,E,H,1;H,I,K,F,P,2;F,G,A,J,H,3;C,D,L,F,E,3;J,A,E,N,P,2;M,J,A,O,E,1
P,A,I,B,E,2;C,D,B,K,E,3;M,J,N,A,D,2;A,B,C,E,I,1;H,I,F,K,O,1;N,O,F,A,P,3;K,L,C,M,N,2;B,F,H,M,G,3;I,F,J,M,P,1;J,K,L,C,A,1;L,M,O,E,J,3;G,H,A,I,F,2;B,C,D,E,J,1;E,B,F,L,H,1;O,P,I,D,A,3;D,E,B,L,F,1;F,J,P,M,K,3;A,N,B,F,O,3;J,A,N,B,O,1;F,G,I,H,N,2
B,F,J,H,G,3;P,A,C,I,B,3;L,M,N,J,E,2;H,I,F,O,L,1;G,H,A,F,I,3;B,C,F,K,D,3;N,O,P,G,C,1;J,A,P,N,F,2;M,J,O,E,A,3;I,F,J,O,L,1;K,L,B,J,M,3;E,B,I,F,M,2;C,D,J,E,B,2;F,J,L,K,A,2;O,P,A,C,H,1;A,B,D,I,C,3;D,E,H,B,K,2;F,G,A,I,H,3;J,K,L,C,M,1;A,N,O,B,G,1
K,L,M,A,B,1;A,B,D,I,C,3;C,D,J,B,E,3;M,J,P,A,D,2;J,K,L,A,M,1;L,M,A,J,E,2;J,A,N,F,O,1;I,F,M,J,P,2;P,A,F,B,D,2;B,F,H,J,G,3;F,J,A,K,M,2;H,I,F,P,L,1;O,P,I,C,A,3;A,N,G,O,P,2;N,O,C,F,P,3;D,E,G,B,M,2;B,C,K,F,D,3;E,B,G,L,F,3;F,G,H,N,J,1;G,H,I,K,O,1
F,G,H,A,J,1;C,D,J,F,E,3;A,N,B,O,F,2;P,A,C,I,B,3;M,J,P,A,E,2;I,F,A,L,J,3;E,B,G,F,L,2;L,M,A,D,J,3;B,F,G,J,H,1;F,J,K,L,P,1;D,E,M,G,B,3;H,I,K,F,P,2;K,L,M,N,B,1;G,H,N,F,I,3;N,O,H,A,P,3;O,P,C,A,G,2;J,A,O,B,N,3;A,B,C,D,F,1;J,K,L,A,B,1;B,C,D,F,J,1
K,L,D,N,M,3;M,J,A,B,O,1;C,D,E,J,G,1;H,I,N,K,F,3;B,F,I,G,A,2;J,K,A,L,C,2;N,O,C,P,H,2;O,P,D,H,A,3;I,F,J,O,L,1;P,A,C,B,F,2;B,C,E,J,D,3;F,J,K,A,M,1;A,B,C,J,E,1;L,M,C,O,J,3;J,A,E,P,N,3;G,H,F,I,O,2;A,N,P,O,G,2;D,E,B,L,G,1;F,G,H,I,A,1;E,B,M,F,G,2
J,A,F,P,N,3;P,A,B,C,H,1;A,B,D,C,F,2;E,B,L,F,G,2;A,N,B,G,O,3;H,I,K,O,F,3;C,D,G,J,E,3;F,G,N,H,J,2;M,J,A,N,B,1;L,M,D,J,N,2;F,J,L,A,K,3;B,C,F,D,J,2;O,P,A,G,B,1;K,L,M,J,B,1;D,E,H,L,B,3;G,H,K,O,I,3;I,F,L,J,A,2;J,K,A,B,L,3;B,F,A,H,G,3;N,O,B,P,F,2
F,G,J,A,H,3;J,A,N,P,B,1;L,M,A,J,D,2;D,E,K,B,G,2;O,P,A,G,D,1;P,A,H,C,B,3;K,L,C,M,A,2;E,B,F,J,I,1;G,H,I,O,F,1;F,J,L,K,A,2;B,F,A,G,H,2;A,N,P,G,O,3;I,F,P,L,J,3;H,I,O,F,J,2;C,D,B,J,E,3;N,O,P,G,A,1;J,K,L,B,A,1;M,J,B,A,N,2;A,B,C,I,E,1;B,C,F,D,J,2
L,M,O,C,J,3;I,F,K,J,O,2;H,I,F,L,P,1;P,A,E,H,B,3;F,G,I,H,A,2;C,D,J,F,E,3;K,L,M,D,J,1;A,N,F,B,O,3;J,K,A,L,M,2;G,H,I,O,K,1;E,B,I,F,M,2;A,B,D,I,C,3;B,C,D,F,J,1;B,F,G,H,A,1;J,A,B,N,O,2;O,P,A,D,I,1;M,J,A,E,N,1;F,J,P,K,M,2;N,O,P,C,F,1;D,E,K,B,G,2
F,G,H,A,I,1;D,E,M,B,F,2;A,N,B,F,O,3;I,F,M,A,J,3;M,J,A,N,D,1;P,A,F,D,B,3;E,B,I,F,M,2;C,D,B,E,K,2;O,P,B,A,G,2;H,I,F,L,O,1;N,O,G,B,P,3;B,F,J,G,I,2;J,K,C,L,A,2;A,B,D,C,F,2;L,M,J,D,O,1;J,A,F,N,O,2;B,C,F,K,D,3;G,H,I,K,A,1;K,L,J,D,M,3;F,J,M,B,K,3
I,F,O,L,J,3;D,E,B,G,L,1;F,J,K,L,P,1;C,D,J,E,F,2;H,I,N,F,L,2;P,A,E,F,B,3;N,O,G,C,P,3;F,G,J,H,A,2;A,N,O,P,B,1;G,H,I,O,K,1;J,A,B,P,N,3;A,B,E,J,C,3;L,M,J,O,C,1;M,J,P,D,A,3;K,L,C,M,J,2;O,P,H,B,A,3;B,F,G,H,J,1;J,K,C,L,M,2;E,B,M,F,H,2;B,C,F,J,D,3
L,M,O,D,J,3;O,P,A,G,D,1;B,F,G,M,I,1;P,A,E,B,H,2;I,F,L,O,J,3;K,L,M,C,A,1;F,J,L,K,A,2;M,J,E,N,A,3;N,O,B,P,F,2;J,K,L,M,C,1;A,N,B,P,O,3;F,G,H,J,N,1;A,B,D,I,C,3;D,E,H,B,M,2;J,A,N,P,F,1;H,I,O,F,K,2;B,C,E,F,D,3;E,B,G,F,M,2;C,D,E,K,G,1;G,H,A,I,J,2
A,N,O,B,F,1;J,A,B,N,O,2;G,H,K,A,I,3;L,M,J,A,C,1;P,A,E,B,F,2;J,K,B,A,L,3;F,J,M,B,K,3;I,F,J,M,P,1;O,P,G,A,D,2;K,L,M,B,J,1;N,O,F,P,A,2;D,E,L,B,G,2;E,B,H,J,F,3;C,D,G,E,J,2;M,J,A,O,B,1;B,C,E,D,J,2;A,B,C,E,I,1;H,I,F,J,O,1;F,G,J,H,N,2;B,F,H,A,G,3
F,J,K,L,B,1;O,P,D,I,A,3;B,F,J,G,I,2;N,O,F,C,P,3;P,A,D,B,H,2;A,N,O,B,P,1;H,I,F,K,O,1;F,G,H,I,N,1;C,D,L,B,E,3;J,A,N,E,O,1;E,B,F,M,H,1;B,C,J,D,E,2;L,M,E,J,N,2;A,B,I,D,C,3;M,J,E,A,P,2;D,E,L,B,F,2;K,L,A,D,M,3;J,K,M,C,L,3;G,H,O,K,I,3;I,F,K,J,O,2
J,A,P,N,F,2;C,D,L,F,E,3;B,C,D,K,E,1;K,L,C,M,J,2;M,J,B,O,A,3;E,B,L,F,H,2;I,F,J,M,A,1;L,M,A,C,J,3;F,J,K,B,L,1;A,N,G,B,O,3;O,P,D,A,I,2;A,B,C,D,F,1;P,A,D,I,B,3;B,F,I,G,M,2;H,I,P,F,L,2;N,O,P,H,C,1;F,G,J,N,H,3;G,H,I,F,N,1;D,E,G,B,K,2;J,K,L,B,A,1
