item1,item2,choice1,choice2,choice3,correct_choice (1-3)
B,F,H,M,G,3;J,K,L,M,C,1;J,A,O,N,E,2;E,B,F,I,L,1;I,F,L,J,A,2;L,M,C,J,A,2;H,I,F,O,L,1;G,H,A,K,I,3;D,E,K,G,B,3;A,N,F,O,B,2;F,J,K,B,L,1;O,P,A,I,B,1;C,D,L,F,E,3;P,A,H,C,B,3;N,O,F,A,P,3;F,G,J,H,N,2;B,C,K,D,F,2;M,J,D,P,A,3;K,L,M,B,J,1;A,B,C,J,E,1
A,B,C,I,D,1;B,C,F,E,D,3;O,P,I,A,C,2;L,M,N,D,J,3;J,A,O,N,F,2;I,F,A,J,K,2;N,O,P,H,A,1;D,E,L,F,B,3;J,K,A,C,L,3;K,L,B,M,A,2;H,I,F,J,P,1;A,N,P,F,O,3;E,B,L,I,F,3;M,J,N,A,D,2;G,H,J,I,A,2;B,F,M,H,G,3;C,D,K,E,B,2;P,A,C,B,F,2;F,J,M,K,A,2;F,G,J,A,H,3
B,F,I,G,J,2;A,B,I,C,E,2;E,B,H,J,F,3;K,L,A,B,M,3;G,H,I,F,N,1;F,G,H,N,I,1;O,P,B,I,A,3;B,C,E,D,F,2;L,M,J,A,D,1;N,O,P,B,F,1;J,K,L,A,C,1;M,J,O,D,A,3;C,D,K,F,E,3;J,A,N,O,E,1;H,I,N,F,K,2;P,A,H,E,B,3;D,E,K,G,B,3;A,N,P,G,O,3;I,F,J,L,A,1;F,J,P,L,K,3
I,F,J,P,L,1;A,B,J,C,D,2;M,J,O,E,A,3;G,H,O,F,I,3;H,I,L,F,O,2;J,K,L,C,A,1;J,A,N,E,O,1;C,D,K,B,E,3;L,M,N,J,E,2;F,G,J,H,A,2;A,N,G,P,O,3;E,B,F,H,L,1;O,P,A,I,C,1;B,C,F,D,J,2;D,E,B,G,K,1;B,F,A,G,I,2;F,J,A,K,L,2;N,O,F,B,P,3;K,L,A,D,M,3;P,A,E,I,B,3
N,O,H,P,B,2;A,N,F,O,B,2;O,P,D,G,A,3;B,C,E,J,D,3;J,K,L,C,M,1;E,B,F,J,H,1;A,B,J,C,E,2;G,H,I,F,O,1;I,F,O,J,M,2;P,A,F,C,B,3;B,F,G,H,J,1;K,L,C,N,M,3;H,I,F,O,K,1;F,J,L,P,K,3;D,E,B,H,M,1;M,J,B,A,N,2;C,D,E,F,K,1;F,G,N,H,I,2;L,M,J,E,A,1;J,A,E,N,O,2
O,P,G,A,D,2;A,B,D,C,F,2;J,K,L,B,A,1;C,D,G,J,E,3;E,B,F,M,I,1;K,L,N,B,M,3;F,J,P,K,L,2;M,J,N,D,A,3;J,A,N,P,E,1;A,N,B,F,O,3;N,O,P,C,F,1;G,H,K,I,A,2;B,F,H,G,M,2;P,A,B,D,I,1;F,G,I,H,A,2;H,I,K,F,O,2;B,C,J,E,D,3;I,F,J,A,L,1;D,E,B,M,H,1;L,M,E,N,J,3
L,M,A,C,J,3;N,O,B,P,H,2;M,J,P,A,D,2;P,A,B,D,I,1;A,N,B,O,P,2;A,B,C,J,E,1;H,I,O,F,L,2;K,L,C,N,M,3;D,E,B,G,L,1;C,D,K,E,B,2;O,P,G,C,A,3;I,F,O,L,J,3;J,A,P,N,F,2;G,H,K,A,I,3;J,K,B,A,L,3;F,J,K,M,A,1;F,G,J,H,N,2;B,C,D,F,K,1;E,B,F,L,G,1;B,F,A,G,I,2
J,K,A,C,L,3;B,C,F,D,K,2;E,B,H,F,L,2;L,M,J,C,A,1;H,I,K,P,F,3;F,J,L,K,P,2;D,E,B,L,G,1;O,P,H,A,D,2;A,B,C,E,I,1;A,N,O,G,B,1;N,O,G,A,P,3;K,L,M,B,N,1;F,G,I,H,N,2;G,H,J,O,I,3;C,D,F,L,E,3;I,F,P,J,M,2;B,F,I,J,G,3;M,J,A,P,B,1;P,A,B,C,H,1;J,A,E,N,P,2
L,M,O,J,C,2;J,A,P,N,F,2;C,D,B,L,E,3;M,J,A,N,B,1;N,O,P,F,B,1;D,E,L,G,B,3;A,N,G,O,B,2;I,F,L,P,J,3;E,B,F,J,G,1;O,P,A,B,G,1;F,J,L,K,A,2;G,H,N,I,F,2;B,C,E,K,D,3;J,K,M,B,L,3;H,I,O,F,K,2;B,F,H,G,M,2;F,G,J,H,A,2;A,B,D,J,C,3;P,A,H,B,E,2;K,L,M,A,D,1
L,M,E,O,J,3;N,O,A,P,H,2;G,H,N,I,J,2;C,D,E,J,G,1;B,C,K,D,F,2;P,A,B,F,C,1;E,B,L,G,F,3;B,F,G,M,I,1;I,F,O,M,J,3;A,B,I,E,C,3;A,N,F,B,O,3;J,K,M,L,A,2;F,J,L,B,K,3;M,J,D,O,A,3;J,A,N,O,E,1;F,G,N,H,J,2;K,L,M,C,A,1;O,P,B,A,I,2;H,I,J,O,F,3;D,E,B,H,L,1
B,F,G,A,I,1;L,M,E,N,J,3;H,I,P,F,J,2;J,K,M,B,L,3;D,E,B,G,K,1;A,N,B,O,F,2;J,A,P,B,N,3;K,L,M,N,C,1;F,J,L,K,B,2;O,P,C,G,A,3;I,F,J,M,A,1;P,A,D,B,H,2;N,O,P,A,G,1;G,H,A,K,I,3;M,J,B,A,O,2;F,G,H,J,I,1;C,D,E,F,J,1;E,B,G,J,F,3;B,C,J,D,F,2;A,B,D,C,I,2
