item1,item2,choice1,choice2,choice3,correct_choice (1-3)
A,N,O,B,P,1;A,B,I,C,D,2;H,I,F,P,K,1;F,G,A,I,H,3;J,A,N,O,B,1;K,L,D,M,N,2;D,E,G,B,K,2;O,P,B,G,A,3;F,J,M,K,B,2;C,D,E,K,B,1;L,M,J,C,A,1;I,F,J,O,L,1;M,J,E,P,A,3;G,H,A,J,I,3;B,C,F,D,K,2;B,F,G,H,M,1;N,O,H,B,P,3;E,B,F,I,J,1;J,K,C,L,M,2;P,A,D,B,F,2
A,N,O,P,F,1;A,B,J,C,E,2;N,O,P,A,F,1;M,J,A,E,P,1;G,H,J,N,I,3;D,E,M,G,B,3;H,I,O,F,J,2;I,F,L,J,A,2;O,P,A,D,G,1;J,A,P,E,N,3;K,L,M,B,J,1;B,F,A,I,G,3;F,J,K,M,A,1;J,K,A,M,L,3;B,C,K,D,F,2;F,G,H,J,A,1;C,D,E,F,J,1;L,M,C,O,J,3;P,A,B,D,H,1;E,B,M,G,F,3
B,C,K,F,D,3;F,G,J,H,A,2;I,F,K,P,J,3;J,K,A,L,B,2;N,O,P,B,F,1;C,D,B,K,E,3;H,I,F,K,O,1;A,N,P,F,O,3;A,B,D,C,I,2;D,E,B,M,H,1;K,L,B,M,J,2;O,P,H,A,C,2;P,A,B,H,C,1;L,M,J,C,N,1;B,F,G,I,J,1;G,H,N,J,I,3;F,J,L,K,A,2;E,B,F,J,I,1;M,J,A,P,D,1;J,A,B,P,N,3
F,G,N,H,I,2;N,O,A,H,P,3;D,E,B,H,L,1;I,F,J,M,P,1;A,B,C,F,E,1;H,I,O,F,K,2;C,D,E,J,F,1;G,H,A,J,I,3;P,A,H,B,C,2;J,A,B,O,N,3;E,B,L,I,F,3;F,J,A,L,K,3;M,J,O,A,B,2;K,L,M,C,A,1;O,P,C,A,H,2;J,K,B,L,A,2;B,C,D,E,J,1;A,N,B,O,P,2;L,M,D,J,N,2;B,F,G,A,I,1
M,J,B,N,A,3;K,L,A,M,D,2;C,D,F,K,E,3;O,P,D,A,H,2;B,F,G,A,I,1;H,I,J,F,N,2;P,A,E,B,H,2;F,G,I,A,H,3;A,B,C,I,D,1;D,E,B,L,F,1;N,O,P,H,B,1;G,H,N,J,I,3;F,J,A,K,M,2;B,C,D,J,E,1;I,F,O,K,J,3;E,B,F,H,L,1;A,N,F,B,O,3;J,K,A,L,C,2;J,A,P,N,E,2;L,M,J,D,O,1
H,I,J,O,F,3;E,B,I,F,M,2;B,C,E,J,D,3;G,H,I,F,O,1;L,M,J,A,E,1;M,J,A,O,B,1;K,L,B,M,N,2;B,F,I,G,M,2;A,N,F,B,O,3;I,F,P,J,K,2;D,E,F,K,B,3;P,A,C,F,B,3;F,G,I,J,H,3;J,A,F,N,P,2;O,P,A,C,I,1;F,J,P,K,L,2;C,D,J,B,E,3;N,O,C,P,H,2;A,B,C,F,E,1;J,K,L,M,C,1
F,J,K,P,M,1;D,E,F,B,L,2;A,B,J,C,E,2;K,L,A,B,M,3;B,F,M,H,G,3;H,I,F,N,L,1;G,H,I,A,J,1;E,B,I,F,J,2;A,N,F,B,O,3;L,M,J,E,A,1;M,J,A,N,D,1;I,F,K,O,J,3;B,C,K,D,F,2;O,P,B,G,A,3;N,O,H,P,A,2;C,D,K,E,G,2;P,A,B,I,C,1;J,A,P,B,N,3;F,G,I,A,H,3;J,K,M,B,L,3
N,O,F,C,P,3;J,K,C,L,A,2;A,N,B,G,O,3;F,J,K,M,B,1;E,B,F,J,I,1;B,C,F,J,D,3;P,A,C,H,B,3;F,G,H,A,J,1;L,M,D,J,N,2;D,E,B,M,G,1;B,F,G,I,M,1;M,J,P,A,D,2;O,P,D,A,I,2;J,A,P,E,N,3;K,L,M,A,D,1;I,F,O,J,M,2;C,D,L,E,B,2;H,I,O,L,F,3;A,B,C,I,E,1;G,H,K,O,I,3
G,H,I,A,F,1;C,D,K,B,E,3;E,B,F,I,M,1;F,J,L,K,P,2;K,L,B,A,M,3;N,O,P,F,C,1;J,K,C,L,A,2;F,G,H,I,N,1;A,B,D,J,C,3;J,A,O,F,N,3;A,N,O,P,B,1;M,J,D,O,A,3;B,F,M,H,G,3;D,E,G,B,K,2;P,A,F,B,C,2;B,C,E,D,J,2;I,F,J,M,A,1;O,P,H,A,C,2;H,I,O,F,L,2;L,M,E,A,J,3
D,E,B,H,L,1;M,J,N,A,B,2;C,D,G,L,E,3;F,J,B,K,M,2;H,I,J,F,O,2;A,N,O,B,P,1;G,H,I,K,O,1;J,A,O,F,N,3;A,B,C,E,F,1;B,F,M,G,H,2;J,K,L,B,M,1;F,G,J,I,H,3;K,L,D,M,N,2;I,F,P,J,L,2;B,C,E,J,D,3;P,A,C,F,B,3;L,M,N,D,J,3;N,O,P,F,A,1;E,B,F,G,L,1;O,P,D,I,A,3
C,D,G,J,E,3;H,I,P,K,F,3;N,O,P,C,F,1;M,J,N,A,B,2;B,C,D,E,J,1;A,B,D,J,C,3;L,M,A,J,D,2;F,G,J,A,H,3;I,F,P,J,K,2;P,A,B,H,C,1;K,L,C,M,J,2;J,K,A,B,L,3;B,F,G,I,M,1;E,B,G,F,L,2;A,N,B,O,F,2;D,E,B,K,H,1;O,P,I,C,A,3;G,H,I,N,K,1;F,J,M,K,A,2;J,A,O,F,N,3
