item1,item2,choice1,choice2,choice3,correct_choice (1-3)
P,A,B,D,I,1;A,N,G,O,B,2;F,J,P,L,K,3;I,F,J,O,M,1;K,L,D,A,M,3;M,J,P,A,D,2;L,M,O,D,J,3;H,I,F,L,N,1;A,B,C,E,I,1;F,G,N,H,I,2;J,K,A,L,C,2;J,A,B,P,N,3;N,O,B,H,P,3;B,F,I,A,G,3;D,E,B,M,H,1;B,C,D,E,F,1;O,P,H,A,C,2;G,H,F,I,O,2;C,D,B,L,E,3;E,B,H,F,L,2
O,P,G,D,A,3;A,B,D,C,J,2;J,A,P,N,B,2;M,J,A,B,O,1;I,F,J,A,M,1;F,G,A,J,H,3;N,O,P,G,A,1;H,I,N,J,F,3;J,K,L,M,C,1;L,M,E,O,J,3;G,H,O,I,F,2;E,B,M,G,F,3;C,D,J,E,G,2;K,L,B,M,N,2;B,F,M,H,G,3;B,C,D,J,E,1;P,A,E,B,H,2;D,E,M,B,G,2;A,N,O,G,P,1;F,J,B,K,L,2
N,O,B,P,F,2;D,E,L,B,F,2;L,M,J,D,O,1;B,C,E,F,D,3;O,P,B,A,I,2;P,A,D,F,B,3;J,A,P,B,N,3;A,B,C,F,D,1;B,F,M,I,G,3;A,N,O,B,F,1;C,D,E,B,K,1;F,G,N,J,H,3;I,F,J,K,A,1;F,J,K,B,L,1;K,L,D,M,N,2;M,J,O,A,B,2;E,B,F,L,G,1;J,K,L,A,C,1;G,H,N,J,I,3;H,I,P,L,F,3
G,H,J,N,I,3;K,L,M,A,C,1;N,O,G,P,A,2;P,A,D,I,B,3;J,K,L,M,A,1;B,F,G,M,I,1;F,G,I,H,N,2;C,D,L,E,F,2;E,B,G,F,L,2;L,M,J,E,N,1;D,E,M,H,B,3;O,P,A,I,C,1;I,F,P,K,J,3;A,N,F,O,B,2;J,A,F,P,N,3;A,B,C,D,J,1;F,J,K,M,B,1;M,J,B,P,A,3;H,I,F,K,P,1;B,C,J,F,D,3
A,B,C,J,E,1;J,K,B,A,L,3;I,F,P,J,K,2;B,F,G,I,A,1;C,D,E,F,K,1;L,M,J,C,N,1;N,O,H,P,A,2;F,G,I,H,N,2;O,P,D,A,G,2;G,H,J,A,I,3;F,J,A,M,K,3;J,A,O,B,N,3;D,E,B,F,K,1;B,C,J,F,D,3;H,I,P,F,L,2;K,L,N,B,M,3;M,J,A,B,N,1;A,N,F,O,B,2;P,A,E,B,I,2;E,B,F,H,M,1
F,J,L,K,A,2;D,E,F,K,B,3;O,P,D,H,A,3;M,J,A,N,E,1;I,F,O,L,J,3;J,K,A,B,L,3;G,H,O,I,J,2;C,D,K,E,G,2;J,A,N,E,P,1;A,N,B,F,O,3;F,G,H,J,A,1;E,B,H,L,F,3;B,F,I,J,G,3;K,L,M,D,J,1;P,A,C,B,H,2;A,B,E,C,J,2;H,I,K,F,N,2;B,C,D,K,E,1;N,O,A,H,P,3;L,M,D,J,A,2
A,N,B,G,O,3;O,P,C,A,G,2;J,A,N,O,B,1;M,J,B,P,A,3;C,D,E,G,L,1;F,J,B,K,M,2;I,F,J,A,M,1;A,B,C,I,E,1;H,I,P,F,L,2;E,B,L,H,F,3;N,O,H,B,P,3;J,K,A,L,B,2;B,F,G,A,H,1;G,H,I,K,N,1;D,E,M,G,B,3;K,L,M,J,C,1;F,G,I,H,J,2;P,A,E,H,B,3;B,C,J,D,F,2;L,M,J,O,E,1
O,P,D,H,A,3;H,I,F,L,N,1;B,F,A,G,H,2;F,J,K,M,P,1;D,E,K,B,G,2;C,D,B,J,E,3;F,G,I,H,A,2;E,B,M,G,F,3;M,J,E,O,A,3;J,K,M,L,A,2;N,O,A,H,P,3;I,F,L,J,A,2;A,B,C,E,F,1;G,H,J,O,I,3;A,N,O,B,G,1;P,A,I,B,C,2;K,L,M,J,B,1;L,M,J,C,O,1;B,C,D,J,F,1;J,A,O,F,N,3
J,K,L,A,M,1;P,A,C,H,B,3;L,M,J,A,D,1;C,D,G,E,K,2;G,H,O,F,I,3;D,E,F,B,K,2;J,A,O,N,B,2;A,N,O,B,F,1;M,J,A,E,N,1;B,F,I,J,G,3;O,P,H,A,B,2;F,G,J,H,N,2;F,J,M,K,P,2;K,L,B,N,M,3;H,I,L,F,N,2;I,F,M,A,J,3;E,B,H,F,J,2;N,O,P,G,C,1;B,C,K,E,D,3;A,B,C,F,D,1
D,E,L,B,F,2;G,H,I,N,J,1;H,I,J,P,F,3;F,G,N,I,H,3;M,J,A,O,D,1;C,D,B,E,L,2;A,N,F,B,O,3;B,C,E,D,J,2;I,F,O,J,M,2;P,A,C,B,H,2;J,K,L,A,C,1;F,J,K,P,M,1;K,L,C,M,A,2;A,B,I,D,C,3;E,B,F,H,M,1;L,M,N,J,C,2;O,P,A,G,B,1;J,A,B,N,O,2;N,O,B,G,P,3;B,F,G,I,A,1
F,J,P,K,L,2;I,F,J,A,M,1;A,N,B,G,O,3;J,K,C,L,M,2;O,P,A,G,C,1;F,G,H,I,J,1;A,B,D,I,C,3;J,A,N,O,B,1;M,J,D,A,P,2;N,O,F,A,P,3;L,M,E,J,A,2;B,C,E,F,D,3;C,D,G,K,E,3;B,F,I,G,J,2;E,B,I,M,F,3;D,E,L,B,H,2;K,L,A,M,B,2;G,H,I,A,J,1;H,I,F,O,J,1;P,A,F,D,B,3
