item1,item2,choice1,choice2,choice3,correct_choice (1-3)
G,H,F,I,A,2;K,L,M,B,A,1;L,M,C,J,O,2;H,I,P,J,F,3;J,K,L,C,M,1;P,A,C,B,H,2;M,J,A,E,N,1;I,F,K,O,J,3;E,B,F,L,G,1;D,E,M,B,H,2;F,J,A,L,K,3;B,C,K,E,D,3;A,B,E,C,F,2;C,D,K,E,G,2;N,O,G,P,C,2;B,F,G,A,I,1;F,G,J,H,N,2;J,A,F,N,O,2;O,P,A,B,G,1;A,N,O,G,B,1
L,M,J,E,O,1;B,C,J,D,F,2;A,B,D,J,C,3;F,G,H,J,I,1;H,I,F,P,K,1;F,J,M,P,K,3;A,N,B,O,G,2;P,A,B,D,H,1;E,B,J,G,F,3;J,K,L,C,A,1;B,F,H,A,G,3;D,E,K,B,F,2;K,L,C,A,M,3;G,H,F,O,I,3;C,D,E,F,J,1;O,P,H,D,A,3;N,O,A,P,G,2;M,J,B,A,P,2;I,F,O,J,M,2;J,A,N,O,B,1
M,J,D,A,O,2;A,B,C,E,J,1;N,O,B,G,P,3;O,P,I,A,D,2;L,M,O,D,J,3;J,K,B,L,M,2;P,A,D,F,B,3;H,I,F,J,O,1;J,A,B,N,O,2;D,E,B,H,K,1;K,L,J,C,M,3;E,B,M,G,F,3;I,F,L,J,O,2;B,C,J,F,D,3;C,D,J,G,E,3;G,H,F,O,I,3;F,J,K,A,M,1;F,G,A,H,J,2;B,F,G,H,A,1;A,N,O,B,P,1
D,E,K,H,B,3;L,M,J,N,E,1;H,I,O,L,F,3;K,L,J,M,D,2;I,F,K,J,A,2;M,J,P,A,E,2;A,N,O,G,B,1;C,D,E,K,F,1;E,B,H,L,F,3;J,A,O,F,N,3;F,G,A,H,J,2;B,F,A,G,I,2;J,K,M,L,B,2;G,H,I,A,J,1;B,C,E,F,D,3;N,O,B,P,G,2;A,B,J,E,C,3;F,J,K,L,P,1;P,A,B,I,C,1;O,P,A,C,G,1
G,H,I,J,A,1;N,O,A,P,G,2;A,N,B,G,O,3;E,B,F,G,J,1;J,K,B,L,A,2;M,J,E,A,P,2;L,M,A,E,J,3;B,C,J,D,E,2;J,A,P,B,N,3;D,E,B,F,L,1;K,L,M,N,B,1;H,I,P,F,J,2;P,A,F,E,B,3;F,G,H,J,N,1;C,D,K,E,F,2;A,B,J,E,C,3;B,F,I,G,M,2;I,F,A,M,J,3;O,P,G,A,D,2;F,J,K,L,B,1
A,B,F,E,C,3;D,E,M,B,F,2;A,N,O,G,B,1;H,I,F,K,O,1;L,M,J,A,D,1;J,K,M,L,C,2;B,C,E,F,D,3;G,H,A,I,K,2;J,A,B,N,O,2;E,B,F,L,I,1;I,F,P,J,K,2;F,J,L,A,K,3;M,J,B,A,O,2;K,L,A,D,M,3;C,D,K,E,B,2;P,A,C,H,B,3;F,G,J,A,H,3;N,O,B,P,H,2;B,F,M,G,I,2;O,P,D,A,I,2
O,P,G,A,D,2;E,B,M,G,F,3;L,M,J,O,D,1;B,C,F,K,D,3;G,H,K,I,A,2;M,J,E,A,P,2;N,O,C,G,P,3;F,G,I,H,A,2;D,E,B,F,K,1;A,N,B,F,O,3;J,A,P,F,N,3;P,A,B,C,H,1;J,K,B,A,L,3;H,I,K,F,N,2;I,F,A,J,M,2;B,F,G,I,M,1;K,L,M,B,A,1;F,J,P,K,M,2;A,B,I,D,C,3;C,D,F,E,J,2
C,D,K,E,F,2;J,A,P,E,N,3;F,G,H,N,I,1;B,F,J,I,G,3;L,M,J,A,C,1;B,C,J,E,D,3;O,P,A,C,G,1;G,H,A,K,I,3;I,F,P,M,J,3;M,J,O,A,E,2;H,I,K,P,F,3;K,L,M,J,D,1;A,N,F,B,O,3;J,K,B,A,L,3;D,E,H,B,M,2;A,B,C,D,J,1;F,J,K,L,A,1;N,O,H,A,P,3;P,A,F,B,D,2;E,B,M,H,F,3
A,N,B,O,P,2;L,M,A,J,C,2;H,I,K,P,F,3;A,B,C,I,E,1;C,D,G,L,E,3;E,B,F,J,I,1;B,C,F,D,J,2;D,E,B,K,H,1;J,A,F,N,O,2;G,H,I,F,O,1;F,G,J,I,H,3;N,O,B,F,P,3;B,F,M,H,G,3;K,L,M,N,B,1;J,K,L,C,A,1;I,F,J,P,L,1;M,J,O,B,A,3;F,J,P,L,K,3;O,P,C,A,G,2;P,A,D,B,H,2
B,C,F,D,E,2;I,F,M,O,J,3;K,L,N,B,M,3;P,A,B,C,H,1;G,H,A,J,I,3;B,F,H,G,J,2;F,G,H,I,A,1;A,B,C,D,F,1;J,K,L,A,B,1;E,B,I,F,L,2;H,I,L,F,O,2;O,P,D,G,A,3;N,O,P,C,G,1;A,N,F,O,B,2;J,A,N,O,B,1;M,J,N,A,B,2;L,M,J,N,D,1;F,J,K,P,L,1;C,D,L,E,F,2;D,E,H,K,B,3
H,I,N,F,K,2;A,B,C,F,E,1;I,F,A,J,K,2;B,C,D,F,K,1;B,F,I,M,G,3;F,G,N,H,J,2;F,J,K,B,M,1;D,E,L,F,B,3;M,J,E,O,A,3;P,A,D,H,B,3;J,K,M,L,C,2;A,N,P,O,B,2;O,P,A,C,H,1;E,B,J,F,I,2;J,A,E,N,P,2;L,M,C,A,J,3;N,O,P,H,B,1;K,L,C,N,M,3;C,D,J,E,B,2;G,H,O,I,J,2
