item1,item2,choice1,choice2,choice3,correct_choice (1-3)
A,B,C,D,J,1;M,J,A,D,P,1;J,K,C,M,L,3;C,D,J,E,B,2;F,G,J,H,I,2;G,H,K,I,N,2;N,O,P,H,A,1;O,P,B,H,A,3;I,F,A,L,J,3;F,J,P,K,L,2;H,I,O,F,J,2;K,L,M,D,A,1;B,C,D,F,E,1;J,A,N,O,F,1;B,F,I,G,A,2;L,M,E,N,J,3;A,N,G,O,B,2;P,A,B,F,D,1;D,E,K,B,G,2;E,B,L,F,I,2
A,N,B,O,F,2;L,M,A,E,J,3;B,C,D,J,E,1;G,H,O,J,I,3;E,B,J,G,F,3;N,O,P,C,H,1;B,F,M,G,H,2;K,L,M,N,B,1;I,F,P,L,J,3;D,E,F,B,L,2;O,P,B,A,I,2;A,B,F,D,C,3;J,A,E,N,O,2;H,I,F,O,L,1;P,A,C,I,B,3;F,J,M,K,A,2;F,G,H,A,J,1;J,K,L,M,A,1;C,D,L,E,F,2;M,J,A,E,P,1
N,O,B,P,F,2;G,H,K,A,I,3;J,A,N,E,O,1;B,F,M,G,H,2;J,K,L,M,B,1;C,D,L,E,B,2;I,F,O,J,M,2;D,E,M,B,G,2;M,J,O,D,A,3;B,C,E,F,D,3;P,A,F,E,B,3;O,P,A,C,H,1;F,G,I,H,A,2;A,N,O,P,G,1;K,L,N,B,M,3;L,M,J,O,E,1;F,J,K,L,P,1;A,B,E,C,F,2;E,B,F,I,J,1;H,I,F,L,O,1
P,A,B,D,H,1;A,B,F,D,C,3;L,M,D,J,O,2;N,O,P,F,C,1;O,P,A,C,H,1;D,E,F,L,B,3;C,D,L,E,G,2;B,F,A,G,I,2;I,F,J,L,O,1;K,L,J,D,M,3;E,B,M,F,H,2;J,A,P,E,N,3;M,J,A,E,N,1;F,J,M,P,K,3;B,C,D,E,J,1;F,G,I,H,N,2;J,K,M,L,C,2;G,H,N,I,K,2;A,N,P,F,O,3;H,I,K,P,F,3
B,F,J,G,H,2;G,H,J,O,I,3;H,I,F,P,K,1;J,A,N,B,P,1;J,K,L,A,C,1;D,E,H,B,M,2;L,M,J,A,C,1;O,P,A,I,D,1;M,J,E,N,A,3;A,N,F,O,P,2;A,B,F,C,D,2;C,D,G,K,E,3;F,J,B,K,L,2;B,C,D,J,E,1;F,G,I,N,H,3;E,B,F,J,G,1;K,L,A,M,B,2;I,F,A,J,K,2;N,O,C,H,P,3;P,A,F,C,B,3
E,B,H,L,F,3;P,A,B,D,F,1;B,F,M,G,H,2;A,B,F,E,C,3;F,G,N,I,H,3;A,N,G,O,B,2;B,C,D,J,F,1;O,P,H,A,D,2;K,L,M,A,C,1;D,E,B,L,H,1;L,M,N,J,E,2;N,O,P,G,B,1;I,F,A,K,J,3;J,A,P,N,F,2;M,J,A,D,O,1;H,I,P,F,J,2;C,D,L,G,E,3;F,J,B,M,K,3;G,H,I,J,O,1;J,K,L,C,M,1
E,B,L,H,F,3;G,H,I,A,K,1;J,A,N,O,B,1;L,M,O,J,D,2;P,A,B,H,E,1;B,F,A,I,G,3;F,G,N,I,H,3;I,F,M,J,O,2;K,L,M,D,A,1;H,I,N,F,L,2;A,N,O,F,B,1;N,O,P,G,A,1;F,J,L,B,K,3;B,C,F,J,D,3;C,D,B,E,L,2;J,K,C,L,M,2;D,E,B,G,K,1;O,P,D,A,G,2;A,B,J,C,E,2;M,J,A,P,D,1
N,O,G,C,P,3;B,F,J,G,H,2;L,M,E,O,J,3;H,I,F,J,P,1;O,P,I,B,A,3;K,L,A,M,D,2;J,K,L,B,A,1;A,N,O,B,G,1;I,F,L,O,J,3;D,E,L,B,G,2;E,B,F,I,L,1;P,A,B,E,H,1;C,D,F,E,J,2;B,C,F,D,K,2;F,G,A,J,H,3;A,B,E,J,C,3;J,A,E,N,P,2;M,J,N,A,B,2;F,J,K,M,P,1;G,H,A,K,I,3
A,N,G,B,O,3;A,B,C,E,F,1;B,F,H,G,J,2;O,P,D,H,A,3;B,C,D,E,J,1;H,I,F,K,N,1;J,K,L,B,A,1;L,M,O,J,C,2;F,G,H,A,J,1;M,J,A,D,O,1;F,J,A,K,M,2;P,A,F,E,B,3;N,O,F,A,P,3;G,H,N,I,K,2;J,A,B,O,N,3;E,B,J,F,G,2;C,D,E,J,F,1;I,F,J,P,K,1;D,E,M,B,G,2;K,L,D,N,M,3
E,B,I,L,F,3;N,O,P,A,G,1;B,F,G,I,J,1;M,J,D,A,N,2;D,E,K,B,G,2;I,F,L,A,J,3;J,K,L,B,A,1;K,L,N,D,M,3;C,D,J,E,F,2;O,P,A,H,D,1;P,A,I,D,B,3;F,J,B,L,K,3;A,B,F,C,D,2;B,C,D,F,K,1;G,H,N,F,I,3;J,A,O,N,E,2;A,N,B,F,O,3;H,I,N,J,F,3;F,G,J,H,N,2;L,M,J,N,D,1
J,K,L,C,A,1;F,J,B,L,K,3;P,A,H,B,D,2;B,F,G,M,H,1;O,P,B,I,A,3;L,M,E,O,J,3;H,I,P,F,L,2;G,H,I,J,N,1;J,A,N,O,F,1;K,L,M,C,J,1;B,C,F,D,K,2;D,E,G,B,M,2;C,D,K,G,E,3;A,N,B,P,O,3;F,G,H,N,J,1;I,F,M,J,O,2;E,B,M,F,I,2;M,J,A,O,B,1;A,B,F,E,C,3;N,O,P,A,F,1
