item1,item2,choice1,choice2,choice3,correct_choice (1-3)
P,A,B,F,D,1;E,B,I,L,F,3;O,P,G,C,A,3;D,E,G,B,K,2;N,O,H,P,C,2;B,F,G,I,J,1;M,J,B,A,O,2;F,G,J,A,H,3;A,N,B,O,P,2;J,A,O,E,N,3;J,K,M,L,A,2;H,I,F,J,P,1;B,C,E,D,J,2;L,M,E,J,N,2;K,L,B,M,J,2;G,H,I,F,O,1;C,D,J,E,G,2;F,J,K,L,A,1;I,F,O,M,J,3;A,B,E,F,C,3
K,L,C,J,M,3;J,A,B,N,O,2;F,J,M,K,A,2;I,F,O,J,K,2;G,H,I,O,K,1;N,O,C,P,F,2;B,C,D,K,F,1;E,B,F,M,G,1;C,D,E,L,F,1;D,E,L,G,B,3;H,I,O,L,F,3;A,B,J,D,C,3;L,M,J,D,O,1;J,K,A,C,L,3;F,G,H,I,J,1;P,A,F,B,E,2;M,J,D,A,O,2;B,F,M,H,G,3;A,N,O,B,F,1;O,P,I,A,D,2
P,A,B,H,D,1;F,G,H,A,J,1;N,O,P,A,F,1;E,B,L,F,H,2;G,H,A,I,K,2;A,B,I,E,C,3;O,P,A,H,C,1;L,M,D,J,N,2;B,C,D,K,E,1;K,L,B,J,M,3;C,D,E,J,F,1;J,A,E,N,O,2;F,J,P,M,K,3;M,J,E,A,P,2;A,N,P,G,O,3;I,F,A,M,J,3;B,F,G,H,J,1;H,I,O,L,F,3;D,E,G,M,B,3;J,K,C,A,L,3
J,K,C,L,M,2;B,C,D,K,E,1;N,O,G,P,C,2;L,M,J,D,N,1;F,J,A,M,K,3;G,H,J,I,O,2;H,I,O,F,J,2;F,G,I,A,H,3;J,A,O,B,N,3;P,A,B,F,C,1;D,E,B,K,F,1;M,J,B,N,A,3;I,F,A,L,J,3;A,N,O,P,B,1;A,B,D,J,C,3;O,P,A,G,C,1;K,L,C,M,A,2;C,D,F,E,L,2;B,F,J,I,G,3;E,B,L,G,F,3
K,L,C,J,M,3;A,N,P,O,B,2;B,C,D,F,J,1;E,B,F,M,H,1;F,J,K,M,A,1;L,M,C,N,J,3;B,F,M,G,I,2;M,J,D,O,A,3;F,G,I,H,A,2;N,O,P,B,G,1;G,H,I,N,J,1;H,I,N,F,J,2;I,F,J,K,O,1;D,E,B,G,K,1;A,B,D,F,C,3;C,D,J,E,G,2;J,A,O,N,F,2;J,K,C,A,L,3;P,A,H,B,E,2;O,P,B,H,A,3
M,J,O,D,A,3;O,P,B,A,G,2;J,K,L,A,B,1;N,O,P,A,F,1;D,E,B,K,H,1;C,D,L,E,B,2;A,N,P,O,F,2;E,B,H,L,F,3;F,G,N,H,J,2;F,J,M,P,K,3;H,I,N,K,F,3;B,F,J,G,H,2;I,F,J,O,M,1;A,B,C,E,J,1;L,M,A,J,C,2;B,C,F,K,D,3;G,H,A,I,K,2;P,A,B,C,F,1;K,L,M,D,N,1;J,A,N,F,P,1
L,M,D,O,J,3;F,G,A,H,I,2;B,C,D,J,E,1;M,J,N,E,A,3;O,P,C,A,I,2;A,N,O,B,G,1;K,L,A,D,M,3;D,E,F,L,B,3;A,B,D,C,I,2;E,B,J,I,F,3;C,D,E,G,J,1;J,A,P,N,E,2;I,F,O,M,J,3;B,F,G,H,M,1;J,K,A,L,B,2;P,A,B,H,D,1;F,J,K,M,P,1;G,H,I,O,F,1;H,I,J,F,N,2;N,O,H,A,P,3
M,J,A,D,N,1;O,P,G,B,A,3;P,A,F,B,D,2;L,M,A,D,J,3;I,F,P,J,L,2;C,D,E,F,K,1;H,I,J,F,P,2;A,N,O,F,B,1;E,B,H,L,F,3;F,G,N,H,I,2;K,L,M,N,D,1;B,C,F,D,K,2;F,J,L,K,P,2;J,K,A,B,L,3;N,O,C,P,G,2;B,F,G,H,J,1;G,H,J,O,I,3;J,A,P,N,F,2;D,E,H,L,B,3;A,B,D,J,C,3
C,D,E,G,L,1;G,H,N,I,K,2;I,F,L,O,J,3;E,B,F,H,J,1;M,J,D,A,O,2;J,K,C,A,L,3;F,J,M,A,K,3;K,L,M,N,C,1;B,F,A,G,I,2;P,A,H,B,E,2;A,B,J,C,D,2;O,P,I,C,A,3;J,A,O,E,N,3;D,E,G,M,B,3;A,N,B,O,P,2;F,G,I,A,H,3;N,O,C,P,G,2;L,M,N,J,C,2;H,I,K,F,O,2;B,C,E,K,D,3
P,A,B,E,F,1;F,J,L,B,K,3;O,P,C,H,A,3;B,C,D,E,J,1;F,G,I,N,H,3;B,F,M,I,G,3;J,A,P,N,B,2;L,M,J,A,E,1;H,I,L,F,N,2;A,N,P,F,O,3;J,K,L,B,M,1;A,B,D,C,J,2;G,H,O,I,F,2;D,E,B,H,K,1;E,B,J,I,F,3;M,J,E,A,N,2;N,O,P,F,A,1;K,L,D,J,M,3;C,D,E,G,J,1;I,F,J,K,O,1
K,L,N,M,C,2;A,N,O,F,B,1;G,H,I,N,K,1;N,O,C,P,G,2;L,M,C,A,J,3;E,B,L,H,F,3;J,K,A,L,C,2;D,E,B,M,G,1;F,J,A,L,K,3;J,A,E,N,O,2;M,J,A,O,D,1;B,F,M,I,G,3;I,F,J,P,K,1;F,G,I,H,J,2;P,A,D,B,H,2;A,B,J,C,D,2;C,D,F,K,E,3;O,P,A,D,G,1;B,C,K,E,D,3;H,I,K,N,F,3
