item1,item2,choice1,choice2,choice3,correct_choice (1-3)
F,J,K,L,B,1;J,A,N,O,E,1;E,B,J,I,F,3;L,M,D,N,J,3;I,F,L,J,P,2;G,H,O,K,I,3;B,F,J,G,H,2;F,G,A,H,J,2;J,K,C,L,M,2;D,E,B,M,F,1;H,I,O,F,L,2;K,L,M,B,N,1;P,A,I,D,B,3;B,C,J,E,D,3;A,B,J,D,C,3;A,N,F,O,B,2;C,D,B,E,K,2;N,O,P,F,B,1;M,J,B,A,P,2;O,P,D,A,H,2
L,M,C,J,O,2;A,B,C,D,I,1;N,O,G,C,P,3;B,C,D,J,F,1;G,H,O,I,K,2;F,G,N,I,H,3;E,B,F,M,G,1;B,F,H,A,G,3;D,E,F,B,L,2;I,F,A,M,J,3;J,A,B,O,N,3;O,P,G,A,B,2;C,D,J,E,G,2;M,J,P,D,A,3;A,N,B,O,F,2;K,L,D,N,M,3;H,I,L,F,P,2;P,A,B,D,I,1;J,K,B,L,M,2;F,J,K,A,M,1
A,N,O,P,B,1;H,I,F,O,J,1;I,F,A,J,K,2;J,K,L,B,M,1;L,M,E,A,J,3;J,A,P,E,N,3;P,A,H,C,B,3;N,O,B,P,G,2;B,F,J,G,I,2;G,H,F,I,A,2;E,B,F,I,M,1;M,J,A,O,E,1;O,P,A,H,C,1;K,L,J,B,M,3;C,D,E,B,J,1;F,J,L,K,B,2;B,C,F,E,D,3;D,E,B,H,L,1;A,B,I,C,D,2;F,G,H,J,A,1
I,F,P,J,L,2;G,H,O,K,I,3;J,A,B,N,O,2;H,I,L,F,P,2;C,D,E,K,G,1;B,F,I,M,G,3;N,O,C,G,P,3;M,J,O,A,B,2;D,E,H,M,B,3;F,J,K,M,P,1;A,B,E,C,I,2;A,N,O,B,G,1;F,G,H,N,I,1;B,C,D,K,F,1;E,B,H,L,F,3;O,P,D,A,I,2;J,K,A,B,L,3;P,A,H,B,E,2;L,M,D,O,J,3;K,L,M,N,C,1
N,O,C,H,P,3;E,B,F,G,L,1;O,P,I,B,A,3;P,A,D,B,F,2;L,M,J,O,D,1;A,B,D,C,F,2;K,L,B,M,J,2;C,D,G,E,J,2;G,H,I,K,O,1;F,J,M,A,K,3;I,F,J,O,M,1;M,J,A,D,N,1;J,K,A,C,L,3;J,A,P,E,N,3;D,E,H,B,L,2;B,F,G,A,I,1;A,N,F,O,B,2;B,C,F,E,D,3;F,G,A,H,I,2;H,I,L,N,F,3
C,D,L,G,E,3;P,A,I,B,D,2;B,F,I,G,M,2;I,F,J,K,O,1;L,M,O,E,J,3;A,B,C,E,I,1;H,I,K,F,N,2;F,J,L,B,K,3;F,G,N,I,H,3;M,J,O,B,A,3;K,L,J,M,C,2;D,E,B,F,M,1;O,P,A,D,H,1;G,H,I,J,N,1;E,B,L,I,F,3;J,A,N,E,O,1;B,C,J,D,E,2;J,K,L,A,C,1;N,O,C,P,F,2;A,N,O,B,P,1
F,J,L,K,B,2;L,M,J,C,O,1;H,I,J,O,F,3;I,F,K,O,J,3;C,D,F,E,L,2;E,B,I,F,L,2;B,F,H,G,A,2;F,G,H,J,N,1;D,E,B,M,H,1;P,A,E,H,B,3;O,P,C,A,H,2;J,A,O,N,F,2;A,B,D,F,C,3;J,K,L,A,C,1;K,L,J,D,M,3;A,N,P,G,O,3;B,C,D,F,J,1;G,H,K,N,I,3;M,J,P,A,D,2;N,O,F,A,P,3
P,A,I,E,B,3;E,B,J,H,F,3;A,B,C,D,J,1;B,C,F,D,E,2;O,P,H,B,A,3;G,H,K,O,I,3;A,N,B,O,G,2;B,F,G,I,J,1;N,O,P,C,G,1;L,M,D,O,J,3;F,G,H,I,A,1;F,J,B,K,M,2;J,A,P,N,E,2;M,J,D,O,A,3;D,E,G,B,K,2;C,D,E,L,G,1;J,K,L,B,A,1;I,F,L,J,O,2;K,L,B,N,M,3;H,I,F,O,J,1
N,O,B,P,G,2;P,A,B,I,C,1;B,C,K,F,D,3;A,N,F,O,P,2;O,P,A,D,G,1;A,B,I,D,C,3;D,E,B,K,F,1;F,J,L,B,K,3;M,J,D,N,A,3;F,G,H,J,I,1;C,D,B,E,K,2;J,K,B,L,A,2;J,A,O,N,F,2;I,F,P,K,J,3;L,M,J,O,E,1;B,F,G,M,H,1;H,I,O,L,F,3;E,B,M,F,H,2;G,H,I,K,N,1;K,L,C,M,J,2
F,J,K,A,M,1;D,E,B,F,L,1;I,F,P,J,K,2;J,A,B,O,N,3;B,F,H,A,G,3;P,A,E,B,F,2;L,M,E,J,O,2;A,N,G,O,P,2;C,D,G,J,E,3;B,C,F,D,J,2;O,P,D,A,G,2;F,G,I,H,N,2;E,B,I,J,F,3;J,K,L,C,M,1;M,J,P,B,A,3;N,O,P,G,A,1;K,L,M,N,B,1;G,H,O,F,I,3;H,I,K,O,F,3;A,B,C,E,F,1
M,J,O,B,A,3;I,F,K,J,A,2;K,L,M,A,C,1;A,N,G,P,O,3;P,A,B,H,E,1;N,O,G,B,P,3;E,B,J,H,F,3;F,G,I,H,J,2;A,B,I,C,D,2;G,H,I,F,A,1;D,E,L,H,B,3;C,D,E,G,K,1;J,K,C,A,L,3;O,P,A,C,I,1;H,I,O,L,F,3;L,M,D,J,O,2;J,A,N,O,F,1;B,F,H,G,A,2;F,J,B,L,K,3;B,C,F,K,D,3
