item1,item2,choice1,choice2,choice3,correct_choice (1-3)
H,I,B,C,A,1;E,H,D,I,J,2;B,J,G,D,A,3;J,A,C,B,G,2;I,B,C,F,J,3;A,B,F,E,C,3;C,D,E,B,F,1;E,F,G,A,I,1;F,G,A,E,H,2;D,E,H,I,F,3;B,C,G,I,D,3;G,E,A,H,I,2
B,J,C,A,E,2;C,D,G,H,E,3;E,F,I,G,B,2;H,I,B,C,J,1;F,G,B,E,J,2;A,B,E,G,C,3;E,H,I,B,A,1;D,E,J,F,H,2;I,B,A,E,J,3;B,C,E,D,I,2;G,E,I,B,H,3;J,A,B,E,F,1
C,D,E,G,H,1;B,J,E,A,D,2;J,A,B,G,E,1;G,E,B,C,H,3;E,F,G,H,A,1;B,C,E,D,G,2;H,I,D,J,B,3;I,B,F,J,A,2;F,G,H,B,E,3;D,E,H,B,F,3;E,H,B,I,A,2;A,B,C,E,G,1
B,C,E,D,H,2;D,E,G,I,F,3;J,A,E,B,G,2;C,D,E,B,F,1;F,G,E,A,B,1;H,I,J,D,B,3;B,J,C,E,A,3;A,B,C,G,D,1;I,B,J,A,F,1;E,H,B,I,C,2;E,F,B,G,H,2;G,E,C,H,I,2
E,H,I,J,C,1;H,I,D,B,J,2;J,A,B,E,F,1;B,C,H,G,D,3;D,E,B,F,H,2;G,E,B,C,H,3;B,J,D,A,F,2;C,D,H,E,G,2;I,B,A,D,J,3;A,B,C,E,G,1;E,F,J,G,H,2;F,G,B,I,E,3
E,H,I,D,J,1;C,D,G,B,E,3;B,J,A,G,C,1;B,C,H,E,D,3;H,I,A,B,D,2;F,G,J,I,E,3;E,F,G,I,A,1;D,E,F,G,J,1;I,B,A,J,F,2;A,B,G,D,C,3;G,E,H,I,B,1;J,A,B,D,G,1
E,H,J,C,I,3;B,J,E,D,A,3;I,B,J,E,A,1;C,D,I,G,E,3;A,B,F,C,E,2;B,C,G,I,D,3;F,G,H,E,B,2;D,E,F,G,B,1;G,E,A,H,J,2;H,I,E,A,B,3;J,A,E,F,B,3;E,F,I,G,B,2
B,C,F,I,D,3;H,I,A,B,E,2;J,A,B,E,G,1;A,B,C,D,H,1;E,H,I,D,J,1;F,G,B,E,J,2;B,J,D,G,A,3;C,D,F,E,I,2;E,F,G,B,I,1;G,E,I,C,H,3;D,E,J,H,F,3;I,B,J,F,C,1
I,B,A,F,J,3;D,E,G,J,F,3;F,G,A,E,B,2;G,E,I,H,B,2;H,I,B,E,A,1;E,F,I,G,A,2;E,H,I,A,D,1;A,B,E,H,C,3;B,C,E,D,G,2;B,J,A,C,E,1;C,D,E,G,I,1;J,A,E,G,B,3
I,B,F,J,A,2;B,J,D,E,A,3;A,B,C,G,D,1;J,A,C,G,B,3;G,E,H,B,J,1;C,D,H,E,F,2;D,E,B,H,F,3;H,I,D,J,B,3;B,C,E,D,I,2;E,H,I,B,D,1;F,G,A,E,I,2;E,F,G,I,J,1
B,J,A,D,G,1;J,A,C,B,G,2;C,D,H,E,G,2;A,B,E,G,C,3;D,E,H,F,B,2;I,B,E,J,C,2;G,E,H,A,J,1;B,C,F,H,D,3;E,F,B,G,I,2;H,I,B,A,D,1;E,H,A,I,C,2;F,G,I,E,A,2
H,I,B,D,A,1;A,B,E,C,D,2;B,J,E,D,A,3;F,G,B,A,E,3;C,D,G,E,B,2;J,A,B,C,G,1;E,H,I,B,J,1;G,E,A,H,B,2;E,F,B,H,G,3;B,C,D,E,I,1;D,E,G,F,I,2;I,B,F,J,C,2
A,B,G,E,C,3;F,G,B,I,E,3;C,D,G,E,B,2;B,C,F,D,E,2;G,E,H,J,A,1;B,J,D,F,A,3;J,A,D,B,F,2;H,I,A,B,D,2;E,H,A,D,I,3;I,B,C,J,F,2;D,E,F,G,J,1;E,F,G,A,H,1
A,B,D,H,C,3;H,I,B,D,A,1;J,A,G,B,C,2;I,B,J,E,A,1;B,C,E,G,D,3;E,F,I,G,J,2;C,D,E,I,G,1;B,J,G,A,D,2;F,G,B,E,J,2;E,H,A,C,I,3;D,E,F,I,G,1;G,E,A,H,J,2
D,E,B,H,F,3;J,A,B,D,F,1;I,B,F,J,A,2;B,J,G,C,A,3;G,E,I,H,A,2;E,H,C,B,I,3;E,F,H,G,B,2;A,B,C,F,E,1;F,G,H,J,E,3;B,C,D,F,H,1;H,I,B,J,E,1;C,D,I,E,G,2
