item1,item2,choice1,choice2,choice3,correct_choice (1-3)
D,E,H,F,B,2;C,D,H,G,E,3;I,B,A,J,F,2;G,E,H,B,J,1;F,G,E,B,I,1;H,I,E,B,J,2;E,H,D,B,I,3;B,C,E,H,D,3;E,F,G,H,B,1;J,A,E,G,B,3;A,B,G,F,C,3;B,J,C,A,E,2
A,B,C,D,G,1;D,E,H,J,F,3;E,H,B,I,A,2;H,I,D,J,B,3;I,B,C,J,D,2;B,J,G,A,C,2;E,F,H,A,G,3;J,A,C,B,E,2;C,D,E,G,H,1;F,G,A,E,I,2;G,E,B,A,H,3;B,C,H,D,G,2
A,B,D,C,H,2;D,E,F,G,J,1;B,J,E,C,A,3;F,G,E,B,J,1;C,D,F,I,E,3;E,H,I,J,C,1;H,I,A,B,C,2;B,C,G,E,D,3;J,A,C,F,B,3;I,B,D,C,J,3;G,E,A,H,B,2;E,F,G,H,B,1
F,G,I,E,A,2;I,B,C,J,E,2;B,J,A,F,D,1;B,C,H,G,D,3;E,F,H,J,G,3;J,A,D,F,B,3;H,I,B,A,E,1;G,E,I,H,A,2;E,H,I,C,B,1;A,B,H,D,C,3;D,E,I,H,F,3;C,D,E,H,G,1
D,E,F,G,J,1;G,E,H,J,B,1;I,B,D,C,J,3;J,A,E,B,F,2;B,C,H,F,D,3;E,H,I,B,D,1;F,G,J,E,I,2;C,D,H,E,F,2;B,J,D,G,A,3;H,I,A,B,D,2;E,F,H,A,G,3;A,B,H,F,C,3
E,H,I,B,C,1;A,B,E,D,C,3;H,I,J,B,E,2;C,D,E,H,F,1;D,E,B,H,F,3;I,B,J,D,C,1;F,G,J,I,E,3;G,E,H,I,A,1;B,J,D,G,A,3;J,A,F,C,B,3;B,C,I,D,F,2;E,F,G,I,J,1
E,F,A,I,G,3;I,B,J,A,E,1;D,E,G,F,B,2;H,I,B,J,D,1;F,G,B,E,I,2;B,C,D,E,F,1;G,E,C,H,I,2;A,B,D,H,C,3;E,H,J,I,C,2;B,J,A,F,C,1;J,A,E,G,B,3;C,D,F,H,E,3
E,F,A,H,G,3;F,G,H,E,J,2;B,C,D,I,E,1;B,J,A,D,E,1;E,H,C,B,I,3;H,I,J,B,E,2;I,B,A,E,J,3;A,B,D,E,C,3;D,E,G,F,B,2;J,A,G,E,B,3;C,D,E,G,B,1;G,E,C,H,B,2
I,B,C,J,F,2;B,C,D,H,G,1;E,F,A,G,I,2;J,A,E,F,B,3;F,G,E,J,I,1;D,E,H,B,F,3;C,D,E,H,F,1;E,H,J,I,D,2;G,E,A,I,H,3;A,B,E,C,D,2;H,I,J,B,C,2;B,J,D,A,F,2
H,I,J,B,E,2;B,C,G,I,D,3;C,D,E,H,F,1;B,J,G,C,A,3;A,B,C,E,D,1;E,F,J,G,I,2;J,A,C,F,B,3;G,E,C,H,B,2;D,E,F,J,H,1;F,G,B,E,H,2;I,B,J,E,A,1;E,H,A,I,C,2
E,H,I,C,J,1;C,D,E,H,F,1;E,F,J,I,G,3;B,J,E,A,C,2;A,B,E,C,H,2;J,A,D,E,B,3;B,C,H,G,D,3;G,E,C,H,J,2;I,B,A,F,J,3;D,E,F,H,J,1;F,G,J,B,E,3;H,I,B,C,A,1
B,J,D,F,A,3;D,E,F,H,I,1;C,D,I,F,E,3;J,A,E,B,G,2;F,G,A,H,E,3;B,C,E,H,D,3;E,F,H,G,J,2;A,B,E,D,C,3;I,B,C,J,D,2;E,H,I,A,D,1;H,I,B,J,D,1;G,E,A,B,H,3
G,E,J,B,H,3;E,H,B,I,C,2;B,J,A,F,D,1;I,B,F,J,A,2;H,I,A,D,B,3;J,A,F,D,B,3;C,D,E,F,H,1;E,F,B,G,H,2;B,C,D,I,E,1;A,B,C,E,H,1;F,G,A,B,E,3;D,E,J,G,F,3
D,E,H,I,F,3;E,F,I,G,A,2;F,G,I,A,E,3;C,D,E,B,G,1;H,I,B,A,C,1;A,B,D,H,C,3;B,C,F,D,H,2;E,H,I,B,C,1;J,A,E,B,C,2;G,E,A,B,H,3;B,J,D,A,G,2;I,B,E,J,C,2
E,H,C,A,I,3;D,E,H,F,B,2;C,D,E,B,F,1;E,F,G,I,B,1;I,B,A,F,J,3;B,C,E,F,D,3;H,I,B,J,E,1;J,A,E,B,F,2;F,G,I,E,A,2;B,J,F,C,A,3;A,B,E,C,H,2;G,E,J,H,B,2
