item1,item2,choice1,choice2,choice3,correct_choice (1-3)
E,H,J,D,I,3;E,F,J,G,H,2;D,E,G,F,I,2;J,A,E,F,B,3;C,D,E,G,H,1;I,B,F,J,C,2;A,B,C,D,G,1;B,J,A,D,F,1;H,I,A,C,B,3;F,G,E,A,B,1;B,C,H,G,D,3;G,E,I,H,C,2
G,E,H,B,C,1;F,G,A,E,I,2;A,B,G,D,C,3;H,I,C,B,A,2;B,J,C,E,A,3;I,B,J,D,C,1;D,E,J,F,G,2;E,H,B,I,C,2;E,F,G,B,I,1;J,A,B,C,F,1;B,C,I,D,E,2;C,D,F,B,E,3
I,B,E,C,J,3;E,H,C,I,J,2;J,A,D,B,E,2;B,C,E,I,D,3;G,E,H,B,I,1;A,B,C,G,F,1;E,F,H,B,G,3;D,E,G,F,J,2;H,I,D,B,J,2;F,G,B,E,J,2;B,J,A,G,C,1;C,D,E,B,G,1
B,J,A,C,F,1;C,D,E,B,F,1;H,I,C,J,B,3;J,A,E,D,B,3;F,G,H,E,J,2;E,F,B,G,I,2;A,B,C,E,H,1;I,B,A,F,J,3;D,E,F,J,G,1;G,E,A,B,H,3;E,H,I,B,D,1;B,C,E,D,F,2
G,E,B,I,H,3;I,B,J,C,F,1;E,F,I,G,B,2;E,H,C,J,I,3;F,G,I,J,E,3;B,J,F,C,A,3;J,A,B,D,E,1;H,I,C,B,A,2;C,D,I,E,F,2;A,B,C,F,G,1;B,C,E,D,I,2;D,E,G,B,F,3
J,A,D,B,E,2;H,I,E,A,B,3;I,B,J,C,D,1;B,J,D,A,E,2;B,C,I,D,F,2;A,B,E,F,C,3;D,E,G,B,F,3;G,E,H,B,J,1;F,G,H,E,J,2;E,H,I,D,J,1;E,F,G,H,B,1;C,D,B,F,E,3
B,C,D,E,H,1;C,D,F,E,B,2;J,A,G,B,E,2;I,B,C,D,J,3;E,F,B,G,H,2;A,B,C,D,E,1;G,E,B,J,H,3;D,E,F,I,H,1;F,G,A,E,I,2;B,J,E,D,A,3;H,I,A,B,D,2;E,H,I,B,C,1
J,A,B,D,F,1;D,E,I,F,H,2;E,H,D,B,I,3;C,D,F,E,H,2;E,F,B,I,G,3;F,G,E,B,J,1;G,E,H,J,C,1;B,C,I,D,E,2;A,B,G,D,C,3;I,B,C,J,D,2;H,I,J,D,B,3;B,J,F,D,A,3
A,B,C,G,F,1;J,A,C,B,G,2;D,E,B,F,G,2;G,E,I,B,H,3;E,F,H,B,G,3;F,G,A,E,B,2;B,C,D,F,I,1;B,J,A,G,C,1;H,I,E,J,B,3;C,D,I,E,F,2;E,H,C,I,J,2;I,B,J,F,C,1
E,F,A,H,G,3;B,J,A,C,G,1;J,A,F,B,D,2;G,E,I,A,H,3;B,C,F,D,H,2;F,G,H,E,B,2;E,H,I,B,C,1;C,D,F,I,E,3;D,E,B,G,F,3;H,I,B,E,J,1;A,B,E,C,G,2;I,B,J,E,C,1
I,B,C,F,J,3;D,E,H,F,J,2;C,D,E,G,H,1;A,B,C,E,D,1;B,J,E,A,C,2;H,I,J,D,B,3;J,A,B,F,D,1;E,H,C,B,I,3;B,C,I,E,D,3;G,E,H,J,A,1;F,G,A,I,E,3;E,F,G,H,A,1
F,G,B,J,E,3;B,J,D,A,E,2;A,B,D,C,E,2;C,D,E,B,G,1;D,E,I,G,F,3;B,C,F,D,I,2;J,A,B,E,F,1;H,I,J,B,E,2;E,H,I,B,A,1;E,F,A,I,G,3;G,E,H,I,B,1;I,B,F,A,J,3
B,C,H,F,D,3;E,H,I,A,B,1;G,E,H,J,C,1;F,G,B,I,E,3;C,D,I,E,G,2;J,A,E,B,F,2;I,B,C,D,J,3;H,I,E,B,A,2;E,F,G,H,J,1;D,E,J,G,F,3;A,B,H,D,C,3;B,J,G,D,A,3
G,E,H,I,C,1;D,E,F,G,J,1;H,I,E,J,B,3;I,B,E,J,C,2;J,A,F,E,B,3;B,C,H,E,D,3;B,J,F,D,A,3;F,G,I,E,B,2;E,H,B,I,C,2;E,F,J,I,G,3;C,D,B,G,E,3;A,B,H,E,C,3
D,E,G,F,B,2;C,D,E,H,F,1;H,I,C,B,A,2;F,G,H,B,E,3;B,C,E,H,D,3;E,F,G,J,I,1;I,B,E,A,J,3;A,B,D,C,G,2;J,A,E,B,F,2;E,H,I,J,C,1;G,E,B,H,A,2;B,J,A,G,D,1
