item1,item2,choice1,choice2,choice3,correct_choice (1-3)
E,F,I,A,G,3;I,B,A,D,J,3;B,J,A,C,F,1;A,B,F,C,G,2;B,C,D,F,E,1;E,H,J,C,I,3;J,A,F,B,C,2;F,G,E,B,A,1;H,I,E,B,J,2;D,E,I,F,H,2;G,E,H,B,C,1;C,D,F,E,B,2
A,B,E,C,G,2;J,A,B,D,G,1;B,C,H,D,F,2;I,B,J,D,A,1;C,D,F,H,E,3;H,I,J,E,B,3;D,E,H,J,F,3;E,H,B,I,D,2;G,E,H,I,C,1;B,J,A,C,F,1;E,F,B,I,G,3;F,G,E,A,H,1
B,J,A,G,C,1;E,H,B,J,I,3;B,C,I,D,G,2;C,D,E,I,F,1;D,E,H,B,F,3;J,A,F,D,B,3;E,F,B,I,G,3;G,E,H,J,C,1;A,B,H,C,F,2;I,B,A,J,E,2;H,I,E,A,B,3;F,G,A,B,E,3
E,H,C,A,I,3;E,F,G,I,J,1;A,B,E,C,H,2;J,A,C,G,B,3;B,C,H,D,F,2;H,I,B,J,D,1;C,D,F,H,E,3;I,B,A,J,D,2;F,G,B,E,J,2;D,E,J,F,H,2;G,E,H,B,I,1;B,J,D,G,A,3
J,A,B,G,D,1;F,G,E,A,B,1;B,C,H,F,D,3;B,J,A,C,E,1;A,B,H,C,D,2;C,D,I,E,G,2;G,E,H,C,B,1;E,H,B,C,I,3;D,E,F,H,J,1;E,F,J,I,G,3;I,B,A,J,E,2;H,I,E,B,J,2
J,A,C,F,B,3;A,B,D,C,E,2;C,D,E,F,I,1;G,E,B,H,C,2;E,H,B,C,I,3;I,B,A,J,D,2;B,C,G,D,H,2;E,F,I,B,G,3;D,E,F,I,G,1;B,J,A,C,F,1;H,I,J,B,D,2;F,G,B,J,E,3
B,C,D,H,F,1;G,E,A,I,H,3;E,H,I,B,C,1;I,B,F,J,C,2;H,I,B,E,A,1;D,E,B,G,F,3;C,D,G,H,E,3;A,B,E,C,H,2;F,G,H,E,B,2;J,A,B,E,F,1;E,F,I,G,J,2;B,J,G,D,A,3
B,C,D,E,H,1;I,B,D,A,J,3;G,E,A,H,J,2;F,G,E,B,A,1;A,B,H,C,E,2;D,E,B,F,G,2;J,A,B,F,C,1;B,J,D,F,A,3;E,F,G,H,A,1;H,I,B,D,J,1;E,H,C,I,J,2;C,D,I,E,F,2
I,B,J,F,C,1;G,E,C,B,H,3;E,F,B,G,I,2;H,I,J,B,E,2;B,J,D,F,A,3;B,C,D,E,F,1;C,D,B,E,F,2;F,G,J,B,E,3;A,B,E,C,G,2;J,A,D,G,B,3;D,E,F,J,G,1;E,H,I,B,C,1
I,B,F,C,J,3;D,E,F,G,I,1;H,I,C,B,J,2;E,F,H,A,G,3;J,A,C,B,G,2;A,B,E,H,C,3;E,H,A,I,D,2;G,E,H,J,A,1;C,D,E,F,H,1;F,G,B,H,E,3;B,J,A,C,E,1;B,C,G,H,D,3
D,E,H,F,B,2;C,D,G,E,I,2;B,C,D,H,F,1;E,H,J,C,I,3;A,B,E,G,C,3;H,I,J,B,D,2;J,A,D,B,F,2;G,E,H,B,A,1;F,G,E,A,B,1;E,F,H,B,G,3;I,B,J,C,E,1;B,J,F,A,D,2
E,H,D,B,I,3;E,F,H,G,B,2;G,E,H,B,A,1;B,C,H,D,F,2;H,I,B,A,C,1;I,B,J,A,F,1;F,G,A,E,B,2;J,A,B,G,C,1;B,J,G,C,A,3;C,D,H,G,E,3;A,B,C,H,E,1;D,E,I,H,F,3
E,F,B,G,H,2;C,D,E,F,B,1;E,H,I,B,A,1;B,C,I,G,D,3;H,I,D,A,B,3;J,A,E,G,B,3;G,E,B,H,C,2;B,J,A,C,F,1;F,G,H,E,J,2;A,B,G,C,F,2;I,B,F,A,J,3;D,E,H,B,F,3
C,D,I,E,F,2;G,E,H,A,J,1;E,F,B,I,G,3;B,J,F,C,A,3;J,A,E,C,B,3;H,I,B,E,A,1;B,C,D,E,H,1;E,H,A,I,B,2;D,E,F,G,J,1;I,B,J,C,D,1;F,G,B,A,E,3;A,B,H,C,F,2
B,C,H,D,G,2;J,A,F,B,E,2;F,G,B,J,E,3;E,F,I,G,A,2;D,E,F,J,G,1;A,B,D,E,C,3;C,D,G,I,E,3;H,I,B,A,E,1;E,H,D,I,J,2;G,E,I,A,H,3;I,B,A,F,J,3;B,J,A,C,E,1
