item1,item2,choice1,choice2,choice3,correct_choice (1-3)
D,E,J,H,F,3;B,J,C,A,G,2;C,D,E,B,F,1;J,A,D,B,G,2;I,B,J,F,A,1;F,G,E,B,H,1;E,F,I,A,G,3;A,B,H,D,C,3;H,I,B,A,E,1;E,H,C,I,B,2;B,C,F,E,D,3;G,E,H,J,A,1
B,J,A,E,C,1;H,I,J,B,D,2;J,A,C,G,B,3;B,C,D,I,G,1;E,H,D,I,A,2;A,B,C,G,E,1;G,E,A,H,J,2;C,D,B,G,E,3;E,F,G,B,H,1;D,E,F,J,H,1;I,B,C,J,D,2;F,G,H,J,E,3
A,B,C,H,E,1;J,A,B,D,G,1;I,B,D,C,J,3;H,I,A,B,D,2;D,E,G,F,J,2;B,C,I,D,G,2;F,G,E,J,I,1;B,J,F,C,A,3;C,D,E,B,G,1;E,F,B,H,G,3;G,E,I,H,C,2;E,H,B,I,D,2
J,A,D,B,E,2;H,I,B,D,J,1;A,B,G,E,C,3;C,D,G,B,E,3;B,C,D,E,H,1;E,H,C,I,J,2;G,E,A,H,I,2;F,G,H,A,E,3;I,B,J,C,E,1;B,J,F,D,A,3;E,F,J,G,I,2;D,E,F,H,J,1
C,D,F,B,E,3;E,F,G,I,J,1;B,J,A,E,C,1;D,E,G,F,B,2;E,H,J,C,I,3;B,C,D,F,I,1;G,E,H,J,A,1;A,B,E,C,H,2;J,A,C,B,E,2;H,I,B,D,A,1;F,G,J,E,B,2;I,B,F,A,J,3
B,J,A,C,F,1;H,I,D,J,B,3;C,D,G,E,B,2;J,A,E,B,D,2;D,E,H,B,F,3;E,H,I,J,B,1;A,B,D,E,C,3;F,G,A,E,B,2;G,E,H,J,A,1;I,B,J,D,C,1;E,F,B,G,I,2;B,C,D,H,F,1
I,B,E,J,A,2;E,F,G,B,I,1;B,J,C,A,G,2;C,D,H,G,E,3;J,A,B,D,G,1;B,C,I,G,D,3;F,G,J,E,B,2;E,H,B,I,A,2;D,E,H,B,F,3;H,I,C,A,B,3;A,B,E,G,C,3;G,E,H,I,B,1
I,B,C,J,F,2;G,E,H,I,A,1;E,H,J,C,I,3;F,G,E,I,J,1;H,I,B,A,D,1;J,A,G,C,B,3;D,E,B,F,G,2;A,B,E,H,C,3;C,D,G,E,H,2;B,C,D,G,E,1;E,F,I,A,G,3;B,J,E,C,A,3
H,I,E,B,J,2;D,E,G,J,F,3;G,E,I,A,H,3;B,C,D,I,E,1;C,D,E,G,B,1;A,B,D,C,G,2;F,G,E,J,I,1;J,A,G,D,B,3;I,B,J,F,C,1;E,H,C,B,I,3;E,F,G,J,I,1;B,J,C,F,A,3
E,H,B,I,J,2;C,D,G,H,E,3;D,E,I,H,F,3;H,I,B,J,C,1;B,J,F,A,C,2;B,C,F,E,D,3;J,A,B,C,F,1;A,B,F,C,E,2;F,G,E,B,H,1;E,F,J,I,G,3;G,E,J,H,C,2;I,B,C,E,J,3
J,A,B,E,F,1;A,B,F,C,H,2;F,G,E,A,B,1;G,E,A,B,H,3;B,C,D,E,I,1;C,D,F,E,I,2;E,H,D,I,B,2;B,J,C,F,A,3;I,B,A,D,J,3;E,F,H,B,G,3;H,I,B,A,D,1;D,E,H,B,F,3
F,G,E,H,B,1;B,C,D,G,E,1;G,E,A,J,H,3;H,I,J,B,D,2;I,B,E,A,J,3;C,D,I,E,G,2;B,J,D,E,A,3;J,A,B,D,F,1;A,B,G,C,D,2;E,F,J,G,H,2;E,H,I,A,B,1;D,E,G,F,I,2
C,D,E,F,H,1;E,H,C,B,I,3;H,I,B,J,E,1;D,E,G,F,B,2;I,B,F,C,J,3;E,F,J,H,G,3;J,A,C,B,E,2;B,J,G,D,A,3;B,C,G,D,E,2;G,E,H,C,I,1;F,G,E,I,J,1;A,B,G,E,C,3
C,D,B,F,E,3;I,B,J,A,F,1;G,E,B,H,C,2;A,B,D,C,H,2;J,A,B,C,E,1;B,C,E,H,D,3;B,J,A,D,G,1;H,I,B,D,J,1;E,H,B,A,I,3;F,G,E,A,I,1;D,E,I,G,F,3;E,F,B,H,G,3
J,A,F,C,B,3;B,J,E,A,C,2;D,E,F,I,H,1;G,E,B,H,A,2;F,G,E,I,B,1;I,B,E,A,J,3;C,D,F,E,I,2;B,C,D,H,E,1;H,I,B,A,C,1;E,H,C,J,I,3;E,F,H,G,B,2;A,B,C,H,E,1
