item1,item2,choice1,choice2,choice3,correct_choice (1-3)
B,J,A,E,D,1;A,B,H,E,C,3;G,E,J,H,A,2;D,E,F,J,H,1;H,I,C,J,B,3;C,D,G,E,I,2;I,B,D,A,J,3;B,C,D,G,H,1;E,F,G,A,I,1;E,H,C,I,A,2;F,G,B,I,E,3;J,A,G,B,C,2
B,C,D,F,H,1;I,B,D,J,A,2;G,E,A,H,B,2;B,J,A,G,C,1;H,I,C,B,A,2;E,H,B,C,I,3;D,E,B,H,F,3;C,D,B,F,E,3;E,F,G,J,I,1;F,G,E,J,B,1;J,A,G,C,B,3;A,B,F,C,H,2
E,F,G,J,I,1;E,H,I,A,B,1;A,B,D,C,H,2;C,D,B,F,E,3;J,A,G,E,B,3;B,C,H,D,F,2;B,J,F,D,A,3;D,E,I,F,H,2;H,I,B,J,D,1;G,E,A,I,H,3;F,G,B,E,H,2;I,B,D,J,A,2
B,J,A,D,E,1;G,E,C,H,B,2;B,C,E,H,D,3;J,A,E,D,B,3;E,F,G,B,I,1;F,G,B,E,J,2;A,B,E,H,C,3;E,H,C,B,I,3;I,B,D,A,J,3;H,I,A,B,C,2;C,D,E,B,G,1;D,E,F,G,B,1
I,B,E,C,J,3;E,H,I,J,C,1;B,C,D,F,E,1;G,E,B,H,J,2;A,B,C,F,H,1;C,D,G,I,E,3;H,I,E,B,A,2;B,J,F,A,C,2;D,E,F,G,B,1;F,G,B,E,H,2;J,A,E,F,B,3;E,F,H,G,B,2
E,H,C,J,I,3;H,I,C,B,J,2;J,A,B,E,F,1;E,F,G,I,A,1;G,E,A,B,H,3;D,E,H,F,I,2;B,J,D,E,A,3;F,G,J,H,E,3;I,B,J,E,A,1;C,D,E,G,H,1;B,C,D,G,E,1;A,B,G,C,E,2
G,E,H,C,B,1;D,E,F,H,B,1;E,H,C,J,I,3;A,B,H,C,E,2;H,I,D,B,A,2;J,A,B,C,G,1;F,G,B,A,E,3;B,C,I,D,E,2;B,J,D,A,G,2;C,D,B,G,E,3;I,B,J,D,C,1;E,F,A,G,H,2
B,C,D,H,G,1;D,E,I,H,F,3;H,I,A,B,C,2;E,F,I,A,G,3;G,E,I,H,C,2;E,H,D,B,I,3;F,G,I,E,B,2;B,J,A,E,D,1;J,A,C,E,B,3;C,D,B,G,E,3;A,B,E,C,G,2;I,B,J,C,F,1
G,E,A,H,I,2;H,I,B,J,C,1;A,B,G,D,C,3;B,C,G,H,D,3;F,G,I,E,A,2;J,A,D,G,B,3;B,J,A,D,E,1;E,H,I,B,C,1;D,E,F,H,J,1;I,B,C,J,F,2;C,D,H,F,E,3;E,F,I,G,J,2
E,H,J,D,I,3;A,B,C,G,E,1;G,E,J,H,C,2;F,G,B,E,I,2;B,J,A,F,C,1;B,C,D,I,G,1;C,D,I,F,E,3;H,I,A,B,C,2;J,A,D,B,F,2;E,F,G,I,J,1;D,E,J,F,H,2;I,B,E,C,J,3
B,J,A,D,E,1;A,B,E,C,F,2;I,B,D,C,J,3;H,I,B,D,A,1;C,D,E,B,G,1;E,F,J,H,G,3;J,A,G,B,D,2;E,H,J,C,I,3;B,C,I,D,E,2;D,E,F,G,I,1;F,G,A,E,H,2;G,E,B,H,J,2
F,G,B,E,J,2;D,E,F,G,I,1;B,J,A,G,C,1;B,C,E,D,G,2;A,B,F,H,C,3;J,A,F,B,E,2;I,B,A,E,J,3;C,D,B,F,E,3;H,I,B,A,E,1;E,F,G,I,B,1;G,E,I,H,C,2;E,H,C,I,J,2
E,F,G,I,A,1;B,J,G,D,A,3;E,H,I,B,C,1;A,B,F,H,C,3;F,G,J,E,I,2;J,A,F,C,B,3;I,B,D,J,A,2;G,E,C,H,B,2;D,E,F,H,J,1;C,D,F,E,B,2;H,I,A,B,E,2;B,C,E,H,D,3
B,C,D,G,H,1;E,F,J,H,G,3;D,E,B,F,H,2;G,E,B,H,J,2;F,G,B,E,H,2;H,I,A,C,B,3;A,B,C,H,D,1;C,D,E,I,G,1;J,A,B,G,D,1;E,H,C,A,I,3;I,B,D,C,J,3;B,J,F,C,A,3
B,C,G,D,H,2;A,B,F,C,E,2;H,I,B,D,A,1;F,G,B,I,E,3;D,E,J,H,F,3;B,J,E,D,A,3;C,D,E,H,F,1;G,E,H,B,J,1;I,B,A,J,D,2;E,H,D,I,A,2;J,A,G,B,E,2;E,F,G,A,H,1
