item1,item2,choice1,choice2,choice3,correct_choice (1-3)
J,A,G,C,B,3;D,E,F,G,I,1;G,E,B,H,C,2;H,I,A,B,C,2;I,B,A,E,J,3;B,J,A,G,D,1;B,C,D,F,H,1;E,H,I,B,D,1;E,F,J,G,I,2;C,D,E,F,I,1;F,G,E,A,B,1;A,B,E,C,D,2
B,C,D,H,E,1;F,G,J,I,E,3;D,E,H,F,B,2;J,A,B,C,F,1;C,D,E,G,H,1;E,H,B,I,D,2;I,B,A,J,D,2;E,F,H,B,G,3;H,I,B,J,C,1;G,E,H,A,J,1;A,B,H,C,D,2;B,J,F,A,D,2
J,A,B,E,F,1;F,G,B,E,H,2;B,C,E,H,D,3;E,H,I,J,D,1;C,D,G,E,B,2;A,B,G,C,E,2;B,J,F,A,D,2;E,F,H,A,G,3;I,B,J,D,C,1;H,I,J,D,B,3;G,E,B,H,I,2;D,E,G,F,B,2
E,H,I,C,J,1;H,I,D,A,B,3;I,B,F,J,A,2;C,D,F,E,I,2;D,E,F,B,H,1;A,B,H,C,E,2;B,J,G,C,A,3;F,G,H,B,E,3;E,F,B,G,I,2;B,C,F,E,D,3;J,A,D,E,B,3;G,E,H,A,B,1
D,E,J,G,F,3;J,A,E,B,D,2;A,B,D,E,C,3;H,I,B,C,J,1;F,G,I,A,E,3;B,C,G,D,H,2;E,H,I,D,A,1;I,B,A,F,J,3;E,F,I,B,G,3;B,J,A,E,C,1;C,D,E,G,B,1;G,E,A,H,B,2
B,J,G,C,A,3;F,G,H,E,A,2;B,C,H,E,D,3;E,F,G,I,A,1;E,H,I,D,B,1;C,D,I,G,E,3;I,B,A,J,D,2;A,B,E,G,C,3;J,A,D,B,F,2;D,E,F,G,J,1;G,E,H,A,I,1;H,I,B,J,D,1
A,B,D,G,C,3;D,E,J,F,G,2;B,J,A,G,C,1;C,D,H,F,E,3;B,C,F,D,E,2;E,F,B,H,G,3;J,A,E,B,G,2;H,I,C,B,A,2;F,G,B,J,E,3;I,B,J,E,C,1;E,H,J,C,I,3;G,E,I,H,C,2
E,F,J,G,H,2;J,A,E,B,D,2;H,I,B,C,A,1;B,J,F,D,A,3;B,C,E,I,D,3;G,E,C,H,I,2;D,E,H,J,F,3;I,B,C,D,J,3;E,H,A,I,C,2;C,D,E,G,I,1;A,B,F,H,C,3;F,G,E,A,B,1
I,B,A,E,J,3;C,D,E,B,F,1;D,E,I,H,F,3;E,F,J,I,G,3;B,J,E,A,C,2;H,I,B,J,C,1;F,G,E,J,I,1;G,E,A,H,J,2;E,H,J,I,D,2;A,B,E,C,F,2;J,A,E,F,B,3;B,C,D,E,H,1
A,B,C,H,D,1;C,D,G,I,E,3;F,G,A,B,E,3;B,C,E,D,F,2;E,F,G,I,B,1;E,H,B,I,J,2;G,E,I,B,H,3;J,A,G,B,E,2;B,J,A,F,D,1;I,B,J,C,E,1;H,I,E,B,A,2;D,E,F,I,H,1
E,F,G,I,J,1;H,I,C,B,A,2;I,B,C,E,J,3;E,H,A,B,I,3;F,G,B,E,A,2;J,A,D,G,B,3;G,E,H,J,C,1;B,J,A,F,D,1;A,B,F,C,G,2;C,D,G,E,H,2;B,C,E,I,D,3;D,E,G,I,F,3
A,B,F,C,E,2;F,G,H,E,J,2;I,B,A,J,F,2;D,E,H,J,F,3;B,J,D,A,G,2;C,D,E,B,G,1;H,I,A,D,B,3;E,F,H,J,G,3;J,A,B,D,E,1;G,E,B,C,H,3;B,C,D,E,H,1;E,H,B,C,I,3
I,B,E,A,J,3;B,C,E,D,I,2;C,D,G,H,E,3;B,J,D,A,F,2;F,G,E,B,A,1;H,I,B,J,E,1;E,F,J,H,G,3;G,E,H,B,C,1;D,E,I,F,H,2;A,B,E,C,G,2;E,H,A,I,C,2;J,A,B,F,E,1
B,C,G,D,I,2;E,F,H,B,G,3;G,E,H,A,B,1;F,G,E,B,A,1;E,H,C,I,J,2;I,B,D,J,C,2;J,A,B,E,D,1;D,E,G,B,F,3;B,J,G,A,C,2;A,B,C,G,D,1;C,D,I,F,E,3;H,I,C,J,B,3
B,J,A,G,C,1;F,G,A,B,E,3;H,I,D,A,B,3;A,B,E,C,G,2;G,E,I,H,C,2;J,A,B,G,C,1;B,C,E,D,H,2;E,H,J,I,B,2;C,D,E,F,H,1;I,B,J,E,A,1;D,E,F,I,H,1;E,F,J,H,G,3
