item1,item2,choice1,choice2,choice3,correct_choice (1-3)
F,G,B,J,E,3;B,J,F,A,D,2;G,E,I,H,B,2;J,A,B,F,E,1;B,C,H,D,G,2;E,H,I,J,B,1;D,E,J,F,H,2;A,B,F,E,C,3;E,F,G,I,A,1;I,B,E,C,J,3;H,I,B,C,A,1;C,D,F,E,I,2
D,E,F,I,G,1;A,B,C,F,E,1;B,J,F,A,C,2;C,D,E,I,G,1;E,F,J,G,I,2;G,E,B,J,H,3;J,A,G,B,E,2;H,I,A,C,B,3;E,H,A,B,I,3;F,G,E,B,A,1;B,C,G,D,E,2;I,B,J,C,F,1
A,B,H,C,E,2;C,D,F,H,E,3;H,I,E,A,B,3;E,F,I,G,B,2;E,H,I,J,B,1;F,G,J,H,E,3;B,J,F,A,D,2;B,C,E,D,H,2;D,E,F,B,G,1;G,E,A,H,B,2;I,B,J,D,C,1;J,A,G,E,B,3
D,E,G,I,F,3;C,D,E,I,F,1;E,H,C,I,J,2;E,F,J,G,H,2;B,C,D,H,E,1;A,B,G,C,E,2;G,E,H,B,I,1;I,B,D,J,A,2;F,G,J,H,E,3;B,J,C,E,A,3;J,A,F,B,E,2;H,I,B,E,J,1
E,F,G,B,I,1;A,B,G,C,F,2;B,C,I,D,E,2;G,E,C,J,H,3;F,G,A,E,B,2;D,E,I,G,F,3;B,J,C,A,F,2;E,H,I,C,B,1;C,D,E,B,F,1;I,B,J,A,F,1;J,A,F,C,B,3;H,I,J,D,B,3
B,J,A,D,F,1;J,A,F,E,B,3;I,B,C,J,E,2;H,I,B,E,A,1;F,G,E,A,H,1;G,E,C,H,I,2;A,B,H,D,C,3;B,C,H,D,E,2;E,F,A,G,I,2;E,H,I,D,B,1;C,D,F,H,E,3;D,E,I,F,G,2
G,E,B,H,J,2;D,E,I,G,F,3;H,I,B,C,J,1;E,F,H,A,G,3;J,A,D,B,G,2;F,G,E,A,I,1;B,J,G,A,C,2;A,B,E,G,C,3;I,B,F,J,C,2;E,H,I,A,C,1;B,C,F,H,D,3;C,D,G,E,H,2
E,H,I,B,C,1;B,C,H,D,G,2;H,I,C,B,A,2;A,B,H,C,F,2;B,J,D,E,A,3;C,D,E,I,F,1;G,E,B,H,I,2;D,E,F,G,I,1;J,A,G,E,B,3;E,F,H,G,A,2;F,G,H,A,E,3;I,B,D,J,C,2
E,F,H,G,A,2;H,I,A,E,B,3;J,A,B,E,F,1;G,E,I,A,H,3;F,G,J,E,B,2;I,B,D,A,J,3;A,B,E,C,H,2;B,J,D,A,E,2;D,E,H,F,B,2;B,C,D,G,E,1;C,D,H,G,E,3;E,H,B,A,I,3
H,I,J,B,D,2;I,B,J,F,C,1;A,B,H,E,C,3;G,E,C,H,I,2;B,J,A,C,F,1;E,F,B,I,G,3;D,E,I,G,F,3;B,C,D,E,F,1;F,G,E,A,B,1;E,H,D,I,A,2;C,D,B,F,E,3;J,A,E,B,D,2
A,B,C,G,E,1;C,D,H,F,E,3;B,J,A,G,D,1;B,C,H,D,F,2;E,F,H,G,B,2;J,A,B,G,E,1;I,B,D,A,J,3;H,I,J,E,B,3;E,H,I,D,B,1;F,G,J,I,E,3;D,E,H,F,B,2;G,E,B,H,J,2
D,E,G,B,F,3;H,I,A,C,B,3;I,B,J,A,D,1;A,B,E,C,H,2;C,D,E,B,G,1;F,G,E,H,J,1;B,C,G,E,D,3;G,E,A,I,H,3;B,J,G,A,C,2;J,A,D,B,E,2;E,F,G,H,A,1;E,H,B,I,C,2
J,A,G,B,D,2;F,G,I,B,E,3;I,B,J,E,C,1;C,D,E,H,G,1;D,E,G,F,I,2;E,F,J,I,G,3;G,E,H,J,C,1;B,J,D,A,F,2;H,I,E,J,B,3;A,B,D,G,C,3;E,H,B,D,I,3;B,C,I,D,E,2
H,I,B,J,D,1;J,A,E,B,G,2;E,F,G,J,I,1;D,E,I,G,F,3;B,J,A,F,C,1;A,B,F,E,C,3;F,G,E,J,I,1;C,D,F,E,H,2;B,C,I,D,E,2;E,H,B,I,J,2;I,B,F,A,J,3;G,E,B,H,J,2
J,A,C,B,G,2;E,H,I,D,J,1;B,C,D,E,G,1;G,E,H,I,B,1;B,J,F,C,A,3;F,G,E,A,I,1;E,F,B,H,G,3;H,I,C,B,J,2;I,B,J,E,A,1;A,B,C,H,D,1;D,E,B,F,H,2;C,D,G,B,E,3
