item1,item2,choice1,choice2,choice3,correct_choice (1-3)
A,B,E,D,C,3;E,F,G,I,B,1;H,I,J,B,D,2;D,E,F,G,J,1;B,J,G,D,A,3;E,H,I,J,C,1;J,A,B,G,C,1;G,E,B,H,I,2;C,D,E,H,F,1;I,B,D,J,A,2;F,G,B,E,I,2;B,C,D,E,F,1
C,D,F,E,I,2;I,B,J,D,A,1;J,A,F,E,B,3;E,H,I,A,C,1;E,F,H,J,G,3;G,E,H,I,B,1;A,B,D,C,H,2;B,C,D,E,G,1;F,G,J,E,I,2;D,E,F,G,B,1;B,J,A,G,D,1;H,I,A,C,B,3
A,B,C,E,D,1;B,J,E,A,D,2;E,F,H,B,G,3;B,C,I,E,D,3;J,A,B,F,C,1;I,B,A,J,E,2;E,H,I,A,B,1;G,E,J,A,H,3;D,E,H,F,B,2;F,G,B,E,J,2;C,D,B,G,E,3;H,I,J,B,E,2
G,E,C,B,H,3;B,C,I,G,D,3;B,J,D,A,F,2;D,E,G,F,B,2;F,G,E,B,A,1;E,H,B,C,I,3;C,D,H,G,E,3;A,B,F,C,H,2;H,I,B,J,D,1;J,A,B,G,C,1;I,B,C,E,J,3;E,F,I,B,G,3
G,E,C,B,H,3;A,B,G,C,E,2;E,F,G,B,I,1;J,A,G,E,B,3;H,I,B,A,D,1;D,E,F,I,G,1;B,J,A,C,E,1;F,G,H,E,B,2;C,D,I,F,E,3;E,H,A,I,D,2;B,C,G,E,D,3;I,B,C,F,J,3
E,F,G,H,A,1;C,D,I,G,E,3;B,C,H,D,E,2;G,E,B,J,H,3;A,B,D,C,G,2;J,A,D,G,B,3;E,H,I,C,B,1;B,J,E,C,A,3;H,I,B,C,J,1;D,E,F,B,G,1;F,G,A,H,E,3;I,B,A,D,J,3
I,B,J,C,D,1;E,F,B,G,H,2;G,E,C,H,B,2;C,D,G,B,E,3;A,B,D,E,C,3;F,G,E,B,H,1;E,H,I,D,B,1;D,E,B,F,G,2;H,I,C,A,B,3;B,C,H,G,D,3;J,A,C,B,F,2;B,J,D,G,A,3
F,G,E,B,J,1;H,I,D,A,B,3;B,C,D,F,E,1;E,H,D,B,I,3;J,A,C,B,F,2;D,E,F,B,G,1;B,J,E,A,D,2;C,D,I,G,E,3;E,F,H,G,A,2;G,E,A,H,B,2;A,B,C,E,D,1;I,B,D,J,C,2
E,H,J,D,I,3;A,B,D,C,H,2;J,A,G,B,C,2;C,D,F,I,E,3;F,G,E,B,A,1;B,J,A,G,D,1;D,E,H,F,I,2;I,B,F,A,J,3;E,F,G,J,I,1;B,C,F,D,H,2;H,I,J,B,D,2;G,E,H,C,J,1
D,E,H,I,F,3;B,C,E,D,G,2;F,G,E,I,A,1;E,H,I,J,D,1;I,B,C,J,D,2;J,A,D,F,B,3;A,B,C,H,D,1;E,F,J,G,I,2;H,I,B,C,A,1;B,J,A,F,C,1;G,E,A,B,H,3;C,D,G,B,E,3
E,H,C,J,I,3;I,B,J,E,C,1;A,B,E,C,G,2;J,A,E,B,D,2;F,G,E,B,H,1;E,F,I,G,A,2;G,E,J,H,B,2;D,E,H,B,F,3;H,I,B,E,A,1;C,D,B,F,E,3;B,J,A,D,G,1;B,C,I,D,F,2
D,E,H,F,B,2;B,J,D,E,A,3;E,F,G,I,A,1;I,B,F,C,J,3;H,I,A,E,B,3;J,A,C,B,E,2;A,B,E,C,H,2;C,D,G,E,I,2;G,E,I,B,H,3;B,C,D,E,I,1;F,G,E,H,A,1;E,H,B,A,I,3
E,F,G,H,B,1;B,J,A,C,F,1;G,E,B,J,H,3;D,E,I,F,H,2;C,D,H,E,F,2;B,C,I,D,E,2;H,I,B,J,E,1;F,G,E,B,I,1;E,H,B,A,I,3;A,B,H,D,C,3;J,A,G,E,B,3;I,B,E,J,A,2
B,J,G,A,D,2;G,E,H,A,B,1;H,I,A,E,B,3;A,B,C,G,D,1;D,E,F,B,G,1;E,H,A,C,I,3;C,D,I,G,E,3;J,A,B,C,E,1;F,G,J,E,B,2;I,B,D,J,C,2;E,F,I,A,G,3;B,C,G,E,D,3
E,F,G,I,A,1;D,E,I,F,H,2;H,I,C,J,B,3;C,D,B,G,E,3;J,A,B,D,E,1;G,E,I,H,B,2;B,C,D,E,H,1;A,B,C,E,H,1;E,H,B,A,I,3;B,J,C,A,F,2;I,B,E,J,A,2;F,G,E,H,A,1
